issuer_key	mission_key
#cdir_events_mission_issuer_junctions_tables;1;db/cdir_events_mission_issuer_junctions_tables/ovn_araby_only	
CLAN_ELDERS	wh2_dlc11_cst_treasure_map_starting_treasure_rhox_golden_magus
CLAN_ELDERS	wh2_dlc11_cst_treasure_map_cathey_treasure_me_1_level_1
CLAN_ELDERS	wh2_dlc11_cst_treasure_map_cathey_treasure_me_2_level_1
CLAN_ELDERS	wh2_dlc11_cst_treasure_map_cathey_treasure_me_3_level_2
CLAN_ELDERS	wh2_dlc11_cst_treasure_map_cathey_treasure_me_4_level_2
CLAN_ELDERS	wh2_dlc11_cst_treasure_map_cathey_treasure_me_5_level_2
CLAN_ELDERS	wh2_dlc11_cst_treasure_map_cathey_treasure_me_6_level_2
CLAN_ELDERS	wh2_dlc11_cst_treasure_map_cathey_treasure_me_7_level_1
CLAN_ELDERS	wh2_dlc11_cst_treasure_map_cathey_treasure_me_8_level_1
CLAN_ELDERS	wh2_dlc11_cst_treasure_map_starting_treasure_tow_rhox_golden_magus
