faction	stance
#campaign_stances_factions_junctions_tables;0;db/campaign_stances_factions_junctions_tables/ovn_albion_only	
ovn_alb_order_of_the_truthsayers	MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH
ovn_alb_order_of_the_truthsayers	MILITARY_FORCE_ACTIVE_STANCE_TYPE_ASSEMBLE_FLEET
ovn_alb_order_of_the_truthsayers	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING
ovn_alb_order_of_the_truthsayers	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT
ovn_alb_order_of_the_truthsayers	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DOUBLE_TIME
ovn_alb_order_of_the_truthsayers	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID
ovn_alb_order_of_the_truthsayers	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MARCH
ovn_alb_order_of_the_truthsayers	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MUSTER
ovn_alb_order_of_the_truthsayers	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP
ovn_alb_host_ravenqueen	MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH
ovn_alb_host_ravenqueen	MILITARY_FORCE_ACTIVE_STANCE_TYPE_ASSEMBLE_FLEET
ovn_alb_host_ravenqueen	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING
ovn_alb_host_ravenqueen	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT
ovn_alb_host_ravenqueen	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DOUBLE_TIME
ovn_alb_host_ravenqueen	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID
ovn_alb_host_ravenqueen	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MARCH
ovn_alb_host_ravenqueen	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MUSTER
ovn_alb_host_ravenqueen	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP
