currency_type	item_type	cost_value
#battle_currency_units_cost_values_tables;0;db/battle_currency_units_cost_values_tables/ovn_araby_only		
supplies_currency	ovn_arb_cha_sultan_jaffar_0	350.0000
supplies_currency	ovn_arb_cha_sultan_jaffar_djinn	350.0000
supplies_currency	ovn_arb_cha_fatandira_0	850.0000
supplies_currency	ovn_arb_cha_fatandira_1	1100.0000
supplies_currency	ovn_arb_cha_fatandira_2	1400.0000
supplies_currency	ovn_arb_cha_golden_magus_0	400.0000
supplies_currency	ovn_arb_cha_golden_magus_1	650.0000
supplies_currency	ovn_arb_cha_golden_magus_2	900.0000
supplies_currency	ovn_arb_cha_caravan_master	750.0000
supplies_currency	ovn_arb_cha_sheikh_0	600.0000
supplies_currency	ovn_arb_cha_sheikh_1	850.0000
supplies_currency	ovn_arb_cha_sheikh_2	1150.0000
supplies_currency	ovn_arb_cha_sheikh_3	1400.0000
supplies_currency	ovn_arb_cha_sheikh_mehmed_0	600.0000
supplies_currency	ovn_arb_cha_sheikh_mehmed_1	850.0000
supplies_currency	ovn_arb_cha_sheikh_mehmed_2	1150.0000
supplies_currency	ovn_arb_cha_sheikh_mehmed_3	1400.0000
supplies_currency	ovn_arb_cha_vizier_desert_0	350.0000
supplies_currency	ovn_arb_cha_vizier_desert_1	450.0000
supplies_currency	ovn_arb_cha_vizier_desert_2	600.0000
supplies_currency	ovn_arb_cha_vizier_desert_3	750.0000
supplies_currency	ovn_arb_cha_vizier_fire_0	350.0000
supplies_currency	ovn_arb_cha_vizier_fire_1	450.0000
supplies_currency	ovn_arb_cha_vizier_fire_2	600.0000
supplies_currency	ovn_arb_cha_vizier_fire_3	750.0000
supplies_currency	ovn_arb_cha_vizier_heavens_0	350.0000
supplies_currency	ovn_arb_cha_vizier_heavens_1	450.0000
supplies_currency	ovn_arb_cha_vizier_heavens_2	600.0000
supplies_currency	ovn_arb_cha_vizier_heavens_3	750.0000
supplies_currency	ovn_arb_cha_vizier_life_0	350.0000
supplies_currency	ovn_arb_cha_vizier_life_1	450.0000
supplies_currency	ovn_arb_cha_vizier_life_2	600.0000
supplies_currency	ovn_arb_cha_vizier_life_3	750.0000
supplies_currency	ovn_arb_cha_champion_0	350.0000
supplies_currency	ovn_arb_cha_champion_1	600.0000
