bonus_value_id	effect	siege_item
#effect_bonus_value_siege_item_junctions_tables;0;db/effect_bonus_value_siege_item_junctions_tables/ovn_araby_only		
siege_item_allowed	wh_main_effect_settlement_walls_hidden	arb_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls	arb_siege_tower
siege_item_allowed	ovn_effect_siege_engine_number_arb_siege_tower	arb_siege_tower
siege_item_enabled	ovn_effect_siege_engine_number_arb_siege_tower	arb_siege_tower
siege_item_number_of_vehicles_per_construction_item	ovn_effect_siege_engine_number_arb_siege_tower	arb_siege_tower
siege_item_allowed	wh_main_effect_settlement_walls_hidden	arb_battering_ram
siege_item_allowed	wh_main_effect_settlement_walls	arb_battering_ram
siege_item_allowed	ovn_effect_siege_engine_number_arb_battering_ram	arb_battering_ram
siege_item_enabled	ovn_effect_siege_engine_number_arb_battering_ram	arb_battering_ram
siege_item_number_of_vehicles_per_construction_item	ovn_effect_siege_engine_number_arb_battering_ram	arb_battering_ram
