key	tech_category_tab	tech_category_position	chain_category	in_encyclopedia	building_superchain	optional_tier_icon	optional_sort_order	optional_required_horde_commander	can_be_dismantled	is_foreign_slot_chain
#building_chains_tables;10;db/building_chains_tables/ovn_fimir_buildings										
ovn_fimir_foreign_slot_discovery			money	false	wh2_main_sch_foreign_slot_discovery		9		true	false
ovn_fimir_defence_norsca			military	false	wh2_main_sch_defence_norsca		0		true	false
ovn_fimir_allied_outpost			military	false	wh3_main_sch_allied_outpost		0		false	false
ovn_fimir_settlement_major			money	true	wh_main_sch_main_settlement	UI\Buildings\tier_icons\tier_greenskins_orc_city.png	0		true	false
ovn_fimir_settlement_minor			money	true	wh_main_sch_main_settlement	UI\Buildings\tier_icons\tier_greenskins_orc_city.png	0		true	false
ovn_fimir_infantry			military	false	wh2_main_sch_military1_barracks		1		true	false
ovn_fimir_marsh			military	false	wh2_main_sch_military2_stables		2		true	false
ovn_fimir_cavalry			military	false	wh2_main_sch_military3_warmachines		3		true	false
ovn_fimir_fianna			military	false	wh2_main_sch_support1_smith		1		true	false
ovn_fimir_dirach			military	false	wh2_main_sch_support2_worship		2		true	false
ovn_fimir_daemons			military	false	wh2_main_sch_support5_extra		3		true	false
ovn_fimir_growth			money	false	wh2_main_sch_infrastructure1_farm		2		true	false
ovn_fimir_slave			money	false	wh2_main_sch_infrastructure6_other		5		true	false
ovn_fimir_corruption			money	false	wh2_main_sch_support4_other		1		true	false
ovn_fimir_income			money	false	wh2_main_sch_infrastructure2_industry		3		true	false
ovn_fimir_order			money	false	wh2_main_sch_infrastructure3_order		4		true	false
ovn_fimir_port			money	false	wh_main_sch_port		0		true	false
ovn_fimir_walls_major			money	false	wh2_main_sch_defence_major_def		0		true	false
ovn_fimir_walls_minor			money	false	wh2_main_sch_defence_minor		1		true	false
ovn_fimir_kroll_temple			military	false	ovn_fimir_kroll_temple		7		true	false
ovn_fimir_marienburg_waterland_landmark			money	false	ovn_fimir_marienburg_waterland_landmark		1		true	false
ovn_fimir_middenheim_schadensumpf_landmark			money	false	ovn_fimir_middenheim_schadensumpf_landmark		1		true	false
ovn_fimir_agrul_migdhal_landmark			money	false	ovn_fimir_agrul_migdhal_landmark		1		true	false
ovn_fimir_wreckers_point_skattach_tower_landmark			money	false	ovn_fimir_wreckers_point_skattach_tower_landmark		1		true	false
ovn_fimir_monument_blessed_swamp_landmark			money	false	ovn_fimir_monument_blessed_swamp_landmark		1		true	false
