special_ability_groups	unit_special_abilities
#special_ability_groups_to_unit_abilities_junctions_tables;1;db/special_ability_groups_to_unit_abilities_junctions_tables/ovn_fimir_only	
elo_lore_boglar	wh_main_lore_passive_sneaky_stealin
elo_lore_boglar	wh_main_spell_lil_waaagh_itchy_nuisance
elo_lore_boglar	wh2_dlc11_spell_deep_fog_of_the_damned
elo_lore_boglar	wh_main_spell_lil_waaagh_curse_of_da_bad_moon
elo_lore_boglar	wh2_dlc11_spell_deep_krakens_pull
elo_lore_boglar	wh_main_spell_lil_waaagh_sneaky_stabbin
elo_lore_boglar	wh2_dlc11_spell_deep_tidecall
fim_lore_kroll	wh2_dlc11_lore_passive_kiss_of_the_deep
fim_lore_kroll	wh2_dlc11_spell_deep_fog_of_the_damned
fim_lore_kroll	wh2_dlc11_spell_deep_krakens_pull
fim_lore_kroll	wh2_dlc11_spell_deep_tidecall
fim_lore_kroll	wh_main_spell_death_the_purple_sun_of_xereus
fim_lore_kroll	wh_main_spell_death_soulblight
fim_lore_kroll	wh_main_spell_death_spirit_leech
fim_lore_skattach	wh2_main_lore_passive_spiteful_conjuration
fim_lore_skattach	wh2_main_spell_dark_magic_bladewind
fim_lore_skattach	wh2_main_spell_dark_magic_power_of_darkness
fim_lore_skattach	wh3_main_spell_tzeentch_blue_fire_of_tzeentch
fim_lore_skattach	wh3_main_spell_slaanesh_hysterical_frenzy
fim_lore_skattach	wh3_main_spell_nurgle_stream_of_corruption
fim_lore_skattach	wh3_main_spell_tzeentch_pink_fire_of_tzeentch
