key	quote_onscreen	quote_person
#quotes_tables;0;db/quotes_tables/ovn_grudgebringers		
2103090001	I am the surgeon of sin. I cut it out wherever I find it. Where there are witches I seek them out and burn them. Any Sorcerers I find, I prolong thier torture until death. [...] No sinner escapes my righteous WrathI am the surgeon of sin. I cut it out wherever I find it. Where there are witches I seek them out I am the surgeon of sin. I cut it out wherever I find it. Where there are witches I seek them out and burn them. Any Sorcerers I find, I prolong thier torture until death. [...] No sinner escapes my righteous Wrathand burn them. Any Sorcerers I find, I prolong thier torture until death. [...] No sinner escapes my righteous Wrath	matthias
2103090002	Urblab Rotgut: "My name's Urblab Rotgut." \\nMorgan Bernhardt: "That's your problem"\\nUrblab Rotgut: "It's an honorable name among ogres, my name is."	morgan_bernhardt2urblab_rotgut
2103090003	Give no quarter, no pity, no mercy. Slay and slay again and you might live. Ready now. READY	morgan_bernhardt
2103090004	Spit out the fear, drive out the dread with bloodlust	morgan_bernhardt
2103090005	Matthias: "Another failure, the hand of nagash is unharmed and beyond our reach. Can't you do anything right ?" \\nMorgan Bernhardt: "I can chop off a witch hunters head and have my sword back in its scabbard within a single second."	morgan_bernhardt2matthias
2103090006	I don't have your advantage: I can't fly here on my own hot air	morgan_bernhardt2matthias
2103090007	Ogers make good fighters. Tell them, they're welcome, so long as they don't drink to much blood during battles	morgan_bernhardt2urblab_rotgut
2103090008	Ahh Matthias, fancing meeting you here. Have you taking time off from burning innocent women as witches?	morgan_bernhardt2matthias
2103090009	How can you repay us? I give you a clue: they're round, they glitter and they fill bourses	klaus
2103090010	Listen to the silence	eusebio_the_bleak
2103090011	Eusebio The Bleak: "They're to the north" \\nMorgan Bernhardt: "No, to the east" \\nEusebio The Bleak: "They're all arround us"	morgan_bernhardt2eusebio_the_bleak
2103090012	By Kislev, my axe will taste troll blood before this day is gone!	eric_ragnar
2103090013	You smell of death - more than usual that is	bernhardt2emperor
2103090014	Stand firm men - that which is dead may still burn	luther_flamestrike
2103090015	Hold the high ground men. Purge the evil with steel, arrows and fire!	morgan_bernhardt
2103090016	These Blighted Towers are plagued by a pestilence that I'm here to cure - With steel and fire!	morgan_bernhardt
2103090017	I live to cheat death	morgan_bernhardt
2103090018	We'll part cold flesh with cold steel - PREPARE TO ENGAGE!	morgan_bernhardt
2103090019	Matthias: "You're going into hell Bernhardt!" \\nMorgan: "I was born there; and call me Commander!"	morgan_bernhardt2matthias
2103090020	Your souls will join our dark crusade!	gaston
