key	mission_type	localised_title	localised_description	ui_image	ui_icon	generate	prioritised	event_category	set_piece_battle	location_x	location_y	quest_mission	quest_mission_final	trigger_radius	quest_character	sticky_by_default	localised_mission_completed_text	can_be_manually_cancelled
#missions_tables;0;db/missions_tables/ovn_araby_only																		
wh2_dlc11_cst_treasure_map_starting_treasure_rhox_golden_magus	HAVE_CHARACTER_WITHIN_RANGE_OF_POSITION	Riddle of the Map-Maker	Do not look upon sorrowful gods, for where Isha’s tears fall and swell, the secret you seek shall reside.	cst/generic	rom_event_mission.png	false	false	treasure_hunt_coast		0	0	false	false	0.0000		true		true
wh2_dlc11_cst_treasure_map_cathey_treasure_me_1_level_1	HAVE_CHARACTER_WITHIN_RANGE_OF_POSITION	The Riddles of Ranald	Do not look upon sorrowful gods, for where Isha’s tears fall and swell, the secret you seek shall reside.	cst/generic	rom_event_mission.png	false	false	treasure_hunt_coast		0	0	false	false	0.0000		true		true
wh2_dlc11_cst_treasure_map_cathey_treasure_me_2_level_1	HAVE_CHARACTER_WITHIN_RANGE_OF_POSITION	The Riddles of Ranald	Not all wonders are created by the gods themselves. Some are mortal creations, wherein lies what you seek. 	cst/generic	rom_event_mission.png	false	false	treasure_hunt_coast		0	0	false	false	0.0000		true		true
wh2_dlc11_cst_treasure_map_cathey_treasure_me_3_level_2	HAVE_CHARACTER_WITHIN_RANGE_OF_POSITION	The Riddles of Ranald	While the flora of the world is exquisite in its danger and beauty, it has always been the fauna that poses the greatest threat. 	cst/generic	rom_event_mission.png	false	false	treasure_hunt_coast		0	0	false	false	0.0000		true		true
wh2_dlc11_cst_treasure_map_cathey_treasure_me_4_level_2	HAVE_CHARACTER_WITHIN_RANGE_OF_POSITION	The Riddles of Ranald	Not all wonders are created by the gods themselves. Some are mortal creations, wherein lies what you seek. 	cst/generic	rom_event_mission.png	false	false	treasure_hunt_coast		0	0	false	false	0.0000		true		true
wh2_dlc11_cst_treasure_map_cathey_treasure_me_5_level_2	HAVE_CHARACTER_WITHIN_RANGE_OF_POSITION	The Riddles of Ranald	It rises from Manann’s firmament, like a tooth unfettered from a yearning maw. But this fang’s crown may be worth more than mere gold…	cst/generic	rom_event_mission.png	false	false	treasure_hunt_coast		0	0	false	false	0.0000		true		true
wh2_dlc11_cst_treasure_map_cathey_treasure_me_6_level_2	HAVE_CHARACTER_WITHIN_RANGE_OF_POSITION	The Riddles of Ranald	This mouth may lack tongue and lips, yet it shall never close, for it has a thirst that can rarely be quenched.	cst/generic	rom_event_mission.png	false	false	treasure_hunt_coast		0	0	false	false	0.0000		true		true
wh2_dlc11_cst_treasure_map_cathey_treasure_me_7_level_1	HAVE_CHARACTER_WITHIN_RANGE_OF_POSITION	The Riddles of Ranald	The world is blighted with these monuments to fear - the sightless eyes and leering grin conceal the riches held within. 	cst/generic	rom_event_mission.png	false	false	treasure_hunt_coast		0	0	false	false	0.0000		true		true
wh2_dlc11_cst_treasure_map_cathey_treasure_me_8_level_1	HAVE_CHARACTER_WITHIN_RANGE_OF_POSITION	The Riddles of Ranald	It is not X that marks the spot, but the scrawls etched by ancients long thought lost. 	cst/generic	rom_event_mission.png	false	false	treasure_hunt_coast		0	0	false	false	0.0000		true		true
wh2_dlc11_cst_treasure_map_starting_treasure_tow_rhox_golden_magus	HAVE_CHARACTER_WITHIN_RANGE_OF_POSITION	Riddle of the Map-Maker	Do not look upon sorrowful gods, for where Isha’s tears fall and swell, the secret you seek shall reside.	cst/generic	rom_event_mission.png	false	false	treasure_hunt_coast		0	0	false	false	0.0000		true		true
