id	mission_key	payload_key	status_key	value	target_key
#cdir_events_mission_payloads_tables;2;db/cdir_events_mission_payloads_tables/ovn_araby_only					
1795939907	wh2_dlc11_cst_treasure_map_starting_treasure_rhox_golden_magus	TEXT_DISPLAY	SUCCESS	LOOKUP[dummy_wh2_dlc11_neo_counter_treasure]	default
1785939908	wh2_dlc11_cst_treasure_map_cathey_treasure_me_1_level_1	TEXT_DISPLAY	SUCCESS	LOOKUP[dummy_wh2_dlc11_neo_counter_treasure_minor]	default
1785939909	wh2_dlc11_cst_treasure_map_cathey_treasure_me_2_level_1	TEXT_DISPLAY	SUCCESS	LOOKUP[dummy_wh2_dlc11_neo_counter_treasure_minor]	default
1785939910	wh2_dlc11_cst_treasure_map_cathey_treasure_me_3_level_2	TEXT_DISPLAY	SUCCESS	LOOKUP[dummy_wh2_dlc11_neo_counter_treasure]	default
1785939911	wh2_dlc11_cst_treasure_map_cathey_treasure_me_4_level_2	TEXT_DISPLAY	SUCCESS	LOOKUP[dummy_wh2_dlc11_neo_counter_treasure]	default
1785939912	wh2_dlc11_cst_treasure_map_cathey_treasure_me_5_level_2	TEXT_DISPLAY	SUCCESS	LOOKUP[dummy_wh2_dlc11_neo_counter_treasure]	default
1785939913	wh2_dlc11_cst_treasure_map_cathey_treasure_me_6_level_2	TEXT_DISPLAY	SUCCESS	LOOKUP[dummy_wh2_dlc11_neo_counter_treasure]	default
1785939914	wh2_dlc11_cst_treasure_map_cathey_treasure_me_7_level_1	TEXT_DISPLAY	SUCCESS	LOOKUP[dummy_wh2_dlc11_neo_counter_treasure_minor]	default
1785939915	wh2_dlc11_cst_treasure_map_cathey_treasure_me_8_level_1	TEXT_DISPLAY	SUCCESS	LOOKUP[dummy_wh2_dlc11_neo_counter_treasure_minor]	default
1785939916	wh2_dlc11_cst_treasure_map_starting_treasure_tow_rhox_golden_magus	TEXT_DISPLAY	SUCCESS	LOOKUP[dummy_wh2_dlc11_neo_counter_treasure]	default
