character_skill	character_level	upgrade_to_skill_level
#character_skills_to_level_reached_criterias_tables;0;db/character_skills_to_level_reached_criterias_tables/obo_grudgebringers		
grudge_skill_enchanted_shield	9	1
grudge_skill_grudgebringer_sword	4	1
morgan_bernhardt_mount	1	1
ludwig_uberdorf_mount	7	1
ludwig_uberdorf_steam_tank	15	1
rhox_ovn_grudge_item_sword_of_eilor	10	1
grudge_anc_rune_rune_of_fury	4	1
grudge_anc_rune_rune_of_might	9	1
grudge_anc_rune_rune_of_parrying	14	1
grudge_anc_rune_rune_of_striking	19	1
vladimir_stormbringer_mount	7	1
luther_flamenstrike_mount	7	1
allor_griffon	21	1
ceridan_eagle	11	1
matthias_war_wagon	15	1
dwarf_envoy_oath_stone	7	1
