army_special_ability	faction
#army_special_abilities_for_faction_junctions_tables;0;db/army_special_abilities_for_faction_junctions_tables/ovn_fimir_only	
ovn_fimir_army_ability_cursed_mist	ovn_fim_rancor_hold
ovn_fimir_army_ability_fog_of_fimul	ovn_fim_rancor_hold
ovn_fimir_army_ability_summon_mist_creatures	ovn_fim_rancor_hold
ovn_fimir_army_ability_cursed_mist	ovn_fim_tendrils_of_doom
ovn_fimir_army_ability_fog_of_fimul	ovn_fim_tendrils_of_doom
ovn_fimir_army_ability_summon_mist_creatures	ovn_fim_tendrils_of_doom
ovn_fimir_army_ability_cursed_mist	ovn_fim_mist_dragons
ovn_fimir_army_ability_fog_of_fimul	ovn_fim_mist_dragons
ovn_fimir_army_ability_summon_mist_creatures	ovn_fim_mist_dragons
ovn_fimir_army_ability_cursed_mist	ovn_fim_marsh_hornets
ovn_fimir_army_ability_fog_of_fimul	ovn_fim_marsh_hornets
ovn_fimir_army_ability_summon_mist_creatures	ovn_fim_marsh_hornets
ovn_fimir_army_ability_cursed_mist	ovn_fim_thunderous_sight
ovn_fimir_army_ability_fog_of_fimul	ovn_fim_thunderous_sight
ovn_fimir_army_ability_summon_mist_creatures	ovn_fim_thunderous_sight
ovn_fimir_army_ability_cursed_mist	ovn_fim_fen_serpents
ovn_fimir_army_ability_fog_of_fimul	ovn_fim_fen_serpents
ovn_fimir_army_ability_summon_mist_creatures	ovn_fim_fen_serpents
ovn_fimir_army_ability_cursed_mist	ovn_fim_hell_gate
ovn_fimir_army_ability_fog_of_fimul	ovn_fim_hell_gate
ovn_fimir_army_ability_summon_mist_creatures	ovn_fim_hell_gate
