invalid_target	special_ability
#special_ability_to_invalid_target_flags_tables;0;db/special_ability_to_invalid_target_flags_tables/ovn_araby_only	
climbing_manning_eq_on_platform	ovn_spell_desert_mirage
climbing_manning_eq_on_platform	ovn_spell_desert_mirage_upgraded
on_a_platform	ovn_spell_desert_sandstorm
on_a_platform	ovn_spell_desert_sandstorm_upgraded
flying_currently	ovn_spell_desert_burning_hands
on_a_platform	ovn_spell_desert_burning_hands
flying_currently	ovn_spell_desert_burning_hands_upgraded
on_a_platform	ovn_spell_desert_burning_hands_upgraded
flying_currently	ovn_spell_desert_quicksand
flying_currently	ovn_spell_desert_quicksand_upgraded
flying_currently	ovn_spell_bound_desert_quicksand
on_a_platform	roy_unit_active_arb_doppelgang
on_a_platform	ovn_spell_bound_hashut_flames_of_azgorh
on_a_platform	ovn_spell_bound_tempest_blizzard
on_a_platform	ovn_spell_bound_desert_sandstorm
flying_currently	ovn_unit_abilities_doomed_vulture
hp_replenish_cap_reached	ovn_unit_passive_incarnate_regrowth
flying_currently	ovn_unit_passive_incarnate_quicksand
climbing_manning_eq_on_platform	ovn_djinn_carriage_summon_fire_efreet
climbing_manning_eq_on_platform	ovn_djinn_carriage_summon_sea_nymph
climbing_manning_eq_on_platform	ovn_djinn_carriage_summon_tempest_djinn
climbing_manning_eq_on_platform	ovn_djinn_carriage_summon_desert_spirit
climbing_manning_eq_on_platform	ovn_hero_abilities_summon_fire_efreet
climbing_manning_eq_on_platform	ovn_hero_abilities_summon_sea_nymph
climbing_manning_eq_on_platform	ovn_hero_abilities_summon_tempest_djinn
climbing_manning_eq_on_platform	ovn_hero_abilities_summon_desert_spirit
unit_is_not_single_entity	arb_fatandira_aimed_shot
climbing_manning_eq_on_platform	arb_golden_magus_master_djinn
climbing	arb_golden_magus_flaming_scimitar_hurricane_blades
on_a_platform	arb_golden_magus_flaming_scimitar_hurricane_blades
unit_is_commander_class	ovn_mehmed_massacre_them
climbing_manning_eq_on_platform	ovn_arb_baz_ei_12_twilight_mirror_shard_ability
on_a_platform	wh2_dlc12_army_abilities_great_invocation_of_djinn
climbing_manning_eq_on_platform	arb_djinn_to_jaffar_transformation
climbing_manning_eq_on_platform	arb_jaffar_to_djinn_transformation
climbing_manning_eq_on_platform	ovn_arb_baz_escape
