key	model_id	building_bmd	port_bmd	construction_bmd	damaged_bmd	destroyed_bmd	port_construction_bmd	port_walled_bmd	wall_bmd	on_sea_bmd
#campaign_settlement_display_buildings_tables;7;db/campaign_settlement_display_buildings_tables/ovn_araby_only										
51352341	ovn_building_arb_special_settlement_al_haikk_1	prefabs/campaign/al_haikk.bmd	prefabs/campaign/al_haikk.bmd	prefabs\campaign\construction_minor_large.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs/campaign/al_haikk.bmd	prefabs/campaign/al_haikk.bmd	
51352342	ovn_building_arb_special_settlement_al_haikk_2	prefabs/campaign/al_haikk.bmd	prefabs/campaign/al_haikk.bmd	prefabs\campaign\construction_minor_large.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs/campaign/al_haikk.bmd	prefabs/campaign/al_haikk.bmd	
51352343	ovn_building_arb_special_settlement_al_haikk_3	prefabs/campaign/al_haikk.bmd	prefabs/campaign/al_haikk.bmd	prefabs\campaign\construction_minor_large.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs/campaign/al_haikk.bmd	prefabs/campaign/al_haikk.bmd	
51352344	ovn_building_arb_special_settlement_al_haikk_4	prefabs/campaign/al_haikk.bmd	prefabs/campaign/al_haikk.bmd	prefabs\campaign\construction_minor_large.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs/campaign/al_haikk.bmd	prefabs/campaign/al_haikk.bmd	
51352345	ovn_building_arb_special_settlement_al_haikk_5	prefabs/campaign/al_haikk.bmd	prefabs/campaign/al_haikk.bmd	prefabs\campaign\construction_minor_large.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs/campaign/al_haikk.bmd	prefabs/campaign/al_haikk.bmd	
51352346	ovn_building_arb_settlement_minor_1	prefabs/campaign/araby_minor_1.bmd	prefabs\campaign\araby_port_1.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\araby_port_1.bmd	prefabs/campaign/araby_minor_1.bmd	
51352347	ovn_building_arb_settlement_minor_2	prefabs/campaign/araby_minor_1.bmd	prefabs\campaign\araby_port_1.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\araby_port_1.bmd	prefabs/campaign/araby_minor_1.bmd	
51352348	ovn_building_arb_settlement_minor_3	prefabs/campaign/araby_minor_2.bmd	prefabs\campaign\araby_port_2.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\araby_port_2.bmd	prefabs/campaign/araby_minor_2.bmd	
51352349	ovn_building_arb_settlement_major_1	prefabs/campaign/araby_special_town_1.bmd	prefabs/campaign/araby_special_port_major_1.bmd	prefabs\campaign\construction_minor_large.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs/campaign/araby_special_port_major_1.bmd	prefabs/campaign/araby_special_town_1.bmd	
51352350	ovn_building_arb_settlement_major_2	prefabs/campaign/araby_special_town_1.bmd	prefabs/campaign/araby_special_port_major_1.bmd	prefabs\campaign\construction_minor_large.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs/campaign/araby_special_port_major_1.bmd	prefabs/campaign/araby_special_town_1.bmd	
51352351	ovn_building_arb_settlement_major_3	prefabs/campaign/araby_special_town_1.bmd	prefabs/campaign/araby_special_port_major_1.bmd	prefabs\campaign\construction_minor_large.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs/campaign/araby_special_port_major_1.bmd	prefabs/campaign/araby_special_town_1.bmd	
51352352	ovn_building_arb_settlement_major_4	prefabs/campaign/araby_special_town_1.bmd	prefabs/campaign/araby_special_port_major_1.bmd	prefabs\campaign\construction_minor_large.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs/campaign/araby_special_port_major_1.bmd	prefabs/campaign/araby_special_town_1.bmd	
51352353	ovn_building_arb_settlement_major_5	prefabs/campaign/araby_special_town_1.bmd	prefabs/campaign/araby_special_port_major_1.bmd	prefabs\campaign\construction_minor_large.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs/campaign/araby_special_port_major_1.bmd	prefabs/campaign/araby_special_town_1.bmd	
