effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/ovn_albion_only				
ovn_faction_trait_albion	wh_dlc08_effect_siege_engine_number_nor_battering_ram	faction_to_force_own	2.0000	start_turn_completed
ovn_faction_trait_albion	wh_dlc08_effect_siege_engine_number_nor_siege_tower	faction_to_force_own	1.0000	start_turn_completed
ovn_faction_trait_albion	wh2_dlc09_effect_increase_army_capacity_hidden	faction_to_faction_own_unseen	9999.0000	start_turn_completed
ovn_lord_trait_alb_dural_durak	chaos_attrition_immunity_dummy	faction_to_force_own_unseen	1.0000	start_turn_completed
ovn_lord_trait_alb_dural_durak	wh_main_effect_force_army_campaign_ambush_attack_success_chance	faction_to_force_own_unseen	25.0000	start_turn_completed
ovn_lord_trait_alb_dural_durak	wh_main_effect_force_all_campaign_raid_income	faction_to_force_own_unseen	25.0000	start_turn_completed
ovn_lord_trait_alb_morrigan	chaos_attrition_immunity_dummy	faction_to_force_own_unseen	1.0000	start_turn_completed
ovn_lord_trait_alb_morrigan	wh3_main_effect_corruption_reduction_faction	faction_to_force_own_unseen	-10.0000	start_turn_completed
ovn_lord_trait_alb_morrigan	wh_main_effect_force_stat_melee_attack_vs_chaos_norsca	faction_to_force_own_unseen	7.0000	start_turn_completed
albion_scary_banner	wh_main_effect_attribute_enable_causes_terror	character_to_character_own_banner	1.0000	start_turn_completed
albion_scary_banner	wh_main_effect_attribute_enable_causes_fear	character_to_character_own_banner	1.0000	start_turn_completed
anc_albion_triskele_banner	wh_main_effect_character_stat_ward_save	character_to_character_own_banner	15.0000	start_turn_completed
anc_albion_triskele_banner	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own_banner	1.0000	start_turn_completed
anc_danu_banner	wh2_main_effect_ability_enable_regeneration	character_to_character_own_banner	1.0000	start_turn_completed
anc_danu_banner	wh_main_effect_character_stat_physical_resistance	character_to_character_own_banner	15.0000	start_turn_completed
anc_albion_hunter_banner	wh_main_effect_character_stat_reload_time_reduction	character_to_character_own_banner	8.0000	start_turn_completed
anc_albion_hunter_banner	wh_main_effect_character_stat_missile_damage	character_to_character_own_banner	12.0000	start_turn_completed
albion_global_mist_4	wh3_main_effect_corruption_reduction_events	faction_to_province_own	-4.0000	start_turn_completed
albion_global_mist_4	wh2_dlc10_effect_force_stat_melee_attack_vs_chaos_norsca_beastmen	faction_to_force_own	6.0000	start_turn_completed
albion_global_mist_4	wh2_dlc10_effect_force_stat_ward_save_vs_chaos_norsca_beastmen	faction_to_force_own	6.0000	start_turn_completed
albion_global_mist_4	wh_main_effect_force_stat_leadership	faction_to_force_own	6.0000	start_turn_completed
albion_global_mist_4	wh_main_effect_force_all_campaign_recruitment_cost_all	faction_to_force_own	-40.0000	start_turn_completed
albion_global_mist_4	wh_main_effect_public_order_events	faction_to_province_own	5.0000	start_turn_completed
albion_global_mist_4	wh_main_effect_ovn_Waystone_global_dummy	faction_to_province_own_unseen	1.0000	start_turn_completed
albion_global_mist_3	wh3_main_effect_corruption_reduction_events	faction_to_province_own	-2.0000	start_turn_completed
albion_global_mist_3	wh2_dlc10_effect_force_stat_melee_attack_vs_chaos_norsca_beastmen	faction_to_force_own	4.0000	start_turn_completed
albion_global_mist_3	wh2_dlc10_effect_force_stat_ward_save_vs_chaos_norsca_beastmen	faction_to_force_own	4.0000	start_turn_completed
albion_global_mist_3	wh_main_effect_force_stat_leadership	faction_to_force_own	4.0000	start_turn_completed
albion_global_mist_3	wh_main_effect_force_all_campaign_recruitment_cost_all	faction_to_force_own	-20.0000	start_turn_completed
albion_global_mist_3	wh_main_effect_public_order_events	faction_to_province_own	3.0000	start_turn_completed
albion_global_mist_2	wh3_main_effect_corruption_reduction_events	faction_to_province_own	-2.0000	start_turn_completed
albion_global_mist_2	wh2_dlc10_effect_force_stat_melee_attack_vs_chaos_norsca_beastmen	faction_to_force_own	2.0000	start_turn_completed
albion_global_mist_2	wh2_dlc10_effect_force_stat_ward_save_vs_chaos_norsca_beastmen	faction_to_force_own	2.0000	start_turn_completed
albion_global_mist_2	wh_main_effect_force_stat_leadership	faction_to_force_own	2.0000	start_turn_completed
albion_global_mist_2	wh_main_effect_force_all_campaign_recruitment_cost_all	faction_to_force_own	-10.0000	start_turn_completed
albion_global_mist_2	wh_main_effect_public_order_events	faction_to_province_own	1.0000	start_turn_completed
albion_global_mist_1	wh_main_effect_force_all_campaign_recruitment_cost_all	faction_to_force_own	5.0000	start_turn_completed
albion_global_mist_1	wh_main_effect_public_order_events	faction_to_province_own	-1.0000	start_turn_completed
albion_roleplay_vc	wh2_dlc10_effect_force_stat_ward_save_vs_chaos_norsca_beastmen	faction_to_force_own	5.0000	start_turn_completed
albion_roleplay_vc	wh2_dlc15_faction_diplomacy_bonus_all_order_factions	faction_to_faction_own_unseen	15.0000	start_turn_completed
