unit	purchasable_effect	is_exclusive
#unit_purchasable_effect_sets_tables;0;db/unit_purchasable_effect_sets_tables/ovn_alb_woad		
ovn_alb_inf_stone_throw_giant	ovn_albion_woad_upgrades_woad_redwoad	true
elo_woadraider	ovn_albion_woad_upgrades_woad_redwoad	true
druid_neophytes	ovn_albion_woad_upgrades_woad_redwoad	true
albion_giant	ovn_albion_woad_upgrades_woad_redwoad	true
albion_swordmaiden	ovn_albion_woad_upgrades_woad_redwoad	true
albion_centaurs	ovn_albion_woad_upgrades_woad_redwoad	true
albion_half_giants	ovn_albion_woad_upgrades_woad_redwoad	true
albion_huntresses	ovn_albion_woad_upgrades_woad_redwoad	true
albion_riders	ovn_albion_woad_upgrades_woad_redwoad	true
albion_riders_javelins	ovn_albion_woad_upgrades_woad_redwoad	true
albion_riders_spear	ovn_albion_woad_upgrades_woad_redwoad	true
elo_albion_warriors	ovn_albion_woad_upgrades_woad_redwoad	true
elo_albion_warriors_2h	ovn_albion_woad_upgrades_woad_redwoad	true
elo_albion_warriors_spears	ovn_albion_woad_upgrades_woad_redwoad	true
elo_youngbloods	ovn_albion_woad_upgrades_woad_redwoad	true
ovn_alb_inf_stone_throw_giant	ovn_albion_woad_upgrades_woad_greenwoad	true
elo_woadraider	ovn_albion_woad_upgrades_woad_greenwoad	true
druid_neophytes	ovn_albion_woad_upgrades_woad_greenwoad	true
albion_giant	ovn_albion_woad_upgrades_woad_greenwoad	true
albion_swordmaiden	ovn_albion_woad_upgrades_woad_greenwoad	true
albion_centaurs	ovn_albion_woad_upgrades_woad_greenwoad	true
albion_half_giants	ovn_albion_woad_upgrades_woad_greenwoad	true
albion_huntresses	ovn_albion_woad_upgrades_woad_greenwoad	true
albion_riders	ovn_albion_woad_upgrades_woad_greenwoad	true
albion_riders_javelins	ovn_albion_woad_upgrades_woad_greenwoad	true
albion_riders_spear	ovn_albion_woad_upgrades_woad_greenwoad	true
elo_albion_warriors	ovn_albion_woad_upgrades_woad_greenwoad	true
elo_albion_warriors_2h	ovn_albion_woad_upgrades_woad_greenwoad	true
elo_albion_warriors_spears	ovn_albion_woad_upgrades_woad_greenwoad	true
elo_youngbloods	ovn_albion_woad_upgrades_woad_greenwoad	true
ovn_alb_inf_stone_throw_giant	ovn_albion_woad_upgrades_woad_purplewoad	true
elo_woadraider	ovn_albion_woad_upgrades_woad_purplewoad	true
druid_neophytes	ovn_albion_woad_upgrades_woad_purplewoad	true
albion_giant	ovn_albion_woad_upgrades_woad_purplewoad	true
albion_swordmaiden	ovn_albion_woad_upgrades_woad_purplewoad	true
albion_centaurs	ovn_albion_woad_upgrades_woad_purplewoad	true
albion_half_giants	ovn_albion_woad_upgrades_woad_purplewoad	true
albion_huntresses	ovn_albion_woad_upgrades_woad_purplewoad	true
albion_riders	ovn_albion_woad_upgrades_woad_purplewoad	true
albion_riders_javelins	ovn_albion_woad_upgrades_woad_purplewoad	true
albion_riders_spear	ovn_albion_woad_upgrades_woad_purplewoad	true
elo_albion_warriors	ovn_albion_woad_upgrades_woad_purplewoad	true
elo_albion_warriors_2h	ovn_albion_woad_upgrades_woad_purplewoad	true
elo_albion_warriors_spears	ovn_albion_woad_upgrades_woad_purplewoad	true
elo_youngbloods	ovn_albion_woad_upgrades_woad_purplewoad	true
ovn_alb_inf_stone_throw_giant	ovn_albion_woad_upgrades_woad_yellowwoad	true
elo_woadraider	ovn_albion_woad_upgrades_woad_yellowwoad	true
druid_neophytes	ovn_albion_woad_upgrades_woad_yellowwoad	true
albion_giant	ovn_albion_woad_upgrades_woad_yellowwoad	true
albion_swordmaiden	ovn_albion_woad_upgrades_woad_yellowwoad	true
albion_centaurs	ovn_albion_woad_upgrades_woad_yellowwoad	true
albion_half_giants	ovn_albion_woad_upgrades_woad_yellowwoad	true
albion_huntresses	ovn_albion_woad_upgrades_woad_yellowwoad	true
albion_riders	ovn_albion_woad_upgrades_woad_yellowwoad	true
albion_riders_javelins	ovn_albion_woad_upgrades_woad_yellowwoad	true
albion_riders_spear	ovn_albion_woad_upgrades_woad_yellowwoad	true
elo_albion_warriors	ovn_albion_woad_upgrades_woad_yellowwoad	true
elo_albion_warriors_2h	ovn_albion_woad_upgrades_woad_yellowwoad	true
elo_albion_warriors_spears	ovn_albion_woad_upgrades_woad_yellowwoad	true
elo_youngbloods	ovn_albion_woad_upgrades_woad_yellowwoad	true
