bonus_value_id	effect	unit_set_ability
#effect_bonus_value_unit_set_unit_ability_junctions_tables;0;db/effect_bonus_value_unit_set_unit_ability_junctions_tables/ovn_fimir_only		
enable	enable_wh_dlc08_unit_passive_from_the_mist_FIM	enable_wh_dlc08_unit_passive_from_the_mist_FIM
enable	fimir_untamed_monsters_frenzy	fimir_untamed_monsters_frenzy
enable	fim_skattach_fianna_guardian	fim_skattach_fimm_guardian
enable	ovn_fim_swamp_daemons_regeneration	ovn_fim_swamp_daemons_regeneration
enable	wh2_dlc15_hef_dungeon_mistwalker_upgrade_fimir	wh2_dlc15_hef_dungeon_mistwalker_upgrade_fimir
enable	fimir_untamed_monsters_rampage	fimir_untamed_monsters_rampage_i
enable	fimir_untamed_monsters_rampage	fimir_untamed_monsters_rampage_ii
enable	elo_fen_lord_heroes	elo_fen_lord_heroes_warpfireball
enable	elo_fen_lord_heroes	elo_fen_lord_heroes_windblast
