unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;7;db/main_units_tables/zzz_thanks_other_mods_rhox_grudgebringer																																												
teb_pikemen		-1	melee_infantry	1	false	carlsson_guard	120	0	625	wh_main_shp_transport	1	1	120	625	157	heavy		0	true	wh_main_vo_culture_Empire	infantry_sword	2	false	emp_soldier_15_degrees		false		625.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	3	false	false		0.0000	true	1	false
teb_conqui_adventurers		-1	melee_infantry	1	false	carlsson_guard	100	0	650	wh_main_shp_transport	1	1	100	650	163	medium		0	true	wh_main_vo_culture_Empire	infantry_sword	2	false	emp_soldier_15_degrees		false		650.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	3	false	false		0.0000	true	1	false
teb_pavisiers		-1	missile_infantry	1	false	carlsson_guard	90	0	650	wh_main_shp_transport	1	1	120	650	162	medium		0	true	wh_main_vo_culture_Empire	missile_infantry_bow	2	false	emp_soldier_15_degrees		false		105.0000	420.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	3	false	false		0.0000	true	1	false
teb_galloper		-1	warmachine	2	false	carlsson_guard	16	0	950	wh_main_shp_transport	1	1	12	950	238	medium		0	true	wh_main_vo_culture_Empire	artillery_field_gun	2	false	emp_soldier_15_degrees		false		95.0000	855.0000	true	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	5	false	false		0.0000	true	1	false
teb_encarmine		-1	melee_cavalry	2	false	carlsson_guard	60	2	1050	wh_main_shp_transport	1	1	60	1050	262	medium		0	true	wh_main_vo_culture_Empire	cavalry	3	false	emp_reiksguard		false		1200.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	2	false	false		0.0000	true	1	false
hkrul_mar_riverwarden		-1	melee_cavalry	2	false	carlsson_guard	60	2	1050	wh_main_shp_transport	1	1	60	1050	262	medium		0	true	wh_main_vo_culture_Empire	cavalry	3	false	emp_reiksguard		false		1200.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	2	false	false		0.0000	true	1	false
hkrul_mar_knights_griffon		-1	melee_cavalry	2	false	carlsson_guard	60	2	1050	wh_main_shp_transport	1	1	60	1050	262	medium		0	true	wh_main_vo_culture_Empire	cavalry	3	false	emp_reiksguard		false		1200.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	2	false	false		0.0000	true	1	false
hkrul_mar_sons_of_manann		-1	melee_cavalry	2	false	carlsson_guard	60	2	1050	wh_main_shp_transport	1	1	60	1050	262	medium		0	true	wh_main_vo_culture_Empire	cavalry	3	false	emp_reiksguard		false		1200.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	2	false	false		0.0000	true	1	false
snek_hkrul_mar_landship		-1	melee_cavalry	2	false	carlsson_guard	60	2	1050	wh_main_shp_transport	1	1	60	1050	262	medium		0	true	wh_main_vo_culture_Empire	cavalry	3	false	emp_reiksguard		false		1200.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	2	false	false		0.0000	true	1	false
albion_hearthguard_grudgebringer		-1	melee_infantry	1	false	carlsson_guard	100	0	850	wh_main_shp_transport	1	1	100	850	213	heavy		0	false	vo_culture_None	infantry_sword	2	false	chaos_warrior_30_degrees		false		900.0000	0.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	6	false	false		0.0000	true	1	false
albion_chariot_grudgebringer		-1	chariot	1	false	carlsson_guard	8	0	850	wh_main_shp_transport	1	1	12	850	213	very_heavy		0	false	wh_dlc05_vo_culture_Wood_Elves	chariot	2	true	default		false	composite_scene\porthole\chaos_chariot_porthole_01.csc	800.0000	0.0000	false	vo_culture_None	false	wh_dlc05_vo_actor_Wood_Elves_Male_Mounted	0	true	false	6	false	false		0.0000	true	1	false
albion_giant_grudgebringer		-1	monster	3	false	carlsson_guard	1	0	1550	wh_main_shp_transport	1	1	1	1550	388	very_heavy		0	false	wh_main_vo_culture_Giant	giant	4	true	grn_giant		true		1650.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	2	false	false		0.0000	true	1	false
albion_huntresses_grudgebringer		-1	missile_infantry	1	false	carlsson_guard	90	0	700	wh_main_shp_transport	1	1	90	700	175	light		0	false	wh_dlc05_vo_culture_Wood_Elves	missile_infantry_bow	2	false	emp_soldier_15_degrees		false		100.0000	600.0000	false	vo_culture_None	false	wh_dlc05_vo_actor_Wood_Elves_Female_Units	0	true	false	6	false	false		0.0000	true	1	false
