unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	unique_index	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;6;db/main_units_tables/ovn_grudgebringer																																													
azguz_bloodfist_dwarf_warriors		-1	melee_infantry	1	false	azguz_bloodfist_dwarf_warriors	100	1	966	wh_main_shp_transport	1	1	150	966	242	heavy		0	21030900011	false	wh_main_vo_culture_Dwarf	azguz_bloodfist_dwarf_warriors	2	false	dwf_warrior_30_degrees		false		1311.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Dwarf_Infantry	0	true	false	1	false	false		0.0000	false	1	false
azguz_bloodfist_dwarf_warriors_upgrade		1	melee_infantry	1	false	azguz_bloodfist_dwarf_warriors	190	1	1196	wh_main_shp_transport	1	1	190	1196	300	heavy		0	2103090001	false	wh_main_vo_culture_Dwarf	azguz_bloodfist_dwarf_warriors	3	false	dwf_warrior_30_degrees		false		1642.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Dwarf_Infantry	0	true	false	1	false	false		0.0000	false	1	false
black_avangers		-1	melee_infantry	1	false	black_avangers	160	1	720	wh_main_shp_transport	1	1	220	720	180	medium		0	2103090017	false	wh_main_vo_culture_Empire	black_avangers	2	false	emp_soldier_15_degrees		false		1118.0000	0.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	1	false	false		0.0000	false	1	false
boris_von_raukov_4th_nuln_halberdiers		-1	melee_infantry	1	false	boris_von_raukov_4th_nuln_halberdiers	120	1	1097	wh_main_shp_transport	1	1	168	1097	275	medium		0	2103090029	false	wh_main_vo_culture_Empire	boris_von_raukov_4th_nuln_halberdiers	3	false	emp_soldier_15_degrees		false		1042.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	1	false	false		0.0000	false	1	false
grudgebringer_cavalry		1	melee_cavalry	1	false	grudgebringer_cavalry	60	1	1257	wh_main_shp_transport	1	1	60	1257	314	medium		0	2103090004	false	wh_main_vo_culture_Empire	grudgebringer_cavalry	3	false	emp_reiksguard		false		1639.0000	0.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	1	false	false		0.0000	false	1	false
grudgebringer_cavalry_upgrade		1	melee_cavalry	1	false	grudgebringer_cavalry	80	1	1690	wh_main_shp_transport	1	1	80	1690	423	medium		0	21030900041	false	wh_main_vo_culture_Empire	grudgebringer_cavalry	3	false	emp_reiksguard		false		2205.0000	0.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	1	false	false		0.0000	false	1	false
carlsson_cavalry		-1	melee_cavalry	1	false	carlsson_cavalry	60	1	878	wh_main_shp_transport	1	1	70	878	220	heavy		0	2103090019	false	wh_main_vo_culture_Bretonnian	carlsson_cavalry	3	false	emp_reiksguard		false		1234.0000	0.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	1	false	false		0.0000	false	1	false
vannheim_75th		-1	melee_cavalry	1	false	vannheim_75th	112	1	1357	wh_main_shp_transport	1	1	112	1357	340	medium		0	2103090020	false	wh_main_vo_culture_Bretonnian	vannheim_75th	2	false	emp_reiksguard		false		2050.0000	0.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	6	false	false		0.0000	true	1	false
grudgebringer_infantry		1	melee_infantry	1	false	grudgebringer_infantry	120	1	1428	wh_main_shp_transport	1	1	160	1428	357	medium		0	21030900051	false	wh_main_vo_culture_Empire	grudgebringer_infantry	2	false	emp_soldier_15_degrees		false		1980.0000	0.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	1	false	false		0.0000	false	1	false
grudgebringer_infantry_upgrade		1	melee_infantry	1	false	grudgebringer_infantry	200	1	1768	wh_main_shp_transport	1	1	200	1768	442	medium		0	2103090005	false	wh_main_vo_culture_Empire	grudgebringer_infantry	3	false	emp_soldier_15_degrees		false		2451.0000	0.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	1	false	false		0.0000	false	1	false
dargrimm_firebeard_dwarf_warriors		-1	melee_infantry	1	false	dargrimm_firebeard_dwarf_warriors	120	1	1254	wh_main_shp_transport	1	1	200	1254	314	heavy		0	2103090002	false	wh_main_vo_culture_Dwarf	dargrimm_firebeard_dwarf_warriors	3	false	dwf_warrior_30_degrees		false		1725.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Dwarf_Infantry	0	true	false	1	false	false		0.0000	false	1	false
elrod_wood_elf_glade_guards		-1	melee_infantry	1	false	elrod_wood_elf_glade_guards	120	1	679	wh_main_shp_transport	1	1	136	679	170	medium		0	2103090011	false	wh_dlc05_vo_culture_Wood_Elves	elrod_wood_elf_glade_guards	1	false	wef_infantry_15_degrees		false		1108.0000	0.0000	false	vo_culture_None	false	wh_dlc05_vo_actor_Wood_Elves_Male_Infantry	0	true	false	1	false	false		0.0000	false	1	false
galed_elf_archers		-1	missile_infantry	1	false	galed_elf_archers	90	1	1519	wh_main_shp_transport	1	1	135	1519	381	medium		0	2103090012	false	wh_dlc05_vo_culture_Wood_Elves	galed_elf_archers	2	false	wef_infantry_15_degrees		false		200.0000	1811.0000	false	vo_culture_None	false	wh_dlc05_vo_actor_Wood_Elves_Male_Infantry	0	true	false	1	false	false		0.0000	false	1	false
galed_elf_archers_upgrade		-1	missile_infantry	1	false	galed_elf_archers	90	1	1604	wh_main_shp_transport	1	1	143	1604	402	medium		0	21030900121	false	wh_dlc05_vo_culture_Wood_Elves	galed_elf_archers	2	false	wef_infantry_15_degrees		false		200.0000	1923.0000	false	vo_culture_None	false	wh_dlc05_vo_actor_Wood_Elves_Male_Infantry	0	true	false	1	false	false		0.0000	false	1	false
grudgebringer_crossbow		1	missile_infantry	1	false	grudgebringer_crossbow	90	1	980	wh_main_shp_transport	1	1	90	980	245	heavy		0	21030900131	false	wh_main_vo_culture_Empire	grudgebringer_crossbow	3	false	emp_soldier_15_degrees		false		200.0000	1117.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	1	false	false		0.0000	false	1	false
grudgebringer_crossbow_upgrade		1	missile_infantry	1	false	grudgebringer_crossbow	90	1	1280	wh_main_shp_transport	1	1	120	1280	320	heavy		0	2103090013	false	wh_main_vo_culture_Empire	grudgebringer_crossbow	2	false	emp_soldier_15_degrees		false		200.0000	1520.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	1	false	false		0.0000	false	1	false
helmgart_bowmen		-1	missile_infantry	1	false	helmgart_bowmen	90	1	614	wh_main_shp_transport	1	1	150	614	154	light		0	2103090015	false	wh_main_vo_culture_Empire	helmgart_bowmen	3	false	emp_soldier_15_degrees		false		200.0000	803.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	1	false	false		0.0000	false	1	false
keelers_longbows		-1	missile_infantry	1	false	keelers_longbows	105	1	475	wh_main_shp_transport	1	1	105	475	119	light		0	2103090016	false	wh_main_vo_culture_Empire	keelers_longbows	1	false	emp_soldier_15_degrees		false		200.0000	666.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	1	false	false		0.0000	false	1	false
carlsson_guard		-1	melee_infantry	1	false	carlsson_guard	118	1	332	wh_main_shp_transport	1	1	118	332	89	medium		0	21030900181	false	wh_main_vo_culture_Bretonnian	carlsson_guard	2	false	emp_soldier_15_degrees		false		519.0000	0.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	1	false	false		0.0000	false	1	false
carlsson_guard_upgrade		1	melee_infantry	1	false	carlsson_guard	218	1	613	wh_main_shp_transport	1	1	218	613	164	medium		0	2103090018	false	wh_main_vo_culture_Bretonnian	carlsson_guard	1	false	emp_soldier_15_degrees		false		958.0000	0.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	1	false	false		0.0000	false	1	false
carlsson_guard_upgrade_upgrade		1	melee_infantry	1	false	carlsson_guard	318	1	894	wh_main_shp_transport	1	1	318	894	240	medium		0	21030900182	false	wh_main_vo_culture_Bretonnian	carlsson_guard	3	false	emp_soldier_15_degrees		false		1398.0000	0.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	1	false	false		0.0000	false	1	false
urblab_rotgut_mercenary_ogres		-1	monstrous_infantry	1	false	urblab_rotgut_mercenary_ogres	20	1	1121	wh_main_shp_transport	1	1	20	1121	281	very_heavy		0	2103090003	false	wh3_main_vo_culture_Ogres	urblab_rotgut_mercenary_ogres	2	false	ogre_infantry		false		1336.0000	0.0000	true	vo_culture_None	false	wh3_main_vo_actor_Ogres_Ogreunit	0	true	false	1	false	false		0.0000	false	1	false
grudgebringer_cannon		1	warmachine	1	false	grudgebringer_cannon	44	1	1100	wh_main_shp_transport	1	1	44	1100	275	medium		0	2103090014	false	wh_main_vo_culture_Empire	grudgebringer_cannon	3	false	emp_soldier_15_degrees		false		120.0000	980.0000	true	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	1	false	false		0.0000	false	1	false
uter_blomkwist_imperial_mortar		-1	warmachine	1	false	uter_blomkwist_imperial_mortar	44	1	800	wh_main_shp_transport	1	1	44	800	200	medium		0	2103090025	false	wh_main_vo_culture_Empire	uter_blomkwist_imperial_mortar	3	false	emp_art_mortar		false		800.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	1	false	false		0.0000	false	1	false
countess_guard		-1	melee_infantry	1	false	countess_guard	100	1	683	wh_main_shp_transport	1	1	100	683	171	medium		0	2036732326	false	wh_main_vo_culture_Empire	countess_guard	3	false	emp_soldier_15_degrees		false		803.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	1	false	false		0.0000	false	1	false
dieter_schaeffer_carroburg_greatswords		-1	melee_infantry	1	false	dieter_schaeffer_carroburg_greatswords	120	1	1173	wh_main_shp_transport	1	1	120	1173	293	medium		0	2103090027	false	wh_main_vo_culture_Empire	dieter_schaeffer_carroburg_greatswords	2	false	emp_soldier_15_degrees		false		1567.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	1	false	false		0.0000	false	1	false
dieter_schaeffer_carroburg_greatswords_upgrade		1	melee_infantry	1	false	dieter_schaeffer_carroburg_greatswords	120	1	1448	wh_main_shp_transport	1	1	150	1448	362	medium		0	21030900271	false	wh_main_vo_culture_Empire	dieter_schaeffer_carroburg_greatswords	3	false	emp_soldier_15_degrees		false		1934.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	1	false	false		0.0000	false	1	false
jurgen_muntz_outlaw_infantry		-1	melee_infantry	1	false	jurgen_muntz_outlaw_infantry	120	1	705	wh_main_shp_transport	1	1	160	705	177	medium		0	2103090028	false	wh_main_vo_culture_Empire	jurgen_muntz_outlaw_infantry	1	false	emp_soldier_15_degrees		false		1018.0000	0.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	1	false	false		0.0000	false	1	false
stephan_weiss_outlaw_pistoliers		-1	missile_cavalry	1	false	stephan_weiss_outlaw_pistoliers	44	1	574	wh_main_shp_transport	1	1	44	574	144	medium		0	2103090030	false	wh_main_vo_culture_Empire	stephan_weiss_outlaw_pistoliers	3	false	emp_reiksguard		false		525.0000	0.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	1	false	false		0.0000	false	1	false
ceridan		1	hero	1	false	ceridan	1	1	800	wh_main_shp_transport	1	1	1	800	200	heavy		0	2103090006	false	wh2_main_vo_culture_High_Elves	ceridan	0	true	hef_general_foot		true		700.0000	0.0000	false	vo_culture_None	true	wh2_main_vo_actor_High_Elves_Prince	0	true	false	1	false	false		0.0000	false	1	false
ice_mage_vladimir_stormbringer		1	hero	1	false	ice_mage_vladimir_stormbringer	1	1	300	wh_main_shp_transport	1	1	1	300	250	heavy		0	2103090007	false	wh3_main_vo_culture_Kislev	ice_mage_vladimir_stormbringer	0	true	ksl_katarina		true		300.0000	0.0000	false	vo_culture_None	true	wh3_main_vo_actor_Kislev_Kostaltyn	0	true	false	1	false	false		0.0000	false	1	false
morgan_bernhardt		1	lord	1	false	morgan_bernhardt	1	1	1100	wh_main_shp_transport	1	1	1	1100	275	medium		0	2103090009	false	wh_main_vo_culture_Empire	morgan_bernhardt	0	true	emp_general_foot		true		1100.0000	0.0000	true	vo_culture_None	true	wh_dlc03_vo_actor_Empire_Boris_Todbringer	0	true	false	1	false	false		0.0000	false	1	false
morgan_bernhardt_mount		1	lord	1	false	morgan_bernhardt_mount	1	1	1300	wh_main_shp_transport	1	1	1	1300	325	medium		0	21030900091	false	wh_main_vo_culture_Empire	morgan_bernhardt	0	true	emp_general_foot	morgan_bernhardt_mount	true		1300.0000	0.0000	true	vo_culture_None	true	wh_dlc03_vo_actor_Empire_Boris_Todbringer	0	true	false	1	false	false		0.0000	false	1	false
dwarf_envoy		1	hero	1	false	dwarf_envoy	1	1	500	wh_main_shp_transport	1	1	1	500	250	heavy		0	2103090010	false	wh_main_vo_culture_Dwarf	dwarf_envoy	0	true	dwf_warrior_30_degrees		true		500.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Dwarf_Thane	0	true	false	1	false	false		0.0000	false	1	false
treeman_knarlroot		-1	monster	1	false	treeman_knarlroot	1	1	1500	wh_main_shp_transport	1	1	1	1500	375	medium		0	2103090023	false	wh_dlc05_vo_culture_Tree	treeman_knarlroot	3	true	wef_treeman		true		1500.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	1	false	false		0.0000	false	1	false
treeman_gnarl_fist		-1	monster	1	false	treeman_gnarl_fist	1	1	1500	wh_main_shp_transport	1	1	1	1500	375	medium		0	2103090024	false	wh_dlc05_vo_culture_Tree	treeman_gnarl_fist	3	true	wef_treeman		true		1500.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	1	false	false		0.0000	false	1	false
imperial_cannon_darius_flugenheim		-1	warmachine	1	false	imperial_cannon_darius_flugenheim	44	1	800	wh_main_shp_transport	1	1	44	800	200	medium		0	2103090026	false	wh_main_vo_culture_Empire	cannon	2	false	emp_soldier_15_degrees		false		80.0000	720.0000	true	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	1	false	false		0.0000	false	1	false
flagellants_eusebio_the_bleak		-1	melee_infantry	1	false	flagellants_eusebio_the_bleak	90	1	490	wh_main_shp_transport	1	1	90	490	123	medium		0	2103090029	false	wh_main_vo_culture_Empire	flagellants_eusebio_the_bleak	2	false	emp_soldier_15_degrees		false		703.0000	0.0000	false	vo_culture_None	false	wh_dlc04_vo_actor_Empire_Inf	0	true	false	1	false	false		0.0000	true	1	false
knights_of_the_realm_bertrand_le_grande		-1	melee_cavalry	1	false	knights_of_the_realm_bertrand_le_grande	60	1	1350	wh_main_shp_transport	1	1	80	1350	338	heavy		0	2103090030	false	wh_main_vo_culture_Bretonnian	knights_of_the_realm_bertrand_le_grande	3	false	emp_reiksguard		false		1934.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Bretonnian_Knight	0	true	false	1	false	false		0.0000	true	1	false
grail_knights_tristan_de_la_tourtristan_de_la_tour		-1	melee_cavalry	1	false	grail_knights_tristan_de_la_tourtristan_de_la_tour	60	1	1573	wh_main_shp_transport	1	1	60	1573	393	very_heavy		0	2103090031	false	wh_main_vo_culture_Bretonnian	grail_knights_tristan_de_la_tourtristan_de_la_tour	3	false	emp_reiksguard		false		2095.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Bretonnian_Knight	0	true	false	1	false	false		0.0000	true	1	false
black_grail_knights		1	melee_cavalry	1	false	black_grail_knights	60	0	2258	wh_main_shp_transport	1	1	60	2258	564	very_heavy		0	1108538330981	false	wh_main_vo_culture_Skeleton	black_grail_knights	3	false	emp_reiksguard		false		2258.0000	0.0000	false	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_Vampire_WightKing	0	false	false	1	false	false		0.0000	true	1	false
gaston		1	hero	1	false	gaston	1	0	850	wh_main_shp_transport	1	1	1	1000	250	heavy		0	1108538331001	false	wh_main_vo_culture_Skeleton	gaston	0	true	vamp_lord		true		1000.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Vampire_WightKing	0	true	false	1	false	false		0.0000	true	1	false
gaston_mount		1	hero	1	false	gaston_mount	1	0	1100	wh_main_shp_transport	1	1	1	1100	275	heavy		0	1108538331002	false	wh_main_vo_culture_Skeleton	gaston	0	true	vamp_lord	gaston_mount	true		1100.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Vampire_WightKing	0	true	false	1	false	false		0.0000	true	1	false
ragnar_wolves		-1	melee_cavalry	1	false	ragnar_wolves	60	0	854	wh_main_shp_transport	1	1	60	854	214	medium		0	210309002511	false	wh3_main_vo_culture_Kislev	ragnar_wolves	2	false	emp_reiksguard		false		1199.0000	0.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	1	false	false		0.0000	false	1	false
ragnar_wolves_upgrade		1	melee_cavalry	1	false	ragnar_wolves	80	0	1613	wh_main_shp_transport	1	1	80	1613	404	medium		0	21030900251	false	wh3_main_vo_culture_Kislev	ragnar_wolves	3	false	emp_reiksguard		false		1613.0000	0.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	1	false	false		0.0000	false	1	false
ludwig_uberdorf		1	hero	1	false	ludwig_uberdorf	1	1	600	wh_main_shp_transport	1	1	1	1000	250	heavy		0	210309000021	false	wh_main_vo_culture_Empire	ludwig_uberdorf_ui_unit_group_land	0	true	emp_general_foot		true		240.0000	360.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_Captain	0	true	false	1	false	false		0.0000	true	1	false
ludwig_uberdorf_mount_main_units		1	hero	1	false	ludwig_uberdorf_mount_land_units	1	1	800	wh_main_shp_transport	1	1	1	800	200	heavy		0	210309000041	false	wh_main_vo_culture_Empire	ludwig_uberdorf_mount_ui_unit_group_land	2	true	emp_reiksguard	wh_main_cam_mnt_emp_barded_warhorse	true		160.0000	640.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_Captain	0	true	false	1	false	false		0.0000	true	1	false
ludwig_uberdorf_gyrobomber_main_units		1	hero	2	false	ludwig_uberdorf_gyrobomber_land_units	1	1	1400	wh_main_shp_transport	1	1	1	1400	350	heavy		0	210309000031	false	wh_main_vo_culture_Empire	ludwig_uberdorf_gyrobomber_ui_unit_group_land	3	true	dwf_gyrobomber	cam_ludwig_uberdorf_gyrobomber	true		140.0000	1260.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_Captain	0	true	false	1	false	false		0.0000	true	1	false
ludwig_uberdorf_steam_tank_main_units		1	hero	1	false	ludwig_uberdorf_steam_tank_land_units	1	1	2400	wh_main_shp_transport	1	1	1	2400	600	heavy		0	210309000011	false	wh_main_vo_culture_Empire	ludwig_uberdorf_steam_tank_ui_unit_group_land	3	true	emp_steam_tank	cam_ludwig_uberdorf_steam_tank	true		660.0000	1540.0000	true	vo_culture_None	true	wh_main_vo_actor_Empire_Captain	0	true	false	1	false	false		0.0000	true	1	false
cam_ludwig_uberdorf_steam_tank_main_units		-1	hero	1	false	ludwig_uberdorf	1	1	1550	wh_main_shp_transport	1	1	2	1550	387	medium		0	210309000051	false	wh_main_vo_culture_Empire	magic_chariot	0	true	emp_general_foot	cam_ludwig_uberdorf_steam_tank	true		1550.0000	0.0000	true	vo_culture_None	true	wh_dlc04_vo_actor_Empire_Volkmar_The_Grim	0	true	false	0	false	false		0.0000	false	1	false
dwarf_envoy_dwarf_warriors		-1	melee_infantry	1	false	dwarf_envoy_dwarf_warriors	70	1	655	wh_main_shp_transport	1	1	70	655	164	heavy		0	567	false	wh_main_vo_culture_Dwarf	dwarf_envoy_dwarf_warriors	1	false	dwf_warrior_30_degrees		false		655.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Dwarf_Infantry	0	true	false	1	false	false		0.0000	false	1	false
grudgebringers_wagon		-1	chariot	1	false	grudgebringers_wagon	24	6	875	wh_main_shp_transport	1	1	6	875	213	medium		0	81925119011234	true	wh_main_vo_culture_Empire	grudgebringers_wagon	2	true	default		false	composite_scene\porthole\wm_dlc13_warwagon_porthole_01.csc	250.0000	600.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	2	false	false		0.0000	true	1	false
wh_main_emp_inf_halberdiers_ovn_gru		4	melee_infantry	1	false	wh_main_emp_inf_halberdiers	120	0	550	wh_main_shp_transport	1	1	120	825	172	medium		0	6476	true	wh_main_vo_culture_Empire	infantry_spear_halberd	2	false	emp_soldier_15_degrees		false		550.0000	0.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_Generic_Human	0	true	false	6	false	false		0.0000	true	1	false
