unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;7;db/main_units_tables/ovn_grudgebringers_characters																																												
ceridan		-1	hero	1	false	ceridan	1	1	800	wh_main_shp_transport	1	1	1	800	275	heavy		0	false	wh2_main_vo_culture_High_Elves	ceridan	0	true	hef_general_foot		true		700.0000	0.0000	false	vo_culture_None	true	wh2_main_vo_actor_High_Elves_Prince	0	true	false	1	false	false		0.0000	false	1	false
ceridan_eagle		-1	hero	1	false	ceridan_eagle	1	1	1400	wh_main_shp_transport	1	1	1	1400	350	heavy		0	false	wh2_main_vo_culture_High_Elves	ceridan	0	true	hef_general_foot	wh_dlc05_cam_mnt_wef_great_eagle	true		1400.0000	0.0000	false	vo_culture_None	true	wh2_main_vo_actor_High_Elves_Prince	0	true	false	1	false	false		0.0000	false	1	false
ice_mage_vladimir_stormbringer		-1	hero	1	false	ice_mage_vladimir_stormbringer	1	1	300	wh_main_shp_transport	1	1	1	300	250	heavy		0	false	wh3_main_vo_culture_Kislev	ice_mage_vladimir_stormbringer	0	true	ksl_katarina		true		300.0000	0.0000	false	vo_culture_None	true	wh3_main_vo_actor_Kislev_Boyar	0	true	false	1	false	false		0.0000	false	1	false
ice_mage_vladimir_stormbringer_mount		-1	hero	1	false	ice_mage_vladimir_stormbringer_mount	1	1	300	wh_main_shp_transport	1	1	1	500	275	heavy		0	false	wh3_main_vo_culture_Kislev	ice_mage_vladimir_stormbringer	0	true	ksl_katarina	vladimir_stormbringer_mount	true		500.0000	0.0000	false	vo_culture_None	true	wh3_main_vo_actor_Kislev_Boyar	0	true	false	1	false	false		0.0000	false	1	false
morgan_bernhardt		-1	lord	1	false	morgan_bernhardt	1	1	1100	wh_main_shp_transport	1	1	1	1100	275	medium		0	false	wh_main_vo_culture_Empire	morgan_bernhardt	0	true	emp_general_foot		true		1100.0000	0.0000	true	vo_culture_None	true	ovn_vo_actor_Empire_Morgan_Bernhardt	0	true	false	1	false	false		0.0000	false	1	false
morgan_bernhardt_mount		-1	lord	1	false	morgan_bernhardt_mount	1	1	1300	wh_main_shp_transport	1	1	1	1300	325	medium		0	false	wh_main_vo_culture_Empire	morgan_bernhardt	0	true	emp_general_foot	morgan_bernhardt_mount	true		1300.0000	0.0000	true	vo_culture_None	true	ovn_vo_actor_Empire_Morgan_Bernhardt	0	true	false	1	false	false		0.0000	false	1	false
dwarf_envoy		-1	hero	1	false	dwarf_envoy	1	1	500	wh_main_shp_transport	1	1	1	500	250	heavy		0	false	wh_main_vo_culture_Dwarf	dwarf_envoy	0	true	dwf_warrior_30_degrees		true		500.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Dwarf_Thane	0	true	false	1	false	false		0.0000	false	1	false
dwarf_envoy_oath_stone		1	hero	1	false	dwarf_envoy_oath_stone	1	0	700	wh_main_shp_transport	1	1	1	1000	250	heavy		0	false	wh_main_vo_culture_Dwarf	dwarf_envoy	0	true	dwf_lord_units	dwarf_envoy_oath_stone	true		700.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Dwarf_Thane	0	true	false	0	false	false		0.0000	false	1	false
gaston		-1	hero	1	false	gaston	1	0	850	wh_main_shp_transport	1	1	1	1000	250	heavy		0	false	wh_main_vo_culture_Skeleton	gaston	0	true	vamp_lord		true		1000.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Vampire_WightKing	0	true	false	1	false	false		0.0000	true	1	false
gaston_mount		-1	hero	1	false	gaston_mount	1	0	1100	wh_main_shp_transport	1	1	1	1100	275	heavy		0	false	wh_main_vo_culture_Skeleton	gaston	0	true	vamp_lord	gaston_mount	true		1100.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Vampire_WightKing	0	true	false	1	false	false		0.0000	true	1	false
ludwig_uberdorf		-1	hero	1	false	ludwig_uberdorf	1	1	600	wh_main_shp_transport	1	1	1	1000	250	heavy		0	false	wh_main_vo_culture_Empire	ludwig_uberdorf_ui_unit_group_land	0	true	emp_general_foot		true		240.0000	360.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_Captain	0	true	false	1	false	false		0.0000	true	1	false
ludwig_uberdorf_mount_main_units		-1	hero	1	false	ludwig_uberdorf_mount_land_units	1	1	800	wh_main_shp_transport	1	1	1	800	200	heavy		0	false	wh_main_vo_culture_Empire	ludwig_uberdorf_mount_ui_unit_group_land	0	true	emp_reiksguard	wh_main_cam_mnt_emp_barded_warhorse	true		160.0000	640.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_Captain	0	true	false	1	false	false		0.0000	true	1	false
ludwig_uberdorf_mechanical_steed		-1	hero	1	false	ludwig_uberdorf_mechanical_steed	1	1	800	wh_main_shp_transport	1	1	1	800	200	heavy		0	false	wh_main_vo_culture_Empire	ludwig_uberdorf_mount_ui_unit_group_land	0	true	emp_reiksguard	ludwig_uberdorf_mechanical_steed	true		160.0000	640.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_Captain	0	true	false	1	false	false		0.0000	true	1	false
ludwig_uberdorf_gyrobomber_main_units		-1	hero	2	false	ludwig_uberdorf_gyrobomber_land_units	1	1	1400	wh_main_shp_transport	1	1	1	1400	350	heavy		0	false	wh_main_vo_culture_Empire	ludwig_uberdorf_gyrobomber_ui_unit_group_land	0	true	dwf_gyrobomber	cam_ludwig_uberdorf_gyrobomber	true		140.0000	1260.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_Captain	0	true	false	1	false	false		0.0000	true	1	false
ludwig_uberdorf_steam_tank_main_units		-1	hero	1	false	ludwig_uberdorf_steam_tank_land_units	3	1	2400	wh_main_shp_transport	1	1	1	2400	600	heavy		0	false	wh_main_vo_culture_Empire	ludwig_uberdorf_steam_tank_ui_unit_group_land	0	true	emp_general_foot	cam_ludwig_uberdorf_steam_tank	true		660.0000	1540.0000	true	vo_culture_None	true	wh3_dlc25_vo_actor_Empire_Master_Engineer	0	true	false	1	false	false		0.0000	true	1	false
cam_ludwig_uberdorf_steam_tank_main_units		-1	hero	1	false	ludwig_uberdorf	1	1	1550	wh_main_shp_transport	1	1	2	1550	387	medium		0	false	wh_main_vo_culture_Empire	magic_chariot	0	true	emp_general_foot	cam_ludwig_uberdorf_steam_tank	true		1550.0000	0.0000	true	vo_culture_None	true	wh_main_vo_actor_Empire_Captain	0	true	false	0	false	false		0.0000	false	1	false
matthias		-1	hero	1	false	matthias	1	1	600	wh_main_shp_transport	1	1	1	1000	250	medium		0	false	wh_main_vo_culture_Empire	matthias	0	true	emp_soldier_15_degrees		true		240.0000	360.0000	false	vo_culture_None	true	wh2_dlc13_vo_actor_Doctor_Hertwig_Van_Hal	0	true	false	1	false	false		0.0000	true	1	false
matthias_war_wagon		1	hero	1	false	matthias_war_wagon	18	1	1550	wh_main_shp_transport	1	1	18	1550	387	medium		0	false	wh_main_vo_culture_Empire	matthias_war_wagon	0	true	emp_general_foot	wh_dlc04_cam_mnt_emp_war_altar	true		725.0000	725.0000	false	vo_culture_None	true	wh2_dlc13_vo_actor_Doctor_Hertwig_Van_Hal	0	true	false	1	false	false		0.0000	false	1	false
luther_flamenstrike		-1	hero	1	false	luther_flamenstrike	1	0	250	wh_main_shp_transport	1	1	1	1000	250	medium		0	false	wh_main_vo_culture_Empire	luther_flamenstrike	0	true	emp_soldier_15_degrees		true		250.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_BrightWizard	0	true	false	2	false	false		0.0000	true	1	false
