building	culture	subculture	faction	description	icon	disables	short_description	display_tooltip	building_frame_override
#building_culture_variants_tables;5;db/building_culture_variants_tables/ovn_araby_only									
ovn_arb_special_settlement_al_haikk_1		ovn_sc_arb_araby		wh_main_PLACEHOLDER	araby_alhaik	false	ovn_arb_special_settlement_al-haikk	true	
ovn_arb_special_settlement_al_haikk_2		ovn_sc_arb_araby		wh_main_PLACEHOLDER	araby_alhaik	false	ovn_arb_special_settlement_al-haikk	true	
ovn_arb_special_settlement_al_haikk_3		ovn_sc_arb_araby		wh_main_PLACEHOLDER	araby_alhaik	false	ovn_arb_special_settlement_al-haikk	true	
ovn_arb_special_settlement_al_haikk_4		ovn_sc_arb_araby		wh_main_PLACEHOLDER	araby_alhaik	false	ovn_arb_special_settlement_al-haikk	true	
ovn_arb_special_settlement_al_haikk_5		ovn_sc_arb_araby		wh_main_PLACEHOLDER	araby_alhaik	false	ovn_arb_special_settlement_al-haikk	true	
ovn_arb_special_settlement_al_haikk_ruin		ovn_sc_arb_araby		wh_main_PLACEHOLDER	wh_main_settlement_default_ruin	false	wh_main_settlement_major_ruin	true	
ovn_arb_settlement_major_1		ovn_sc_arb_araby		wh_main_PLACEHOLDER	araby_settlement	false	ovn_arb_settlement_major_1	true	
ovn_arb_settlement_major_2		ovn_sc_arb_araby		wh_main_PLACEHOLDER	araby_settlement	false	ovn_arb_settlement_major_2	true	
ovn_arb_settlement_major_3		ovn_sc_arb_araby		wh_main_PLACEHOLDER	araby_settlement	false	ovn_arb_settlement_major_3	true	
ovn_arb_settlement_major_4		ovn_sc_arb_araby		wh_main_PLACEHOLDER	araby_settlement	false	ovn_arb_settlement_major_4	true	
ovn_arb_settlement_major_5		ovn_sc_arb_araby		wh_main_PLACEHOLDER	araby_settlement	false	ovn_arb_settlement_major_5	true	
ovn_arb_settlement_major_ruin				wh_main_PLACEHOLDER	wh_main_settlement_default_ruin	false	wh_main_settlement_major_ruin	true	
ovn_arb_settlement_minor_1		ovn_sc_arb_araby		wh_main_PLACEHOLDER	araby_settlement	false	ovn_arb_settlement_minor_1	true	
ovn_arb_settlement_minor_2		ovn_sc_arb_araby		wh_main_PLACEHOLDER	araby_settlement	false	ovn_arb_settlement_minor_2	true	
ovn_arb_settlement_minor_3		ovn_sc_arb_araby		wh_main_PLACEHOLDER	araby_settlement	false	ovn_arb_settlement_minor_3	true	
ovn_arb_settlement_minor_ruin				wh_main_PLACEHOLDER	wh_main_settlement_default_ruin	false	wh_main_settlement_major_ruin	true	
ovn_arb_port_1		ovn_sc_arb_araby		wh_main_PLACEHOLDER	araby_dock	false	ovn_arb_port_1	true	
ovn_arb_port_2		ovn_sc_arb_araby		wh_main_PLACEHOLDER	araby_dock	false	ovn_arb_port_2	true	
ovn_arb_port_3		ovn_sc_arb_araby		wh_main_PLACEHOLDER	araby_dock	false	ovn_arb_port_3	true	
ovn_arb_port_ruin		ovn_sc_arb_araby		wh_main_PLACEHOLDER	wh_main_settlement_default_ruin	false	wh_main_settlement_major_ruin	true	
