building	culture	subculture	faction	description	icon	disables	short_description	display_tooltip	building_frame_override
#building_culture_variants_tables;5;db/building_culture_variants_tables/ovn_araby_special									
ovn_special_tomb_of_the_death_scarab			ovn_arb_aswad_scythans	wh_main_PLACEHOLDER	arb_fatandira_landmark	false	ovn_special_tomb_of_the_death_scarab	true	
ovn_special_palace_of_the_great_sultan		ovn_sc_arb_araby		wh_main_PLACEHOLDER	kislev_bokha_palace	false	ovn_special_palace_of_the_great_sultan	true	
ovn_special_gardens_of_bel-aliad		ovn_sc_arb_araby		wh_main_PLACEHOLDER	kislev_magnus_gardens	false	ovn_special_gardens_of_bel-aliad	true	
ovn_special_tomb_of_mullah_akland		ovn_sc_arb_araby		wh_main_PLACEHOLDER	tomb_of_mullah_akland	false	ovn_special_tomb_of_mullah_akland	true	
ovn_special_ivory_palace_of_ka-sabar		ovn_sc_arb_araby		wh_main_PLACEHOLDER	wh2_main_special_cothique_palace	false	ovn_special_ivory_palace_of_ka-sabar	true	
ovn_special_madrasat_el-sehr		ovn_sc_arb_araby		wh_main_PLACEHOLDER	special_lighthouse	false	ovn_special_madrasat_el-sehr	true	
ovn_special_fortress_of_nafel_muq		ovn_sc_arb_araby		wh_main_PLACEHOLDER	wh2_main_special_castle_drachenfels	false	ovn_special_fortress_of_nafel_muq	true	
ovn_special_the_black-gold_tower		ovn_sc_arb_araby		wh_main_PLACEHOLDER	special_glittering_tower	false	ovn_special_the_black-gold_tower	true	
ovn_special_crypt_of_abdul_ben_rachid		ovn_sc_arb_araby		wh_main_PLACEHOLDER	vampire_mausoleum_of_the_mad_count	false	ovn_special_crypt_of_abdul_ben_rachid	true	
ovn_special_portal_of_twilight			ovn_arb_sultanate_of_all_araby	wh_main_PLACEHOLDER	portal_of_twilight	false	ovn_special_portal_of_twilight	true	
ovn_special_portal_of_twilight			ovn_arb_golden_fleet	wh_main_PLACEHOLDER	portal_of_twilight	false	ovn_special_portal_of_twilight	true	
ovn_special_galleons_graveyard_magus_djinn			ovn_arb_golden_fleet	wh_main_PLACEHOLDER	arb_magus_paradise	false	ovn_special_galleons_graveyard_magus_djinn	true	
ovn_special_galleons_graveyard_magus_tzeentch			ovn_arb_golden_fleet	wh_main_PLACEHOLDER	tzeentch_special_symposium_of_change	false	ovn_special_galleons_graveyard_magus_tzeentch	true	
ovn_special_galleons_graveyard_wreck_1			ovn_arb_golden_fleet	wh_main_PLACEHOLDER	special_ship_wreck	false	wh2_dlc11_special_galleons_graveyard_wreck_1	true	
ovn_special_golden_magus_paradise_1			ovn_arb_golden_fleet	wh_main_PLACEHOLDER	galleons_graveyard	false	ovn_special_golden_magus_paradise	true	
ovn_special_golden_magus_paradise_2			ovn_arb_golden_fleet	wh_main_PLACEHOLDER	galleons_graveyard	false	ovn_special_golden_magus_paradise	true	
ovn_special_golden_magus_paradise_3			ovn_arb_golden_fleet	wh_main_PLACEHOLDER	galleons_graveyard	false	ovn_special_golden_magus_paradise	true	
ovn_special_golden_magus_paradise_4			ovn_arb_golden_fleet	wh_main_PLACEHOLDER	galleons_graveyard	false	ovn_special_golden_magus_paradise	true	
ovn_special_golden_magus_paradise_5			ovn_arb_golden_fleet	wh_main_PLACEHOLDER	galleons_graveyard	false	ovn_special_golden_magus_paradise	true	
wh2_dlc11_special_galleons_graveyard_wreck_1			ovn_arb_golden_fleet	wh_main_PLACEHOLDER	special_ship_wreck	true	wh2_dlc11_special_galleons_graveyard_wreck_1	true	
wh2_dlc11_special_settlement_galleons_graveyard_other_1			ovn_arb_golden_fleet	wh_main_PLACEHOLDER	galleons_graveyard	true	wh2_dlc11_special_settlement_galleons_graveyard_1	true	
wh2_dlc11_special_settlement_galleons_graveyard_other_ruin			ovn_arb_golden_fleet	wh_main_PLACEHOLDER	galleons_graveyard	true	wh2_dlc11_special_settlement_galleons_graveyard_ruin	true	
ovn_special_golden_magus_paradise_ruin			ovn_arb_golden_fleet	wh_main_PLACEHOLDER	galleons_graveyard	false	wh2_dlc11_special_settlement_galleons_graveyard_ruin	true	
ovn_arb_nehekharan_excavation		ovn_sc_arb_araby		wh_main_PLACEHOLDER	arb_excavation	false	ovn_arb_nehekharan_excavation	true	
ovn_special_copher_port_araby_1		ovn_sc_arb_araby		wh_main_PLACEHOLDER	copher_special_port	false	ovn_special_copher_port_araby	true	
