building	culture	subculture	faction	description	icon	disables	short_description	display_tooltip	building_frame_override
#building_culture_variants_tables;5;db/building_culture_variants_tables/ovn_araby_golden_magus									
ovn_arb_flaming_scimitar_main_1		ovn_sc_arb_araby		wh_main_PLACEHOLDER	arb_flaming_scimitar	false	wh2_dlc11_vampirecoast_ship_captains_cabin_1	true	
ovn_arb_flaming_scimitar_main_2		ovn_sc_arb_araby		wh_main_PLACEHOLDER	arb_flaming_scimitar	false	wh2_dlc11_vampirecoast_ship_captains_cabin_2	true	
ovn_arb_flaming_scimitar_main_3		ovn_sc_arb_araby		wh_main_PLACEHOLDER	arb_flaming_scimitar	false	wh2_dlc11_vampirecoast_ship_captains_cabin_3	true	
ovn_arb_flaming_scimitar_main_4		ovn_sc_arb_araby		wh_main_PLACEHOLDER	arb_flaming_scimitar	false	wh2_dlc11_vampirecoast_ship_captains_cabin_4	true	
ovn_arb_flaming_scimitar_main_5		ovn_sc_arb_araby		wh_main_PLACEHOLDER	arb_flaming_scimitar	false	wh2_dlc11_vampirecoast_ship_captains_cabin_5	true	
ovn_arb_flaming_scimitar_barracks_1		ovn_sc_arb_araby		wh_main_PLACEHOLDER	cst_ship_deck	false	wh2_dlc11_vampirecoast_ship_main_deck_1	true	
ovn_arb_flaming_scimitar_barracks_2		ovn_sc_arb_araby		wh_main_PLACEHOLDER	cst_ship_deck	false	wh2_dlc11_vampirecoast_ship_main_deck_2	true	
ovn_arb_flaming_scimitar_barracks_3		ovn_sc_arb_araby		wh_main_PLACEHOLDER	cst_ship_deck	false	wh2_dlc11_vampirecoast_ship_main_deck_3	true	
ovn_arb_flaming_scimitar_barracks_4		ovn_sc_arb_araby		wh_main_PLACEHOLDER	cst_ship_deck	false	wh2_dlc11_vampirecoast_ship_main_deck_4	true	
ovn_arb_flaming_scimitar_nomad_infantry_1		ovn_sc_arb_araby		wh_main_PLACEHOLDER	cst_ship_gunports	false	wh2_dlc11_vampirecoast_ship_gunports_1	true	
ovn_arb_flaming_scimitar_nomad_infantry_2		ovn_sc_arb_araby		wh_main_PLACEHOLDER	cst_ship_gunports	false	wh2_dlc11_vampirecoast_ship_gunports_2	true	
ovn_arb_flaming_scimitar_support_monsters_1		ovn_sc_arb_araby		wh_main_PLACEHOLDER	cst_ship_hold	false	wh2_dlc11_vampirecoast_ship_hold_1	true	
ovn_arb_flaming_scimitar_support_monsters_2		ovn_sc_arb_araby		wh_main_PLACEHOLDER	cst_ship_hold	false	wh2_dlc11_vampirecoast_ship_hold_2	true	
ovn_arb_flaming_scimitar_support_mages_1		ovn_sc_arb_araby		wh_main_PLACEHOLDER	araby_djinn	false	ovn_arb_flaming_scimitar_support_mages_1	true	
ovn_arb_flaming_scimitar_support_mages_2		ovn_sc_arb_araby		wh_main_PLACEHOLDER	araby_djinn	false	ovn_arb_flaming_scimitar_support_mages_2	true	
ovn_arb_flaming_scimitar_support_mages_3		ovn_sc_arb_araby		wh_main_PLACEHOLDER	araby_djinn	false	ovn_arb_flaming_scimitar_support_mages_3	true	
ovn_arb_flaming_scimitar_structure_movement_1		ovn_sc_arb_araby		wh_main_PLACEHOLDER	cst_ship_sail	false	wh2_dlc11_vampirecoast_ship_sail_1	true	
ovn_arb_flaming_scimitar_structure_movement_2		ovn_sc_arb_araby		wh_main_PLACEHOLDER	cst_ship_sail	false	wh2_dlc11_vampirecoast_ship_sail_2	true	
ovn_arb_flaming_scimitar_structure_movement_3		ovn_sc_arb_araby		wh_main_PLACEHOLDER	cst_ship_sail	false	wh2_dlc11_vampirecoast_ship_sail_3	true	
ovn_arb_flaming_scimitar_structure_upkeep_1		ovn_sc_arb_araby		wh_main_PLACEHOLDER	cst_ship_helm	false	wh2_dlc11_vampirecoast_ship_helm_1	true	
ovn_arb_flaming_scimitar_structure_upkeep_2		ovn_sc_arb_araby		wh_main_PLACEHOLDER	cst_ship_helm	false	wh2_dlc11_vampirecoast_ship_helm_2	true	
ovn_arb_flaming_scimitar_structure_upkeep_3		ovn_sc_arb_araby		wh_main_PLACEHOLDER	cst_ship_helm	false	wh2_dlc11_vampirecoast_ship_helm_3	true	
ovn_arb_flaming_scimitar_structure_replenishment_1		ovn_sc_arb_araby		wh_main_PLACEHOLDER	cst_ship_hull	false	wh2_dlc11_vampirecoast_ship_hull_1	true	
ovn_arb_flaming_scimitar_structure_replenishment_2		ovn_sc_arb_araby		wh_main_PLACEHOLDER	cst_ship_hull	false	wh2_dlc11_vampirecoast_ship_hull_2	true	
ovn_arb_flaming_scimitar_structure_replenishment_3		ovn_sc_arb_araby		wh_main_PLACEHOLDER	cst_ship_hull	false	wh2_dlc11_vampirecoast_ship_hull_3	true	
ovn_arb_flaming_scimitar_structure_growth_1		ovn_sc_arb_araby		wh_main_PLACEHOLDER	cst_ship_anchor	false	wh2_dlc11_vampirecoast_ship_anchor_1	true	
ovn_arb_flaming_scimitar_structure_growth_2		ovn_sc_arb_araby		wh_main_PLACEHOLDER	cst_ship_anchor	false	wh2_dlc11_vampirecoast_ship_anchor_2	true	
ovn_arb_flaming_scimitar_structure_growth_3		ovn_sc_arb_araby		wh_main_PLACEHOLDER	cst_ship_anchor	false	wh2_dlc11_vampirecoast_ship_anchor_3	true	
ovn_arb_flaming_scimitar_defense_bombardment_1		ovn_sc_arb_araby		wh_main_PLACEHOLDER	cst_ship_cannons	false	ovn_arb_flaming_scimitar_defense_bombardment_1	true	
ovn_arb_flaming_scimitar_defense_magical_bombardment_1		ovn_sc_arb_araby		wh_main_PLACEHOLDER	cst_ship_cannons	false	ovn_arb_flaming_scimitar_defense_bombardment_2	true	
ovn_arb_flaming_scimitar_defense_magical_bombardment_2		ovn_sc_arb_araby		wh_main_PLACEHOLDER	cst_ship_cannons	false	ovn_arb_flaming_scimitar_defense_bombardment_3	true	
ovn_arb_flaming_scimitar_unique_minaret_1		ovn_sc_arb_araby		wh_main_PLACEHOLDER	arb_special_minaret	false	ovn_arb_flaming_scimitar_unique_minaret_1	true	
