building	culture	subculture	faction	description	icon	disables	short_description	display_tooltip	building_frame_override
#building_culture_variants_tables;5;db/building_culture_variants_tables/ovn_araby_resources									
ovn_arb_resource_coffee_1		ovn_sc_arb_araby		wh_main_PLACEHOLDER	ovn_araby_coffee	false	ovn_arb_resource_coffee_1	true	
ovn_arb_resource_coffee_2		ovn_sc_arb_araby		wh_main_PLACEHOLDER	ovn_araby_coffee	false	ovn_arb_resource_coffee_2	true	
ovn_arb_resource_coffee_3		ovn_sc_arb_araby		wh_main_PLACEHOLDER	ovn_araby_coffee	false	ovn_arb_resource_coffee_3	true	
ovn_arb_resource_animals_1		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_animals	false	wh2_main_hef_resource_animals_1	true	
ovn_arb_resource_animals_2		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_animals	false	wh2_main_hef_resource_animals_2	true	
ovn_arb_resource_animals_3		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_animals	false	wh2_main_hef_resource_animals_3	true	
ovn_arb_resource_dyes_1		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_dyes	false	wh_main_emp_resource_dyes_1	true	
ovn_arb_resource_dyes_2		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_dyes	false	wh_main_emp_resource_dyes_2	true	
ovn_arb_resource_dyes_3		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_dyes	false	wh_main_emp_resource_dyes_3	true	
ovn_arb_resource_furs_1		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_furs	false	wh_main_emp_resource_furs_1	true	
ovn_arb_resource_furs_2		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_furs	false	wh_main_emp_resource_furs_2	true	
ovn_arb_resource_furs_3		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_furs	false	wh2_main_hef_resource_furs_3	true	
ovn_arb_resource_gems_1		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_gems	false	wh2_main_alt_resource_gems_1	true	
ovn_arb_resource_gems_2		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_gems	false	wh_main_dwf_resource_gems_2	true	
ovn_arb_resource_gems_3		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_gems	false	wh_main_dwf_resource_gems_3	true	
ovn_arb_resource_gold_1		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_gold	false	wh2_main_alt_resource_gold_1	true	
ovn_arb_resource_gold_2		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_gold	false	wh2_main_hef_resource_gold_2	true	
ovn_arb_resource_gold_3		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_gold	false	wh_main_dwf_resource_gold_3	true	
ovn_arb_resource_iron_1		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_iron	false	wh_main_emp_resource_iron_1	true	
ovn_arb_resource_iron_2		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_iron	false	wh2_main_alt_resource_iron_2	true	
ovn_arb_resource_iron_3		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_iron	false	wh_main_emp_resource_iron_3	true	
ovn_arb_resource_ivory_1		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_ivory	false	wh3_main_ksl_resource_ivory_1	true	
ovn_arb_resource_ivory_2		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_ivory	false	wh3_main_ksl_resource_ivory_2	true	
ovn_arb_resource_ivory_3		ovn_sc_arb_araby		wh_main_PLACEHOLDER	resource_ivory	false	wh3_main_ksl_resource_ivory_3	true	
