key	auto_generate	is_caster	small_icon	associated_unit_override	audio_voiceover_actor_group	show_in_ui	cap	has_female_name	can_gain_xp	loyalty_is_applicable	contributes_to_agent_cap	recruitment_category	magic_lore	names_group	can_be_loaned	recruitable	saving_settings	audio_vo_culture_override	spam_click_vo_enabled	can_equip_ancillaries	cost	recruitment_button_active_icon_path	recruitment_button_background_icon_path	audio_force_contextual_vo
#agent_subtypes_tables;3;db/agent_subtypes_tables/ovn_araby_only																								
arb_fatandira	false	false		ovn_arb_cha_fatandira_0	ovn_vo_actor_Araby_Fatandira	true	-1	false	true	false	true	legendary_lords			false	true	cannot_be_loaded_in_campaign		false	true	850			false
arb_sultan_jaffar	false	true		ovn_arb_cha_sultan_jaffar_0	ovn_vo_actor_Araby_Sultan_Jaffar	true	-1	false	true	false	true	legendary_lords			false	true	cannot_be_loaded_in_campaign		false	true	850			false
arb_golden_magus	false	true		ovn_arb_cha_golden_magus_0	ovn_vo_actor_Araby_Golden_Magus	true	-1	false	true	false	true	legendary_lords			false	true	cannot_be_loaded_in_campaign		false	true	850			false
arb_caravan_master	true	false		ovn_arb_cha_caravan_master	ovn_vo_actor_Araby_Generic_Lord	true	-1	false	true	false	true	arb_caravan_master			false	false	cannot_be_loaded_in_campaign		false	true	750			false
arb_sheikh	true	false		ovn_arb_cha_sheikh_0	ovn_vo_actor_Araby_Generic_Lord	true	-1	false	true	false	true	araby_lord			true	true	cannot_be_loaded_in_campaign		false	true	600			false
arb_vizier_fire	true	true	UI/Campaign UI/Agents/wh_main_lore_fire.png	ovn_arb_cha_vizier_fire_0	ovn_vo_actor_Araby_Grand_Vizier	true	-1	false	true	false	true	arb_vizier	wh_main_lore_fire		true	true	cannot_be_loaded_in_campaign		false	true	900			false
arb_vizier_life	true	true	ui/campaign ui/agents/wh_dlc05_lore_life.png	ovn_arb_cha_vizier_life_0	ovn_vo_actor_Araby_Grand_Vizier	true	-1	false	true	false	true	arb_vizier	wh_dlc05_lore_life		true	true	cannot_be_loaded_in_campaign		false	true	900			false
arb_vizier_heavens	true	true	ui/campaign ui/agents/wh_main_lore_heavens.png	ovn_arb_cha_vizier_heavens_0	ovn_vo_actor_Araby_Grand_Vizier	true	-1	false	true	false	true	arb_vizier	wh_main_lore_heavens		true	true	cannot_be_loaded_in_campaign		false	true	900			false
arb_vizier_desert	true	true	ui/campaign ui/agents/ovn_lore_desert.png	ovn_arb_cha_vizier_desert_0	ovn_vo_actor_Araby_Grand_Vizier	true	-1	false	true	false	true	arb_vizier	ovn_lore_desert		true	true	cannot_be_loaded_in_campaign		false	true	900			false
arb_champion	true	false		ovn_arb_cha_champion_0	ovn_vo_actor_Araby_Generic_Lord	true	-1	false	true	false	true				true	true	cannot_be_loaded_in_campaign		false	true	350			false
arb_champion_wazar	false	false		ovn_arb_cha_champion_wazar_0	ovn_vo_actor_Araby_Generic_Lord	false	-1	false	true	false	true				true	true	cannot_be_loaded_in_campaign		false	true	350			false
arb_nomad	true	false		ovn_arb_cha_nomad_0	wh2_dlc16_vo_actor_Wood_Elves_GladeCaptain	true	-1	true	true	false	true				true	true	cannot_be_loaded_in_campaign		false	true	500			false
arb_magician_life	true	true	ui/campaign ui/agents/wh_dlc05_lore_life.png	ovn_arb_cha_magician_life_0	ovn_vo_actor_Araby_Sorcerer	true	-1	false	true	false	true				true	true	cannot_be_loaded_in_campaign		false	true	750			false
arb_magician_desert	true	true	ui/campaign ui/agents/ovn_lore_desert.png	ovn_arb_cha_magician_desert_0	ovn_vo_actor_Araby_Sorcerer	true	-1	false	true	false	true				true	true	cannot_be_loaded_in_campaign		false	true	750			false
arb_magician_fire	true	true	ui/campaign ui/agents/wh_main_lore_fire.png	ovn_arb_cha_magician_fire_0	ovn_vo_actor_Araby_Sorcerer	true	-1	false	true	false	true				true	true	cannot_be_loaded_in_campaign		false	true	750			false
arb_magician_heavens	true	true	ui/campaign ui/agents/wh_main_lore_heavens.png	ovn_arb_cha_magician_heavens_0	ovn_vo_actor_Araby_Sorcerer	true	-1	false	true	false	true				true	true	cannot_be_loaded_in_campaign		false	true	750			false
arb_sheikh_mehmed	false	false		ovn_arb_cha_sheikh_mehmed_0	ovn_vo_actor_Araby_Generic_Lord	true	-1	false	true	false	true	legendary_lords			false	true	cannot_be_loaded_in_campaign		false	true	850			false
