key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
#missile_weapons_tables;11;db/missile_weapons_tables/ovn_araby_only				
roy_arb_nomard_bow	false	roy_arb_nomard_bow	crossbow	false
roy_arb_nomard_bow_summoned	false	roy_arb_nomard_bow_summoned	crossbow	false
ovn_arb_tempest_djinn	false	ovn_arb_tempest_djinn_shot	cannon	false
ovn_arb_tempest_djinn_ror	false	ovn_arb_tempest_djinn_shot_ror	cannon	false
ovn_arb_inf_jezzails	false	ovn_arb_inf_jezzails_bullet	iron_hail_gunner	false
ovn_arb_inf_jezzails_ror	false	ovn_arb_inf_jezzails_bullet_ror	iron_hail_gunner	false
ovn_arb_elephant_cannon	false	ovn_arb_elephant_cannon_ball	cannon	false
arb_napthta_bomb	false	arb_napthta_bomb	globe	false
arb_napthta_bomb_ror	false	arb_napthta_bomb_ror	globe	false
arb_corsair_pistol	true	wh_dlc04_emp_free_company_pistol_bullet	pistol	false
arb_fatandira_bow	false	arb_fatandira_bow_arrow	bow_LH	false
arb_magus_skiff_cannons	false	arb_djinn_skiff_cannon_ball	cannon	false
ovn_arb_grand_bombard	false	ovn_arb_grand_bombard_projectile	great_cannon	false
ovn_arb_grand_bombard_ror	false	ovn_arb_grand_bombard_projectile_ror	great_cannon	false
ovn_arb_naphtha_thrower	false	ovn_arb_naphtha_thrower_shot	flame_cannon	false
ovn_arb_naphtha_thrower_ror	false	ovn_arb_naphtha_thrower_shot_ror	flame_cannon	false
ovn_arb_quadballista_bolts	false	ovn_arb_quadballista_bolts	bolt_launcher_eagle_claw	false
ovn_arb_quadballista_bolts_ror	false	ovn_arb_quadballista_bolts_ror	bolt_launcher_eagle_claw	false
ovn_arb_javelin	false	ovn_arb_javelin	javelin	false
arb_carpet_bow	false	arb_carpet_bow	bow	false
ovn_arb_bowmen	false	ovn_arb_bowmen_arrow	bow	false
ovn_arb_inf_jezzails_riders	false	wh2_dlc13_emp_rifle_war_wagons_bullet	iron_hail_gunner	false
ovn_arb_camel_arrow	false	ovn_arb_camel_arrow	bow	false
ovn_skiff_bomb	false	ovn_skiff_bomb		false
ovn_arb_inf_jezzails_riders_skiff	false	wh2_dlc13_emp_rifle_war_wagons_bullet	iron_hail_gunner	true
