id	group	priority
#campaign_group_members_tables;1;db/campaign_group_members_tables/ovn_grudge		
ovn_event_pic_paymaater	ovn_event_pic_paymaater	0.0000
rhox_grudgebringer_marker_spawn	rhox_grudgebringer_marker_spawn	0.0000
rhox_grudgebringer_marker_disappear	rhox_grudgebringer_marker_disappear	0.0000
rhox_grudgebringer_occupation	rhox_grudgebringer_occupation	2.0000
rhox_grudgebringer_sack	rhox_grudgebringer_sack	2.0000
rhox_grudgebringer_stance	rhox_grudgebringer_stance	0.0000
rhox_grudgebringer_feature	rhox_grudgebringer_feature	0.0000
ovn_grudge_basic_camp	ovn_grudge_basic_camp	2.0000
rhox_grudgebringer_camp_stance	rhox_grudgebringer_camp_stance	0.0000
wh3_main_winds_of_magic_wh_main_emp_cha_grudge	wh3_main_winds_of_magic	0.0000
rhox_grudgebringer_morgan_group	rhox_grudgebringer_morgan_group	0.0000
wh3_dlc25_grudge_points_enemy_armies_wh_main_emp_cha_grudge	wh3_dlc25_grudge_points_enemy_armies	0.0000
