bonus_value_id	effect	subculture
#effect_bonus_value_subculture_junctions_tables;0;db/effect_bonus_value_subculture_junctions_tables/ovn_fimir_only		
diplomatic_mod	ovn_fimir_diplomacy_bonus_all_fimir	ovn_sc_fim_fimir
diplomatic_mod	ovn_fimir_diplomacy_bonus_all_fimir	wh3_main_sc_dae_daemons
diplomatic_mod	ovn_fimir_diplomacy_bonus_all_fimir	wh3_main_sc_kho_khorne
diplomatic_mod	ovn_fimir_diplomacy_bonus_all_fimir	wh3_main_sc_nur_nurgle
diplomatic_mod	ovn_fimir_diplomacy_bonus_all_fimir	wh3_main_sc_sla_slaanesh
diplomatic_mod	ovn_fimir_diplomacy_bonus_all_fimir	wh3_main_sc_tze_tzeentch
diplomatic_mod	ovn_fimir_diplomacy_bonus_all_fimir	wh_dlc03_sc_bst_beastmen
diplomatic_mod	ovn_fimir_diplomacy_bonus_all_fimir	wh_dlc08_sc_nor_norsca
diplomatic_mod	ovn_fimir_diplomacy_bonus_all_fimir	wh_main_sc_chs_chaos
diplomatic_mod	ovn_fimir_diplomacy_bonus_all_fimir	wh_main_sc_grn_greenskins
diplomatic_mod	ovn_fimir_diplomacy_bonus_all_fimir	wh_main_sc_grn_savage_orcs
diplomatic_mod	ovn_fimir_diplomacy_bonus_all_fimir	wh2_main_sc_def_dark_elves
diplomatic_mod	ovn_fimir_diplomacy_bonus_all_fimir	wh3_dlc23_sc_chd_chaos_dwarfs
diplomatic_mod	wh3_main_faction_trait_diplomacy_mod_mazdamundi	ovn_sc_fim_fimir
diplomatic_mod_tech	wh_main_faction_political_diplomacy_mod_technology	ovn_sc_fim_fimir
diplomatic_mod	wh_main_faction_political_diplomacy_mod	ovn_sc_fim_fimir
diplomatic_mod	ovn_fimir_faction_political_diplomacy_mod_fimir	ovn_sc_fim_fimir
diplomatic_mod_imperium	wh_main_effect_faction_imperium_diplomacy_penalty	ovn_sc_fim_fimir
diplomatic_mod	wh3_dlc23_effect_skill_astragoth_diplomacy_mod	ovn_sc_fim_fimir
diplomatic_mod	wh3_dlc23_faction_political_diplomacy_mod_chaos_dwarfs_chaos_norsca	ovn_sc_fim_fimir
diplomatic_mod	wh3_dlc25_faction_political_diplomacy_mod_chaos_norsca_beastmen_daemons	ovn_sc_fim_fimir
diplomatic_mod	wh2_dlc11_faction_political_diplomacy_mod_chaos_beastmen_norsca	ovn_sc_fim_fimir
diplomatic_mod	wh3_main_faction_political_diplomacy_mod_technology_chaos_beastmen_norsca	ovn_sc_fim_fimir
diplomatic_mod_tech	wh3_main_faction_political_diplomacy_mod_technology_chaos_beastmen_norsca	ovn_sc_fim_fimir
