id	mission_key	option_key	value	target
#cdir_events_mission_option_junctions_tables;2;db/cdir_events_mission_option_junctions_tables/ovn_araby_only				
910609537	wh2_dlc11_cst_treasure_map_starting_treasure_rhox_golden_magus	VAR_OBJECTIVE_FORCE_STANCE_RECORD	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	default
910609538	wh2_dlc11_cst_treasure_map_starting_treasure_rhox_golden_magus	VAR_OBJECTIVE_LOGICAL_POSTION	120;179	default
910609539	wh2_dlc11_cst_treasure_map_starting_treasure_rhox_golden_magus	CND_MISSION_NOT_ACTIVE	wh2_dlc11_cst_treasure_map_starting_treasure_rhox_golden_magus	default
910609540	wh2_dlc11_cst_treasure_map_starting_treasure_rhox_golden_magus	VAR_CHANCE	100	default
910609541	wh2_dlc11_cst_treasure_map_starting_treasure_rhox_golden_magus	VAR_OBJECTIVE_OVERRIDE_TEXT	mission_text_text_wh2_dlc11_objective_treasure_maps	default
910609542	wh2_dlc11_cst_treasure_map_starting_treasure_rhox_golden_magus	GEN_TARGET_NONE		default
910609543	wh2_dlc11_cst_treasure_map_starting_treasure_rhox_golden_magus	VAR_OBJECTIVE_HEX_TRIGGER_RADIUS	20	default
910609544	wh2_dlc11_cst_treasure_map_starting_treasure_rhox_golden_magus	VAR_OBJECTIVE_TRIGGER_IMMEDIATELY		default
900609545	wh2_dlc11_cst_treasure_map_starting_treasure_rhox_golden_magus	VAR_OBJECTIVE_MAX_DISTANCE_TO_DECOY	50	default
900609546	wh2_dlc11_cst_treasure_map_starting_treasure_rhox_golden_magus	VAR_MISSION_LENGTH_INFINITE		default
900609547	wh2_dlc11_cst_treasure_map_cathey_treasure_me_1_level_1	VAR_OBJECTIVE_FORCE_STANCE_RECORD	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	default
900609548	wh2_dlc11_cst_treasure_map_cathey_treasure_me_1_level_1	VAR_OBJECTIVE_LOGICAL_POSTION	1318;527	default
900609549	wh2_dlc11_cst_treasure_map_cathey_treasure_me_1_level_1	CND_MISSION_NOT_ACTIVE	wh2_dlc11_cst_treasure_map_cathey_treasure_me_1_level_1	default
900609550	wh2_dlc11_cst_treasure_map_cathey_treasure_me_1_level_1	VAR_CHANCE	100	default
900609551	wh2_dlc11_cst_treasure_map_cathey_treasure_me_1_level_1	VAR_OBJECTIVE_OVERRIDE_TEXT	mission_text_text_wh2_dlc11_objective_treasure_maps	default
900609552	wh2_dlc11_cst_treasure_map_cathey_treasure_me_1_level_1	GEN_TARGET_NONE		default
900609553	wh2_dlc11_cst_treasure_map_cathey_treasure_me_1_level_1	VAR_OBJECTIVE_HEX_TRIGGER_RADIUS	20	default
900609554	wh2_dlc11_cst_treasure_map_cathey_treasure_me_1_level_1	VAR_OBJECTIVE_TRIGGER_IMMEDIATELY		default
900609555	wh2_dlc11_cst_treasure_map_cathey_treasure_me_1_level_1	VAR_OBJECTIVE_MAX_DISTANCE_TO_DECOY	50	default
900609556	wh2_dlc11_cst_treasure_map_cathey_treasure_me_1_level_1	VAR_MISSION_LENGTH_INFINITE		default
900609557	wh2_dlc11_cst_treasure_map_cathey_treasure_me_2_level_1	VAR_OBJECTIVE_FORCE_STANCE_RECORD	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	default
