member	context	culture
#campaign_group_member_criteria_cultures_tables;1;db/campaign_group_member_criteria_cultures_tables/ovn_cul_alb_albion		
wh_captive_option_enslave_albion	ORIGINATOR	ovn_albion
wh_captive_option_kill_albion	ORIGINATOR	ovn_albion
wh_captive_option_release_albion	ORIGINATOR	ovn_albion
ovn_even_feed_cult_albion	ACTOR	ovn_albion
wh_dlc10_feed_agent_action_shadow_walker_hinder_character_albion	ACTOR	ovn_albion
wh_event_feed_agent_action_all_failure_critical_hinder_army_albion	ACTOR	ovn_albion
wh_event_feed_agent_action_all_failure_critical_hinder_character_albion	ACTOR	ovn_albion
wh_event_feed_agent_action_all_failure_critical_hinder_province_albion	ACTOR	ovn_albion
wh_event_feed_agent_action_all_failure_hinder_army_albion	ACTOR	ovn_albion
wh_event_feed_agent_action_all_failure_hinder_character_albion	ACTOR	ovn_albion
wh_event_feed_agent_action_all_failure_hinder_province_albion	ACTOR	ovn_albion
wh_event_feed_agent_action_all_hinder_character_albion	ACTOR	ovn_albion
wh_event_feed_agent_action_all_success_critical_hinder_character_albion	ACTOR	ovn_albion
wh_event_feed_agent_action_champion_hinder_army_albion	ACTOR	ovn_albion
wh_event_feed_agent_action_champion_hinder_settlement_albion	ACTOR	ovn_albion
wh_event_feed_agent_action_champion_hinder_settlement_plague_priest_albion	ACTOR	ovn_albion
wh_event_feed_agent_action_champion_hinder_settlement_warlock_engineer_albion	ACTOR	ovn_albion
wh_event_feed_agent_action_dignitary_hinder_army_albion	ACTOR	ovn_albion
wh_event_feed_agent_action_dignitary_hinder_settlement_albion	ACTOR	ovn_albion
wh_event_feed_agent_action_engineer_hinder_settlement_albion	ACTOR	ovn_albion
wh_event_feed_agent_action_hinder_settlement_gain_influence_albion	ACTOR	ovn_albion
wh_event_feed_agent_action_spy_hinder_army_albion	ACTOR	ovn_albion
wh_event_feed_agent_action_spy_hinder_settlement_albion	ACTOR	ovn_albion
wh_event_feed_agent_action_wizard_hinder_army_albion	ACTOR	ovn_albion
