key	campaign_key	faction_key	indent	technology_key	technology_node_set	tier	research_points_required	cost_per_round	food_cost	optional_ui_group	resource_cost	required_parents	pixel_offset_x	pixel_offset_y
#technology_nodes_tables;0;db/technology_nodes_tables/ovn_fimir_only														
elo_fimir_slave_eco_1_new			5	elo_fimir_slave_eco_1	ovn_fim_fimir_tech	1	300	0	0			0	0	0
elo_fimir_slave_eco_2_new			5	elo_fimir_slave_eco_2	ovn_fim_fimir_tech	2	500	0	0			0	0	0
elo_fimir_slave_eco_3_new			5	elo_fimir_slave_eco_3	ovn_fim_fimir_tech	3	800	0	0			0	0	0
elo_fimir_slave_eco_4_new			5	elo_fimir_slave_eco_4	ovn_fim_fimir_tech	4	1200	0	0			0	0	0
elo_fimir_slave_eco_5_new			5	elo_fimir_slave_eco_5	ovn_fim_fimir_tech	5	1500	0	0			0	0	0
elo_fimir_culture_1_new			4	elo_fimir_culture_1	ovn_fim_fimir_tech	1	300	0	0			0	0	0
elo_fimir_culture_2_new			4	elo_fimir_culture_2	ovn_fim_fimir_tech	2	500	0	0			0	0	0
elo_fimir_culture_3_new			4	elo_fimir_culture_3	ovn_fim_fimir_tech	3	800	0	0			0	0	0
elo_fimir_culture_4_new			4	elo_fimir_culture_4	ovn_fim_fimir_tech	4	1200	0	0			0	0	0
elo_fimir_culture_5_new			4	elo_fimir_culture_5	ovn_fim_fimir_tech	5	1500	0	0			0	0	0
elo_fimir_military_1_new			6	elo_fimir_military_1	ovn_fim_fimir_tech	1	300	0	0			0	0	0
elo_fimir_military_2_new			6	elo_fimir_military_2	ovn_fim_fimir_tech	2	500	0	0			0	0	0
elo_fimir_military_3_new			6	elo_fimir_military_3	ovn_fim_fimir_tech	3	800	0	0			0	0	0
elo_fimir_military_4_new			6	elo_fimir_military_4	ovn_fim_fimir_tech	4	1200	0	0			0	0	0
elo_fimir_military_5_new			6	elo_fimir_military_5	ovn_fim_fimir_tech	5	1500	0	0			0	0	0
elo_fimir_magic_1_new			7	elo_fimir_magic_1	ovn_fim_fimir_tech	1	300	0	0			0	0	0
elo_fimir_magic_2_new			7	elo_fimir_magic_2	ovn_fim_fimir_tech	2	500	0	0			0	0	0
elo_fimir_magic_3_new			7	elo_fimir_magic_3	ovn_fim_fimir_tech	3	800	0	0			0	0	0
elo_fimir_magic_4_new			7	elo_fimir_magic_4	ovn_fim_fimir_tech	4	1200	0	0			0	0	0
elo_fimir_magic_5_new			7	elo_fimir_magic_5	ovn_fim_fimir_tech	5	1500	0	0			0	0	0
