id	incident_key	payload_key	value	target_key
#cdir_events_incident_payloads_tables;2;db/cdir_events_incident_payloads_tables/ovn_araby_only				
592517281	rhox_araby_incident_cst_sea_shanty_gained_2	EFFECT_BUNDLE	KEY[wh2_dlc11_bundle_sea_shanty_verse_2];DURATION[0]	default
592517282	rhox_araby_incident_cst_sea_shanty_gained_1	EFFECT_BUNDLE	KEY[wh2_dlc11_bundle_sea_shanty_verse_1];DURATION[0]	default
592517283	rhox_araby_incident_cst_sea_shanty_gained_3	EFFECT_BUNDLE	KEY[rhox_araby_bundle_sea_shanty_complete];DURATION[0]	default
592517284	rhox_araby_incident_cst_sea_shanty_gained_3	EFFECT_BUNDLE	KEY[wh2_dlc11_bundle_sea_shanty_verse_3];DURATION[0]	default
592517285	rhox_araby_jaffar_conquer_incident_araby_united	TEXT_DISPLAY	LOOKUP[rhox_araby_jaffar_djinn_unlock]	default
592517286	rhox_araby_jaffar_conquer_incident_teb_complete	TEXT_DISPLAY	LOOKUP[rhox_araby_jaffar_djinn_unlock]	default
592517287	rhox_araby_jaffar_conquer_incident_bretonnia_foothold	TEXT_DISPLAY	LOOKUP[rhox_araby_jaffar_djinn_unlock]	default
592517288	rhox_araby_jaffar_conquer_incident_bretonnia_complete	TEXT_DISPLAY	LOOKUP[rhox_araby_jaffar_djinn_unlock]	default
592517290	rhox_araby_fatandira_araby_100	TEXT_DISPLAY	LOOKUP[rhox_araby_fatandira_djinn_unlock]	default
592517291	rhox_araby_fatandira_tk_100	TEXT_DISPLAY	LOOKUP[rhox_araby_fatandira_tk_unlock]	default
592517292	rhox_araby_jaffar_conquer_incident_araby_united	TEXT_DISPLAY	LOOKUP[rhox_araby_jaffar_mehmed_unlock]	default
