choice_key	dilemma_key	audio_event_hover	audio_choice_vo
#cdir_events_dilemma_choice_details_tables;4;db/cdir_events_dilemma_choice_details_tables/rhox_araby			
FIRST	rhox_araby_jaffar_dilemma_cathay_caravan		
SECOND	rhox_araby_jaffar_dilemma_cathay_caravan		
FIRST	rhox_araby_jaffar_dilemma_dwarfs		
SECOND	rhox_araby_jaffar_dilemma_dwarfs		
FIRST	rhox_araby_jaffar_dilemma_far_from_home		
SECOND	rhox_araby_jaffar_dilemma_far_from_home		
FIRST	rhox_araby_jaffar_dilemma_fresh_battlefield		
SECOND	rhox_araby_jaffar_dilemma_fresh_battlefield		
FIRST	rhox_araby_jaffar_dilemma_hungry_daemons		
SECOND	rhox_araby_jaffar_dilemma_hungry_daemons		
FIRST	rhox_araby_jaffar_dilemma_localised_elfs		
SECOND	rhox_araby_jaffar_dilemma_localised_elfs		
FIRST	rhox_araby_jaffar_dilemma_offence_or_defence		
SECOND	rhox_araby_jaffar_dilemma_offence_or_defence		
FIRST	rhox_araby_jaffar_dilemma_ogre_mercenaries		
SECOND	rhox_araby_jaffar_dilemma_ogre_mercenaries		
FIRST	rhox_araby_jaffar_dilemma_power_overwhelming		
SECOND	rhox_araby_jaffar_dilemma_power_overwhelming		
FIRST	rhox_araby_jaffar_dilemma_quick_way_down		
SECOND	rhox_araby_jaffar_dilemma_quick_way_down		
FIRST	rhox_araby_jaffar_dilemma_rats_in_a_tunnel		
SECOND	rhox_araby_jaffar_dilemma_rats_in_a_tunnel		
FIRST	rhox_araby_jaffar_dilemma_redeadify		
SECOND	rhox_araby_jaffar_dilemma_redeadify		
FIRST	rhox_araby_jaffar_dilemma_the_ambush		
SECOND	rhox_araby_jaffar_dilemma_the_ambush		
FIRST	rhox_araby_jaffar_dilemma_the_guide		
SECOND	rhox_araby_jaffar_dilemma_the_guide		
FIRST	rhox_araby_jaffar_dilemma_trading_dark_elfs		
SECOND	rhox_araby_jaffar_dilemma_trading_dark_elfs		
FIRST	rhox_araby_jaffar_dilemma_training_camp		
SECOND	rhox_araby_jaffar_dilemma_training_camp		
FIRST	rhox_araby_jaffar_dilemma_way_of_lava		
SECOND	rhox_araby_jaffar_dilemma_way_of_lava		
FIRST	rhox_araby_jaffar_dilemma_tk_crypt		
FIRST	rhox_araby_jaffar_dilemma_skaven_ambush		
FIRST	rhox_araby_jaffar_dilemma_def_black_ark_reinforcement_battle		
FIRST	rhox_araby_jaffar_dilemma_cst_treasure_map		
FIRST	rhox_araby_jaffar_dilemma_hef_tax_reinforcement_battle		
FIRST	rhox_araby_jaffar_dilemma_wooden_lamp		
FIRST	rhox_araby_jaffar_dilemma_brt_errant		
FIRST	rhox_araby_jaffar_dilemma_hef_tribute		
FIRST	rhox_araby_jaffar_dilemma_def_corsair		
FIRST	rhox_araby_jaffar_dilemma_emp_mercenaries		
FIRST	rhox_araby_jaffar_dilemma_chd_cannon_reinforcement_battle		
FIRST	rhox_araby_jaffar_dilemma_dwf_thane_reinforcement_battle		
FIRST	rhox_araby_jaffar_dilemma_vmp_shortcut		
FIRST	rhox_araby_jaffar_dilemma_fimir_battle		
FIRST	rhox_araby_jaffar_dilemma_teb_reinforcement		
FIRST	rhox_araby_jaffar_dilemma_gnoblar_reinforcement		
FIRST	rhox_araby_jaffar_dilemma_tmb_reinforcement_battle		
FIRST	rhox_araby_jaffar_dilemma_dk_battle		
FIRST	rhox_araby_jaffar_dilemma_brt_battle		
FIRST	rhox_araby_jaffar_dilemma_arb_carpet		
FIRST	rhox_araby_jaffar_dilemma_arb_rope		
SECOND	rhox_araby_jaffar_dilemma_tk_crypt		
SECOND	rhox_araby_jaffar_dilemma_skaven_ambush		
SECOND	rhox_araby_jaffar_dilemma_def_black_ark_reinforcement_battle		
SECOND	rhox_araby_jaffar_dilemma_cst_treasure_map		
SECOND	rhox_araby_jaffar_dilemma_hef_tax_reinforcement_battle		
SECOND	rhox_araby_jaffar_dilemma_wooden_lamp		
SECOND	rhox_araby_jaffar_dilemma_brt_errant		
SECOND	rhox_araby_jaffar_dilemma_hef_tribute		
SECOND	rhox_araby_jaffar_dilemma_def_corsair		
SECOND	rhox_araby_jaffar_dilemma_emp_mercenaries		
SECOND	rhox_araby_jaffar_dilemma_chd_cannon_reinforcement_battle		
SECOND	rhox_araby_jaffar_dilemma_dwf_thane_reinforcement_battle		
SECOND	rhox_araby_jaffar_dilemma_vmp_shortcut		
SECOND	rhox_araby_jaffar_dilemma_fimir_battle		
SECOND	rhox_araby_jaffar_dilemma_teb_reinforcement		
SECOND	rhox_araby_jaffar_dilemma_gnoblar_reinforcement		
SECOND	rhox_araby_jaffar_dilemma_tmb_reinforcement_battle		
SECOND	rhox_araby_jaffar_dilemma_dk_battle		
SECOND	rhox_araby_jaffar_dilemma_brt_battle		
SECOND	rhox_araby_jaffar_dilemma_arb_carpet		
SECOND	rhox_araby_jaffar_dilemma_arb_rope		
