key	state	sort_order	icon_path
#ui_unit_bullet_point_enums_tables;4;db/ui_unit_bullet_point_enums_tables/ovn_grudgebringers_only			
hero_led	positive	0	
gunther_schepke	positive	1	
shield_of_ptolos	positive	3	
grudgebringer_sword	positive	2	
enchanted_shield	positive	3	
morgan_bernhardt	positive	1	
azguz_bloodfist	positive	1	
dargrimm_firebeard	positive	1	
stormsword	positive	2	
countess_isabel	positive	1	
heinz_klemper	positive	0	
banner_of_wrath	positive	3	
ramon_black	positive	0	
potion_of_strength	positive	4	
eric_ragnar	positive	0	
sven_carlsson	positive	0	
boris_von_raukov_4th_nuln_halberdiers	positive	0	
dieter_schaeffer_carroburg_greatswords	positive	0	
helmgart_bowmen	positive	0	
elrond	positive	0	
jurgen_muntz	positive	0	
eusebio_the_bleak	positive	0	
bernard	positive	0	
siegfried_vannheim	positive	0	
galed	positive	0	
urblab_rotgut	positive	0	
willem_fletcher	positive	0	
johann_keeler	positive	0	
stephan_weiss	positive	0	
leitdorf_9th_crossbows	positive	0	
reiksguard_knights_todbringer	positive	0	
wolfgang_schwartzkopf	positive	0	
darius_flugenheim	positive	0	
uter_blomkwist	positive	0	
bertrand_le_grande	positive	0	
tristan_de_la_tour	positive	0	
engrol_goldtongue	positive	0	
