decision_item	decision_policy	query	query_variable_set	query_invert_result	query_weight
#cai_decision_policy_junctions_tables;0;db/cai_decision_policy_junctions_tables/rhox_grudgebringer					
deploy_grudgebringer_camp	deploy_grudgebringer_camp_policy_default	always_true		false	0.2000
deploy_grudgebringer_camp	deploy_grudgebringer_camp_policy_default	faction_check_mobiles_in_stance	ogre_camp_stance_min_1	true	1.0000
deploy_grudgebringer_camp	deploy_grudgebringer_camp_policy_default	resource_mobile_check_enemy_army_nearby	enemy_army_strong	false	0.4000
deploy_grudgebringer_camp	deploy_grudgebringer_camp_policy_default	resource_mobile_check_pooled_resource	military_force_low_on_meat	true	0.2000
deploy_grudgebringer_camp	deploy_grudgebringer_camp_policy_default	resource_mobile_search_strongest_force_nearby	nearby_deployed_ogre_camp	false	-100.0000
deploy_grudgebringer_camp	deploy_grudgebringer_camp_policy_default	resource_mobile_search_territory	enemy_territory_range_0	false	0.4000
deploy_grudgebringer_camp	deploy_grudgebringer_camp_policy_default	resource_mobile_search_territory	enemy_territory_range_1	false	0.4000
deploy_grudgebringer_camp	deploy_grudgebringer_camp_policy_default	resource_mobile_search_territory	own_territory_range_0	false	-0.3000
undeploy_grudgebringer_camp	undeploy_grudgebringer_camp_policy_default	faction_check_if_at_spawnable_force_capacity	spawnable_force_grudgebringer_camp	true	-100.0000
undeploy_grudgebringer_camp	undeploy_grudgebringer_camp_policy_default	resource_mobile_search_strongest_force_nearby	enemy_army_present_range_1	true	0.0100
undeploy_grudgebringer_camp	undeploy_grudgebringer_camp_policy_default	resource_mobile_search_territory	enemy_territory_range_1	true	0.0100
