building_chain	building_level	building_set	exclude
#building_set_to_building_junctions_tables;0;db/building_set_to_building_junctions_tables/ovn_araby_special			
ovn_special_tomb_of_the_death_scarab		wh2_main_set_landmark	false
ovn_special_palace_of_the_great_sultan		wh2_main_set_landmark	false
ovn_special_gardens_of_bel-aliad		wh2_main_set_landmark	false
ovn_special_tomb_of_mullah_akland		wh2_main_set_landmark	false
ovn_special_ivory_palace_of_ka-sabar		wh2_main_set_landmark	false
ovn_special_madrasat_el-sehr		wh2_main_set_landmark	false
ovn_special_fortress_of_nafel_muq		wh2_main_set_landmark	false
ovn_special_the_black-gold_tower		wh2_main_set_landmark	false
ovn_special_crypt_of_abdul_ben_rachid		wh2_main_set_landmark	false
ovn_special_portal_of_twilight		wh2_main_set_landmark	false
ovn_special_galleons_graveyard_wreck		wh2_main_set_landmark	false
ovn_special_golden_magus_paradise		wh_main_set_settlement_major	false
ovn_special_copher_port_araby		wh_main_set_port	false
ovn_special_college_of_sorcerers		wh2_main_set_landmark	false
ovn_special_great_slave_market		wh2_main_set_landmark	false
ovn_special_atalan_mountain_peaks		wh2_main_set_landmark	false
ovn_special_galleons_graveyard_magus_djinn		wh2_main_set_landmark	false
ovn_special_galleons_graveyard_magus_tzeentch		wh2_main_set_landmark	false
