building_chain	building_level	building_set	exclude
#building_set_to_building_junctions_tables;0;db/building_set_to_building_junctions_tables/ovn_araby_resources			
ovn_arb_resource_coffee		wh2_main_set_resource	false
ovn_arb_resource_animals		wh2_main_set_resource	false
ovn_arb_resource_dyes		wh2_main_set_resource	false
ovn_arb_resource_furs		wh2_main_set_resource	false
ovn_arb_resource_gems		wh2_main_set_resource	false
ovn_arb_resource_gold		wh2_main_set_resource	false
ovn_arb_resource_iron		wh2_main_set_resource	false
ovn_arb_resource_ivory		wh2_main_set_resource	false
ovn_arb_resource_marble		wh2_main_set_resource	false
ovn_arb_resource_medicine		wh2_main_set_resource	false
ovn_arb_resource_obsidian		wh2_main_set_resource	false
ovn_arb_resource_pasture		wh2_main_set_resource	false
ovn_arb_resource_pottery		wh2_main_set_resource	false
ovn_arb_resource_salt		wh2_main_set_resource	false
ovn_arb_resource_spices		wh2_main_set_resource	false
ovn_arb_resource_wine		wh2_main_set_resource	false
ovn_arb_resource_wood		wh2_main_set_resource	false
