building_chain	building_level	building_set	exclude
#building_set_to_building_junctions_tables;0;db/building_set_to_building_junctions_tables/ovn_araby_golden_magus			
	ovn_arb_flaming_scimitar_main_1	ovn_arb_flaming_scimitar_newhorde	false
	ovn_arb_flaming_scimitar_barracks_1	ovn_arb_flaming_scimitar_newhorde	false
ovn_arb_flaming_scimitar_main		ovn_arb_flaming_scimitar_main	false
ovn_arb_flaming_scimitar_barracks		ovn_arb_flaming_scimitar_military	false
ovn_arb_flaming_scimitar_nomad_infantry		ovn_arb_flaming_scimitar_military	false
ovn_arb_flaming_scimitar_support_monsters		ovn_arb_flaming_scimitar_military	false
ovn_arb_flaming_scimitar_support_mages		ovn_arb_flaming_scimitar_military	false
ovn_arb_flaming_scimitar_structure_movement		ovn_arb_flaming_scimitar_structure	false
ovn_arb_flaming_scimitar_structure_upkeep		ovn_arb_flaming_scimitar_structure	false
ovn_arb_flaming_scimitar_structure_replenishment		ovn_arb_flaming_scimitar_structure	false
ovn_arb_flaming_scimitar_structure_growth		ovn_arb_flaming_scimitar_structure	false
ovn_arb_flaming_scimitar_defense_bombardment		ovn_arb_flaming_scimitar_military	false
ovn_arb_flaming_scimitar_unique_minaret		ovn_arb_flaming_scimitar_unique	false
