building_chain	building_level	building_set	exclude
#building_set_to_building_junctions_tables;0;db/building_set_to_building_junctions_tables/ovn_araby_only			
ovn_arb_allied_outpost		wh3_main_set_test_allied_building	false
ovn_arb_djinn		ovn_set_araby_military_support	false
ovn_arb_nomad_infantry		ovn_set_araby_military_recruitment	false
ovn_arb_elephants		ovn_set_araby_military_support	false
ovn_arb_defence_major		ovn_set_araby_defence	false
ovn_arb_growth		ovn_set_araby_economy	false
ovn_arb_nomad_cavalry		ovn_set_araby_military_recruitment	false
ovn_arb_income		ovn_set_araby_economy	false
ovn_arb_city_barracks		ovn_set_araby_military_recruitment	false
ovn_arb_artillery		ovn_set_araby_military_support	false
ovn_arb_order		ovn_set_araby_economy	false
ovn_arb_port		wh_main_set_port	false
ovn_arb_settlement_major		wh_main_set_settlement_major	false
ovn_arb_settlement_minor		wh_main_set_settlement_minor	false
ovn_arb_defence_minor		ovn_set_araby_defence	false
wh3_main_foreign_slot_discovery_arb		ovn_set_araby_defence	false
ovn_arb_defence_norsca		ovn_set_araby_defence	false
ovn_arb_slaves		ovn_set_araby_economy	false
ovn_arb_healing		ovn_set_araby_economy	false
ovn_arb_special_settlement_al_haikk		wh_main_set_settlement_major	false
ovn_arb_nehekharan_excavation		ovn_set_arb_nehekharan_excavation	false
ovn_arb_defence_major_scythans		ovn_set_araby_defence	false
ovn_arb_defence_minor_scythans		ovn_set_araby_defence	false
ovn_arb_growth_scythans		ovn_set_araby_economy	false
ovn_arb_income_scythans		ovn_set_araby_economy	false
ovn_arb_order_scythans		ovn_set_araby_economy	false
