key	auto_generate	is_caster	small_icon	associated_unit_override	audio_voiceover_actor_group	show_in_ui	cap	has_female_name	can_gain_xp	loyalty_is_applicable	contributes_to_agent_cap	recruitment_category	magic_lore	names_group	can_be_loaned	recruitable	saving_settings	audio_vo_culture_override	spam_click_vo_enabled	can_equip_ancillaries	cost
#agent_subtypes_tables;1;db/agent_subtypes_tables/ovn_araby_only																					
arb_magician_life	true	true	ui/campaign ui/agents/wh_dlc05_lore_life.png	ovn_arb_cha_magician_life_0	wh_dlc05_vo_actor_Empire_JadeWizard	true	-1	false	true	false	true				true	true	cannot_be_loaded_in_campaign		false	true	750
arb_magician_desert	true	true	ui/campaign ui/agents/ovn_lore_desert.png	ovn_arb_cha_magician_desert_0	wh_dlc05_vo_actor_Empire_GreyWizard	true	-1	false	true	false	true				true	true	cannot_be_loaded_in_campaign		false	true	750
arb_magician_fire	true	true	ui/campaign ui/agents/wh_main_lore_fire.png	ovn_arb_cha_magician_fire_0	wh_main_vo_actor_Empire_BrightWizard	true	-1	false	true	false	true				true	true	cannot_be_loaded_in_campaign		false	true	750
arb_magician_heavens	true	true	ui/campaign ui/agents/wh_main_lore_heavens.png	ovn_arb_cha_magician_heavens_0	wh_main_vo_actor_Empire_CelestialWizard	true	-1	false	true	false	true				true	true	cannot_be_loaded_in_campaign		false	true	750
arb_sultan_jaffar	false	true		ovn_arb_cha_sultan_jaffar_0	wh2_pro07_vo_actor_Empire_Amethyst_Wizard	true	-1	false	true	false	true	legendary_lords			false	true	cannot_be_loaded_in_campaign		false	true	750
arb_nomad	true	false		ovn_arb_cha_nomad_0	wh_dlc07_vo_actor_Bretonnian_Green_Knight	true	-1	false	true	false	true			ovn_names_arb_araby_female	true	true	cannot_be_loaded_in_campaign		false	true	750
arb_champion	true	false		ovn_arb_cha_champion_0	wh2_dlc13_vo_actor_Doctor_Hertwig_Van_Hal	true	-1	false	true	false	true				true	true	cannot_be_loaded_in_campaign		false	true	750
arb_sheikh	true	false		ovn_arb_cha_sheikh_0	wh2_dlc11_vo_actor_Generic_Human	true	-1	false	true	false	true	araby_lord			true	true	cannot_be_loaded_in_campaign		false	true	750
arb_vizier_fire	true	true	UI/Campaign UI/Agents/wh_main_lore_fire.png	ovn_arb_cha_vizier_fire_0	wh_main_vo_actor_Empire_BrightWizard	true	-1	false	true	false	true	arb_vizier	wh_main_lore_fire		true	true	cannot_be_loaded_in_campaign		false	true	750
arb_vizier_life	true	true	ui/campaign ui/agents/wh_dlc05_lore_life.png	ovn_arb_cha_vizier_life_0	wh_dlc05_vo_actor_Empire_JadeWizard	true	-1	false	true	false	true	arb_vizier	wh_dlc05_lore_life		true	true	cannot_be_loaded_in_campaign		false	true	750
arb_vizier_heavens	true	true	ui/campaign ui/agents/wh_main_lore_heavens.png	ovn_arb_cha_vizier_heavens_0	wh_main_vo_actor_Empire_CelestialWizard	true	-1	false	true	false	true	arb_vizier	wh_main_lore_heavens		true	true	cannot_be_loaded_in_campaign		false	true	750
arb_vizier_desert	true	true	ui/campaign ui/agents/ovn_lore_desert.png	ovn_arb_cha_vizier_desert_0	wh_dlc05_vo_actor_Empire_GreyWizard	true	-1	false	true	false	true	arb_vizier	ovn_lore_desert		true	true	cannot_be_loaded_in_campaign		false	true	750
arb_fatandira	false	false		ovn_arb_cha_fatandira_0	wh2_main_vo_actor_High_Elves_Princess	true	-1	false	true	false	true	legendary_lords			false	true	cannot_be_loaded_in_campaign		false	true	750
arb_golden_magus	false	true		ovn_arb_cha_golden_magus_0	wh_main_vo_actor_Empire_BrightWizard	true	-1	false	true	false	true	legendary_lords			false	true	cannot_be_loaded_in_campaign		false	true	750
arb_caravan_master	true	false		ovn_arb_cha_sheikh_0	wh2_dlc11_vo_actor_Generic_Human	true	-1	false	true	false	true	arb_caravan_master			false	false	cannot_be_saved_loaded		false	true	750
