chain	set	super_chain	remove
#building_chain_set_items_tables;0;db/building_chain_set_items_tables/ovn_araby			
ovn_arb_barracks	wh3_main_secondary_core_generic_minor		false
ovn_arb_industry_basic	wh3_main_secondary_core_generic_minor		false
ovn_arb_stables	wh3_main_secondary_core_generic_minor		false
ovn_arb_tavern	wh3_main_secondary_core_generic_minor		false
ovn_arb_worship	wh3_main_secondary_core_generic_minor		false
ovn_arb_forge	wh3_main_secondary_core_generic_minor		false
ovn_arb_nomad	wh3_main_secondary_core_generic_minor		false
ovn_arb_xp	wh3_main_secondary_core_generic_minor		false
ovn_arb_hosp	wh3_main_secondary_core_generic_minor		false
ovn_arb_scy_tmb	wh3_main_secondary_core_generic_minor		false
arb_flaming_scimitar_main	ovn_araby_flaming_scimitar_boat_primary		false
arb_flaming_scimitar_barracks	ovn_araby_flaming_scimitar_boat_secondary		false
arb_flaming_scimitar_support_monsters	ovn_araby_flaming_scimitar_boat_secondary		false
arb_flaming_scimitar_support_mages	ovn_araby_flaming_scimitar_boat_secondary		false
arb_flaming_scimitar_structure_movement	ovn_araby_flaming_scimitar_boat_secondary		false
arb_flaming_scimitar_structure_upkeep	ovn_araby_flaming_scimitar_boat_secondary		false
arb_flaming_scimitar_structure_replenishment	ovn_araby_flaming_scimitar_boat_secondary		false
arb_flaming_scimitar_structure_growth	ovn_araby_flaming_scimitar_boat_secondary		false
arb_flaming_scimitar_defense_bombardment	ovn_araby_flaming_scimitar_boat_secondary		false
arb_flaming_scimitar_unique_minaret	ovn_araby_flaming_scimitar_boat_secondary		false
arb_flaming_scimitar_defense_magical_bombardment	ovn_araby_flaming_scimitar_boat_secondary		false
ovn_araby_walls	wh3_main_secondary_core_generic_minor		false
ovn_araby_settlement_major	wh3_main_primary_core_generic_major		false
ovn_araby_settlement_minor	wh3_main_primary_core_generic_minor		false
