ancillary	art_set	uniform
#campaign_character_uniform_ancillary_junctions_tables;0;db/campaign_character_uniform_ancillary_junctions_tables/ovn_araby_only		
ovn_anc_mount_arb_magician_life_magic_carpet	ovn_art_set_arb_magician_life	ovn_uniform_arb_magician_life_carpet
ovn_anc_mount_arb_magician_desert_magic_carpet	ovn_art_set_arb_magician_desert	ovn_uniform_arb_magicican_desert_carpet
ovn_anc_mount_arb_magician_fire_magic_carpet	ovn_art_set_arb_magician_fire	ovn_uniform_arb_magicican_fire_carpet
ovn_anc_mount_arb_magician_heavens_magic_carpet	ovn_art_set_arb_magician_heavens	ovn_uniform_arb_magician_heavens_carpet
roy_anc_mount_arb_nomad_assassin	ovn_art_set_arb_nomad_assassin_01	ovn_arb_cha_nomad_assassin_uniform_01
roy_anc_mount_arb_nomad_assassin	ovn_art_set_arb_nomad_assassin_02	ovn_arb_cha_nomad_assassin_uniform_02
roy_anc_mount_arb_nomad_assassin	ovn_art_set_arb_nomad_assassin_03	ovn_arb_cha_nomad_assassin_uniform_03
roy_anc_mount_arb_nomad_horse_jezzail	ovn_art_set_arb_nomad_jezzail_01	ovn_arb_cha_nomad_jezzail_uniform_01
roy_anc_mount_arb_nomad_horse_jezzail	ovn_art_set_arb_nomad_jezzail_02	ovn_arb_cha_nomad_jezzail_uniform_02
roy_anc_mount_arb_nomad_horse_jezzail	ovn_art_set_arb_nomad_jezzail_03	ovn_arb_cha_nomad_jezzail_uniform_03
arb_jaffar_camel	ovn_art_set_arb_sultan_jaffar	ovn_arb_cha_sultan_jaffar_1
arb_golden_magus_camel_mount	ovn_art_set_arb_golden_magus	ovn_arb_cha_golden_magus_1
