key	index	subculture	category	name_group	skin	ui_skin	is_rebel	flags_path	primary_colour_r	primary_colour_g	primary_colour_b	alt_primary_colour_r	alt_primary_colour_g	alt_primary_colour_b	secondary_colour_r	secondary_colour_g	secondary_colour_b	alt_secondary_colour_r	alt_secondary_colour_g	alt_secondary_colour_b	uniform_colour_r	uniform_colour_g	uniform_colour_b	alt_uniform_colour_r	alt_uniform_colour_g	alt_uniform_colour_b	rebel_colour_r	rebel_colour_g	rebel_colour_b	military_group	movie_death_event	unit_regiment_name_group	ship_name_group	pre_battle_speech_parameter	card_colour_r	card_colour_g	card_colour_b	audio_voiceover_culture	mp_force_gen_template	faction_swapping_id	win_movie	waaagh_faction	waaagh_general_unit	is_quest_faction	cdir_military_generator_config	feature_forest	default_audio_actor_vo_group	text_replacement_key	neutral_reinforcement_factions	can_accept_gifts_when_dead	uniform_colour_primary	uniform_colour_secondary	uniform_colour_tertiary	banner_colour_primary	banner_colour_secondary	banner_colour_tertiary	primary_colour	override_target_unit_vo_culture	music_feedback_group	ui_main_theme_skin
#factions_tables;6;db/factions_tables/ovn_araby_only																																																												
ovn_arb_sultanate_of_all_araby	227553604	ovn_sc_arb_araby	playable	ovn_names_arb_araby	ovn_araby	ovn_araby	false	ui\flags\ovn_arb_sultanate_of_all_araby	220.0000	220.0000	220.0000	220.0000	220.0000	220.0000	220.0000	220.0000	220.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ovn_araby	0	ovn_names_arb_araby	ovn_names_arb_araby	FACTION_ASHIKAGA	0.0000	0.0000	0.0000	wh2_dlc09_vo_culture_Tomb_Kings	default	tmb				false	OvN_Araby_Jaffar	LOCKED_STANDARD	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King		empty	false	3C5A3C	CEC5A3	A2FF00	CDD2BE	325532	730000	DCDCDC	false	Feedback_Alignment_Neutral_Faction	wh3_main_theme_warpstone_glow
ovn_arb_aswad_scythans	1680658121	ovn_sc_arb_araby	playable	ovn_names_arb_araby	ovn_araby	ovn_araby	false	ui\flags\ovn_arb_aswad_scythans	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ovn_araby	0	ovn_names_arb_araby	ovn_names_arb_araby	FACTION_ASHIKAGA	0.0000	0.0000	0.0000	wh2_dlc09_vo_culture_Tomb_Kings	default	tmb				false	OvN_Araby_Fatandira	LOCKED_STANDARD	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King		empty	false	0F0F0F	B49141	E1B546	050505	FAD900	050505	000000	false	Feedback_Alignment_Neutral_Faction	wh3_main_theme_warpstone_glow
ovn_arb_golden_fleet	1714093215	ovn_sc_arb_araby	playable	ovn_names_arb_araby	ovn_araby	ovn_araby	false	ui\flags\ovn_arb_golden_fleet	40.0000	40.0000	180.0000	40.0000	40.0000	180.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ovn_araby	0	ovn_names_arb_araby	ovn_names_arb_araby	FACTION_ASHIKAGA	0.0000	0.0000	0.0000	wh2_dlc09_vo_culture_Tomb_Kings	default	tmb				false	OvN_Araby_Golden_Magus	LOCKED_STANDARD	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King		empty	false	2C4C78	A59137	E1B546	E6C850	193669	193669	2828B4	false	Feedback_Alignment_Neutral_Faction	wh3_main_theme_warpstone_glow
ovn_arb_sultanate_of_martek_custom_battle_only	634524126	ovn_sc_arb_araby	playable	ovn_names_arb_araby	ovn_araby	ovn_araby	false	ui\flags\ovn_arb_sultanate_of_martek	255.0000	128.0000	0.0000	255.0000	128.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ovn_araby	0	ovn_names_arb_araby	ovn_names_arb_araby	FACTION_ASHIKAGA	0.0000	0.0000	0.0000	wh2_dlc09_vo_culture_Tomb_Kings	default	tmb				false	OvN_mp_Araby	LOCKED_STANDARD	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King		empty	false	4393F5	0E0E7F	060236	4393F5	0E0E7F	060236	4393F5	false	Feedback_Alignment_Neutral_Faction	wh3_main_theme_warpstone_glow
ovn_arb_sultanate_of_copher_custom_battle_only	634524127	ovn_sc_arb_araby	playable	ovn_names_arb_araby	ovn_araby	ovn_araby	false	ui\flags\ovn_arb_sultanate_of_copher	255.0000	128.0000	0.0000	255.0000	128.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ovn_araby	0	ovn_names_arb_araby	ovn_names_arb_araby	FACTION_ASHIKAGA	0.0000	0.0000	0.0000	wh2_dlc09_vo_culture_Tomb_Kings	default	tmb				false	OvN_mp_Araby	LOCKED_STANDARD	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King		empty	false	FF9602	964F08	7F0002	FF9602	964F08	7F0002	FF9602	false	Feedback_Alignment_Neutral_Faction	wh3_main_theme_warpstone_glow
ovn_arb_principality_of_fyrus_custom_battle_only	634524128	ovn_sc_arb_araby	playable	ovn_names_arb_araby	ovn_araby	ovn_araby	false	ui\flags\ovn_arb_principality_of_fyrus	255.0000	128.0000	0.0000	255.0000	128.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ovn_araby	0	ovn_names_arb_araby	ovn_names_arb_araby	FACTION_ASHIKAGA	0.0000	0.0000	0.0000	wh2_dlc09_vo_culture_Tomb_Kings	default	tmb				false	OvN_mp_Araby	LOCKED_STANDARD	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King		empty	false	4B1974	DA6D00	055E00	4B1974	DA6D00	055E00	4B1974	false	Feedback_Alignment_Neutral_Faction	wh3_main_theme_warpstone_glow
ovn_arb_sultanate_of_el_kalabad	2144996303	ovn_sc_arb_araby	playable	ovn_names_arb_araby	ovn_araby	ovn_araby	false	ui\flags\ovn_arb_sultanate_of_el-kalabad	255.0000	128.0000	0.0000	255.0000	128.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ovn_araby	0	ovn_names_arb_araby	ovn_names_arb_araby	FACTION_ASHIKAGA	0.0000	0.0000	0.0000	wh2_dlc09_vo_culture_Tomb_Kings	default	tmb				false	OvN_mp_Araby	LOCKED_STANDARD	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King		empty	false	007C83	8EC600	767676	007C83	8EC600	767676	007C83	false	Feedback_Alignment_Neutral_Faction	wh3_main_theme_warpstone_glow
ovn_arb_corsairs_of_lashiek_custom_battle_only	634524130	ovn_sc_arb_araby	playable	ovn_names_arb_araby	ovn_araby	ovn_araby	false	ui\flags\ovn_arb_corsairs_of_lashiek	255.0000	128.0000	0.0000	255.0000	128.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ovn_araby	0	ovn_names_arb_araby	ovn_names_arb_araby	FACTION_ASHIKAGA	0.0000	0.0000	0.0000	wh2_dlc09_vo_culture_Tomb_Kings	default	tmb				false	OvN_mp_Araby	LOCKED_STANDARD	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King		empty	false	18009D	2D2D2D	E1E1E1	18009D	2D2D2D	E1E1E1	18009D	false	Feedback_Alignment_Neutral_Faction	wh3_main_theme_warpstone_glow
ovn_arb_sultanate_of_ka-sabar_custom_battle_only	634524131	ovn_sc_arb_araby	playable	ovn_names_arb_araby	ovn_araby	ovn_araby	false	ui\flags\ovn_arb_sultanate_of_ka-sabar	255.0000	128.0000	0.0000	255.0000	128.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ovn_araby	0	ovn_names_arb_araby	ovn_names_arb_araby	FACTION_ASHIKAGA	0.0000	0.0000	0.0000	wh2_dlc09_vo_culture_Tomb_Kings	default	tmb				false	OvN_mp_Araby	LOCKED_STANDARD	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King		empty	false	673400	7F194B	7F7F5C	673400	7F194B	7F7F5C	673400	false	Feedback_Alignment_Neutral_Faction	wh3_main_theme_warpstone_glow
