override_faction	override_subculture	source_resource	target_resource
#resource_ui_overrides_tables;0;db/resource_ui_overrides_tables/ovn_araby_only			
	wh2_dlc09_sc_tmb_tomb_kings	res_location_araby_hidden	
	wh2_main_sc_lzd_lizardmen	res_location_araby_hidden	
	wh_main_sc_dwf_dwarfs	res_location_araby_hidden	
	wh2_dlc11_sc_cst_vampire_coast	res_location_araby_hidden	
	wh2_main_sc_def_dark_elves	res_location_araby_hidden	
	wh2_main_sc_skv_skaven	res_location_araby_hidden	
	wh_dlc03_sc_bst_beastmen	res_location_araby_hidden	
	wh_main_sc_chs_chaos	res_location_araby_hidden	
	wh_main_sc_emp_empire	res_location_araby_hidden	
	wh_main_sc_grn_greenskins	res_location_araby_hidden	
	wh_main_sc_vmp_vampire_counts	res_location_araby_hidden	
	wh2_main_sc_hef_high_elves	res_location_araby_hidden	
	wh_dlc05_sc_wef_wood_elves	res_location_araby_hidden	
	wh_main_sc_brt_bretonnia	res_location_araby_hidden	
	ovn_sc_arb_araby	res_location_araby_hidden	res_location_araby
	ovn_sc_arb_araby	res_location_brt_wef_hef	
	ovn_sc_arb_araby	res_location_brt	
	ovn_sc_arb_araby	res_location_def	
	ovn_sc_arb_araby	res_location_dwf_grn_skv	
	ovn_sc_arb_araby	res_location_dwf_grn	
	ovn_sc_arb_araby	res_location_dwf_skv	
	ovn_sc_arb_araby	res_location_dwf	
	ovn_sc_arb_araby	res_location_emp_brt	
	ovn_sc_arb_araby	res_location_emp_vmp_brt	
	ovn_sc_arb_araby	res_location_emp_vmp	
	ovn_sc_arb_araby	res_location_emp	
	ovn_sc_arb_araby	res_location_grn	
	ovn_sc_arb_araby	res_location_hef_def	
	ovn_sc_arb_araby	res_location_hef_wef	
	ovn_sc_arb_araby	res_location_hef	
	ovn_sc_arb_araby	res_location_lzd	
	ovn_sc_arb_araby	res_location_skv_lzd	
	ovn_sc_arb_araby	res_location_skv	
	ovn_sc_arb_araby	res_location_tmb	
	ovn_sc_arb_araby	res_location_vmp_arkhan	
	ovn_sc_arb_araby	res_location_vmp	
	ovn_sc_arb_araby	res_location_xef_emp_brt	
