unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/ovn_araby_only_units_misc					
			wh2_dlc09_tmb_cav_necropolis_knights_0	ovn_aswad_scythans_tomb_king_units	false
			wh2_dlc09_tmb_inf_nehekhara_warriors_0	ovn_aswad_scythans_tomb_king_units	false
			wh2_dlc09_tmb_inf_tomb_guard_1	ovn_aswad_scythans_tomb_king_units	false
			wh2_dlc09_tmb_mon_ushabti_0	ovn_aswad_scythans_tomb_king_units	false
			wh2_dlc09_tmb_veh_skeleton_chariot_0	ovn_aswad_scythans_tomb_king_units	false
			wh2_dlc11_cst_mon_animated_hulks_0	ovn_golden_fleet_sea_units	false
			wh2_dlc11_cst_mon_bloated_corpse_0	ovn_golden_fleet_sea_units	false
			ovn_arb_mon_necrofex_colossus	ovn_golden_fleet_sea_units	false
			ovn_arb_mon_promethean_hatchlings	ovn_golden_fleet_sea_units	false
			ovn_arb_inf_corsairs	ovn_golden_fleet_sea_units	false
			ovn_arb_mon_sea_nymph	ovn_golden_fleet_sea_units	false
			ovn_arb_mon_sea_nymph_ror	ovn_golden_fleet_sea_units	false
			ovn_arb_mon_sea_nymph_summoned	ovn_golden_fleet_sea_units	false
