from	network	to	regions
#campaign_map_route_segments_tables;0;db/campaign_map_route_segments_tables/ovn_araby_only			
ovn_combi_region_el_kalabad	ovn_jellabas_way	ovn_combi_region_sudenburg	ovn_combi_jellabas_way_el_kalabad-sudenburg
ovn_combi_region_sudenburg	ovn_jellabas_way	ovn_combi_region_ka_sabar	ovn_combi_jellabas_way_sudenburg-ka_sabar
ovn_combi_region_ka_sabar	ovn_jellabas_way	ovn_combi_region_oreons_camp	ovn_combi_jellabas_way_ka_sabar-oreons_camp
ovn_combi_region_oreons_camp	ovn_jellabas_way	ovn_combi_region_teotiqua	ovn_combi_jellabas_way_oreons_camp-teotiqua
ovn_combi_region_teotiqua	ovn_jellabas_way	ovn_combi_region_tor_surpindar	ovn_combi_jellabas_way_teotiqua-tor_surpindar
ovn_combi_region_teotiqua	ovn_jellabas_way	ovn_combi_region_temple_of_skulls	ovn_combi_jellabas_way_teotiqua-temple_of_skulls
ovn_combi_region_oreons_camp	ovn_jellabas_way	ovn_combi_region_karak_zorn	ovn_combi_jellabas_way_oreons_camp-karak_zorn
ovn_combi_region_sudenburg	ovn_jellabas_way	ovn_combi_region_tlaqua	ovn_combi_jellabas_way_sudenburg-tlaqua
ovn_combi_region_tlaqua	ovn_jellabas_way	ovn_combi_region_zlatlan	ovn_combi_jellabas_way_tlaqua-zlatlan
ovn_combi_region_zlatlan	ovn_jellabas_way	ovn_combi_region_tor_surpindar	ovn_combi_jellabas_way_zlatlan-tor_surpindar
ovn_combi_region_el_kalabad	ovn_jellabas_way	ovn_combi_region_khemri	ovn_combi_jellabas_way_el_kalabad-khemri
ovn_combi_region_khemri	ovn_jellabas_way	ovn_combi_region_karag_orrud	ovn_combi_jellabas_way_khemri-karag_orrud
ovn_combi_region_karag_orrud	ovn_jellabas_way	ovn_combi_region_lahmia	ovn_combi_jellabas_way_karag_orrud-lahmia
ovn_combi_region_lahmia	ovn_jellabas_way	ovn_combi_region_rasetra	ovn_combi_jellabas_way_lahmia-rasetra
ovn_combi_region_rasetra	ovn_jellabas_way	ovn_combi_region_temple_of_skulls	ovn_combi_jellabas_way_rasetra-temple_of_skulls
ovn_combi_region_khemri	ovn_jellabas_way	ovn_combi_region_agrul_migdhal	ovn_combi_jellabas_way_khemri-agrul_migdhal
ovn_combi_region_agrul_migdhal	ovn_jellabas_way	ovn_combi_region_galbaraz	ovn_combi_jellabas_way_agrul_migdhal-galbaraz
