faction_key	sort_order	culture_sort_order
#custom_battle_factions_tables;1;db/custom_battle_factions_tables/ovn_araby_only		
ovn_arb_sultanate_of_all_araby	0	20
ovn_arb_aswad_scythans	1	20
ovn_arb_golden_fleet	2	20
ovn_arb_sultanate_of_martek_custom_battle_only	3	20
ovn_arb_sultanate_of_copher_custom_battle_only	4	20
ovn_arb_principality_of_fyrus_custom_battle_only	5	20
ovn_arb_sultanate_of_el_kalabad	6	20
ovn_arb_corsairs_of_lashiek_custom_battle_only	7	20
ovn_arb_sultanate_of_ka-sabar_custom_battle_only	8	20
ovn_arabyan_college_of_sorcerers_custom_battle_only	9	20
ovn_arb_cult_of_the_djinns_custom_battle_only	10	20
