bonus_value_id	effect	subtype
#effect_bonus_value_agent_subtype_junctions_tables;0;db/effect_bonus_value_agent_subtype_junctions_tables/ovn_araby_only		
availability	wh_main_effect_agent_enable_recruitment_wizard_arb_1	arb_magician_life
availability	wh_main_effect_agent_enable_recruitment_wizard_arb_1	arb_magician_desert
availability	wh_main_effect_agent_enable_recruitment_wizard_arb_1	arb_magician_fire
availability	wh_main_effect_agent_enable_recruitment_wizard_arb_1	arb_magician_heavens
availability	wh_main_effect_agent_enable_recruitment_wizard_arb_2	arb_magician_life
availability	wh_main_effect_agent_enable_recruitment_wizard_arb_2	arb_magician_desert
availability	wh_main_effect_agent_enable_recruitment_wizard_arb_2	arb_magician_fire
availability	wh_main_effect_agent_enable_recruitment_wizard_arb_2	arb_magician_heavens
availability	roy_effect_agent_enable_recruitment_arb_champion	arb_champion
cap	roy_effect_agent_cap_increase_arb_champion	arb_champion
recruitment_level	roy_effect_agent_recruitment_xp_arb_champion	arb_champion
availability	roy_effect_agent_enable_recruitment_arb_nomad	arb_nomad
cap	roy_effect_agent_cap_increase_arb_nomad	arb_nomad
recruitment_level	roy_effect_agent_recruitment_xp_arb_nomad	arb_nomad
