id	priority	unit	unit_group
#armed_citizenry_units_to_unit_groups_junctions_tables;0;db/armed_citizenry_units_to_unit_groups_junctions_tables/ovn_araby_only			
92111834	5	ovn_arb_inf_sharkas_slaves	ovn_araby
92111836	3	ovn_arb_cav_arabyan_knights	ovn_araby
92111837	3	ovn_arb_inf_arabyan_spearmen	ovn_araby
92111838	3	ovn_arb_inf_arabyan_warriors	ovn_araby
92111840	2	ovn_arb_inf_arabyan_bowmen	ovn_araby
92112186	1	ovn_arb_cav_flying_carpets	ovn_araby2
92112187	1	ovn_arb_art_trebuchet	ovn_araby2
92112188	2	ovn_arb_inf_arabyan_guard	ovn_araby2
92112189	1	ovn_arb_mon_war_elephant	ovn_araby2
92112213	1	ovn_arb_mon_promethean_hatchlings	ovn_prometheans
93112500	2	ovn_arb_inf_arabyan_bowmen	ovn_araby3
93112501	5	ovn_arb_inf_sharkas_slaves	ovn_araby3
3453673256	1	ovn_arb_inf_arabyan_guard	OtF_khemri_elite_guard
3453673257	1	ovn_arb_inf_arabyan_guard	ovn_kasbah
3453673258	1	ovn_arb_inf_arabyan_guard	ovn_kasbah
3453673259	1	ovn_arb_cav_sipahis	ovn_kasbah
93112502	1	ovn_arb_cav_flying_carpets	ovn_araby2_minor
93112503	1	ovn_arb_art_trebuchet	ovn_araby2_minor
93112504	2	ovn_arb_inf_arabyan_guard	ovn_araby2_minor
93112505	1	ovn_arb_mon_elephant	ovn_araby2_minor
