attribute	attribute_group
#unit_attributes_to_groups_junctions_tables;2;db/unit_attributes_to_groups_junctions_tables/ovn_araby_only	
cant_run	ovn_arb_art_trebuchet_attributes
encourages	ovn_arb_cha_sheikh_2_attributes
causes_fear	ovn_arb_cha_sheikh_2_attributes
causes_terror	ovn_arb_cha_sheikh_2_attributes
encourages	ovn_arb_cha_sheikh_0_attributes
hide_forest	ovn_arb_cha_sheikh_0_attributes
cant_run	ovn_arb_art_ballista_attributes
hide_forest	ovn_arb_art_ballista_attributes
hide_forest	ovn_arb_cav_arabyan_knights_attributes
hide_forest	ovn_arb_inf_arabyan_bowmen_attributes
hide_forest	ovn_arb_inf_dervishers_attributes
unbreakable	ovn_arb_inf_dervishers_attributes
hide_forest	ovn_arb_inf_arabyan_spearmen_attributes
charge_defense_vs_large	ovn_arb_inf_arabyan_spearmen_attributes
hide_forest	ovn_arb_inf_arabyan_warriors_attributes
hide_forest	ovn_arb_inf_arabyan_guard_attributes
charge_defense_vs_large	ovn_arb_inf_arabyan_guard_attributes
hide_forest	ovn_arb_inf_arabyan_guard_ror_attributes
encourages	ovn_arb_inf_arabyan_guard_ror_attributes
hide_forest	ovn_arb_inf_alrahem_nomads_attributes
guerrilla_deploy	ovn_arb_inf_alrahem_nomads_attributes
stalk	ovn_arb_inf_alrahem_nomads_attributes
hide_forest	ovn_arb_cav_bedouin_scouts_attributes
guerrilla_deploy	ovn_arb_cav_bedouin_scouts_attributes
hide_forest	ovn_arb_cav_tuareg_riders_attributes
guerrilla_deploy	ovn_arb_cav_tuareg_riders_attributes
mounted_fire_move	ovn_arb_cav_tuareg_riders_attributes
hide_forest	ovn_arb_inf_corsairs_attributes
guerrilla_deploy	ovn_arb_inf_corsairs_attributes
hide_forest	ovn_arb_inf_southland_warriors_attributes
hide_forest	ovn_arb_mon_promethean_hatchlings_attributes
causes_fear	ovn_arb_mon_promethean_hatchlings_attributes
immune_to_psychology	ovn_arb_mon_promethean_hatchlings_attributes
charge_defense_vs_large	ovn_arb_mon_promethean_hatchlings_attributes
hide_forest	ovn_arb_inf_sharkas_slaves_attributes
expendable	ovn_arb_inf_sharkas_slaves_attributes
strider	ovn_arb_inf_jezzails_attributes
stalk	ovn_arb_inf_jezzails_attributes
guerrilla_deploy	ovn_arb_inf_jezzails_attributes
hide_forest	ovn_arb_inf_jezzails_attributes
hide_forest	ovn_arb_inf_pit_fighters_attributes
hide_forest	ovn_arb_mon_giant_scorpion_attributes
causes_fear	ovn_arb_mon_giant_scorpion_attributes
immune_to_psychology	ovn_arb_mon_giant_scorpion_attributes
guerrilla_deploy	ovn_arb_mon_giant_scorpion_attributes
hide_forest	ovn_arb_cav_arabyan_knights_ror_attributes
strider	ovn_arb_cav_arabyan_knights_ror_attributes
hide_forest	ovn_arb_cav_sipahis_attributes
hide_forest	ovn_arb_cav_sipahis_ror_attributes
strider	ovn_arb_inf_jezzails_ror_attributes
stalk	ovn_arb_inf_jezzails_ror_attributes
guerrilla_deploy	ovn_arb_inf_jezzails_ror_attributes
hide_grass	ovn_arb_inf_jezzails_ror_attributes
snipe	ovn_arb_inf_jezzails_ror_attributes
hide_forest	ovn_arb_inf_jaguar_champions_attributes
hide_forest	ovn_arb_inf_jaguar_champions_ror_attributes
unbreakable	ovn_arb_inf_jaguar_champions_ror_attributes
cant_run	ovn_arb_art_grand_bombard_ror_attributes
encourages	ovn_arb_cha_sultan_jaffar_0_attributes
