battle_animations_table	culture_pack
#culture_to_battle_animation_tables_tables;0;db/culture_to_battle_animation_tables_tables/ovn_araby_only	
el1_elephant	ovn_araby
wm_elephant_cannon01	ovn_araby
wm_grand_bombard01	ovn_araby
wm_djinn_carriage01	ovn_araby
fc1_flying_carpet	ovn_araby
gh1_araby_genie	ovn_araby
gh4_araby_desert_spirit	ovn_araby
hc7_araby_tempest_djinn	ovn_araby
hu1b_araby_sea_nymph	ovn_araby
hu9b_araby_fire_efreet	ovn_araby
hu2_waghzen_bo1_hippo_club	ovn_araby
bo1_warboar	ovn_araby
hc1_enchanted_rope	ovn_araby
cm1_camel	ovn_araby
hu1_araby_cm1_camel_sword_and_bow	ovn_araby
hu1_araby_cm1_camel_sword_and_jezzail	ovn_araby
hu1_araby_cm1_camel_spear_and_shield	ovn_araby
wm_naphtha_thrower01	ovn_araby
fc2_flying_carpet	ovn_araby
hu1_araby_fc2_carpet_halberd_and_bow	ovn_araby
