chain	chain_set	slot_template	super_chain	remove
#slot_template_permitted_building_chains_tables;0;db/slot_template_permitted_building_chains_tables/ovn_araby				
	ovn_araby_flaming_scimitar_boat_primary	ovn_araby_flaming_scimitar_boat_primary		false
	ovn_araby_flaming_scimitar_boat_secondary	ovn_araby_flaming_scimitar_boat_secondary		false
arb_fatandira_landmark		mixer_ime_major_secondary_pastures_akendorf		false
ovn_arb_haikk		mixer_ime_major_secondary_salt_al_haikk		false
ovn_arb_bel		mixer_ime_minor_secondary_pools_of_despair		false
ovn_arb_fyrus		wh2_dlc14_special_fyrus_secondary		false
ovn_arb_Sabar		wh2_dlc09_special_ka_sabar_secondary		false
ovn_arb_Madrasat		mixer_ime_major_secondary_wizard_caliphs_palace		false
ovn_arb_Sartosa		wh2_main_special_sartosa_secondary		false
ovn_arb_Magritta		wh_main_special_magritta_secondary		false
ovn_arb_Crypt		wh2_main_special_karag_orrud_secondary		false
ovn_arb_Twilight		mixer_ime_minor_secondary_pools_of_despair		false
ovn_araby_ch_coffee		mixer_ime_minor_secondary_spices_copher		false
ovn_araby_ch_coffee		wh2_dlc14_special_fyrus_secondary		false
ovn_araby_ch_coffee		mixer_ime_major_secondary_salt_al_haikk		false
ovn_araby_ch_coffee		mixer_ime_minor_secondary_iron_martek		false
ovn_araby_ch_coffee		mixer_ime_minor_secondary_pottery_lashiek		false
ovn_araby_ch_coffee		mixer_ime_minor_secondary_sorcerers_islands		false
ovn_araby_ch_coffee		mixer_ime_major_secondary_wizard_caliphs_palace		false
ovn_araby_ch_coffee		mixer_ime_minor_secondary_dyes_el_kalabad		false
ovn_araby_ch_coffee		mixer_ime_minor_secondary_pools_of_despair		false
ovn_araby_ch_coffee		wh2_dlc09_special_zandri_secondary		false
ovn_araby_ch_coffee		wh2_dlc09_special_black_tower_of_arkhan_secondary		false
ovn_araby_ch_coffee		mixer_ime_major_secondary_wine_sudenburg		false
ovn_araby_ch_coffee		mixer_ime_minor_secondary_furs_plain_of_tuskers		false
ovn_araby_ch_coffee		mixer_ime_minor_secondary_antoch		false
ovn_araby_ch_coffee		wh2_dlc09_special_bhagar_secondary		false
ovn_araby_ch_coffee		wh2_dlc09_special_ka_sabar_secondary		false
ovn_araby_ch_coffee		mixer_ime_minor_secondary_marble_springs_of_eternal_life		false
ovn_araby_ch_coffee		wh2_main_special_khemri_secondary		false
ovn_araby_ch_coffee		wh2_dlc09_special_numas_secondary		false
ovn_araby_ch_coffee		wh2_dlc09_special_quatar_secondary		false
ovn_Nehekharan		wh2_main_special_khemri_secondary		false
ovn_Nehekharan		wh2_dlc09_special_zandri_secondary		false
ovn_Nehekharan		wh2_main_special_pyramid_of_nagash_secondary		false
ovn_araby_ch_coffee		wh2_main_special_pyramid_of_nagash_secondary		false
ovn_Nehekharan		wh2_dlc09_special_numas_secondary		false
ovn_Nehekharan		mixer_ime_minor_secondary_spices_lybaras		false
ovn_Nehekharan		wh2_main_special_lahmia_secondary		false
ovn_Nehekharan		wh2_dlc09_special_quatar_secondary		false
ovn_Nehekharan		mixer_ime_minor_secondary_mahrak		false
arb_golden_magus_special_galleon_graveyard		wh2_main_special_galleons_graveyard_secondary		false
