member	context	faction
#campaign_group_member_criteria_factions_tables;1;db/campaign_group_member_criteria_factions_tables/ovn_araby		
diplomacy_Faction_Araby_&_Negative	ACTOR	ovn_arb_sultanate_of_all_araby
diplomacy_Faction_Araby_&_Positive	ACTOR	ovn_arb_sultanate_of_all_araby
diplomacy_Faction_Araby	ACTOR	ovn_arb_sultanate_of_all_araby
diplomacy_Faction_Scythan_&_Negative	ACTOR	ovn_arb_aswad_scythans
diplomacy_Faction_Scythan_&_Positive	ACTOR	ovn_arb_aswad_scythans
diplomacy_Faction_Scythan	ACTOR	ovn_arb_aswad_scythans
diplomacy_Faction_Scimitar_&_Negative	ACTOR	ovn_arb_golden_fleet
diplomacy_Faction_Scimitar_&_Positive	ACTOR	ovn_arb_golden_fleet
diplomacy_Faction_Scimitar	ACTOR	ovn_arb_golden_fleet
