variant_name	tech_folder	variant_filename	low_poly_filename	mount_scale	scale	scale_variation	super_low_poly_filename
#variants_tables;6;db/variants_tables/ovn_araby_only							
arb_giant		arb_savage_giant		1.0000	1.0000	0.0500	
arb_mirage_spearmen		arb_mirage_spearmen		1.0000	1.0000	0.0500	hu1\imposter\humanoid_imposter
arb_vizier_desert_01		aarb_magician_desert_vizier_01		1.0500	1.0500	0.0000	
arb_vizier_desert_02		aarb_magician_desert_vizier_02		1.0500	1.0500	0.0000	
arb_vizier_desert_03		aarb_magician_desert_vizier_03		1.0500	1.0500	0.0000	
arb_vizier_fire_01		aarb_magician_fire_vizier_01		1.0500	1.0500	0.0000	
arb_vizier_fire_02		aarb_magician_fire_vizier_02		1.0500	1.0500	0.0000	
arb_vizier_fire_03		aarb_magician_fire_vizier_03		1.0500	1.0500	0.0000	
arb_vizier_heavens_01		aarb_magician_tempest_vizier_01		1.0500	1.0500	0.0000	
arb_vizier_heavens_02		aarb_magician_tempest_vizier_02		1.0500	1.0500	0.0000	
arb_vizier_heavens_03		aarb_magician_tempest_vizier_03		1.0500	1.0500	0.0000	
arb_vizier_life_01		aarb_magician_life_vizier_01		1.0500	1.0500	0.0000	
arb_vizier_life_02		aarb_magician_life_vizier_02		1.0500	1.0500	0.0000	
arb_vizier_life_03		aarb_magician_life_vizier_03		1.0500	1.0500	0.0000	
arb_magician_desert_01		aarb_magician_desert_01		1.0500	1.0500	0.0000	
arb_magician_desert_02		aarb_magician_desert_02		1.0500	1.0500	0.0000	
arb_magician_desert_03		aarb_magician_desert_03		1.0500	1.0500	0.0000	
arb_magician_fire_01		aarb_magician_fire_01		1.0500	1.0500	0.0000	
arb_magician_fire_02		aarb_magician_fire_02		1.0500	1.0500	0.0000	
arb_magician_fire_03		aarb_magician_fire_03		1.0500	1.0500	0.0000	
arb_magician_heavens_01		aarb_magician_tempest_01		1.0500	1.0500	0.0000	
arb_magician_heavens_02		aarb_magician_tempest_02		1.0500	1.0500	0.0000	
arb_magician_heavens_03		aarb_magician_tempest_03		1.0500	1.0500	0.0000	
arb_magician_life_01		aarb_magician_life_01		1.0500	1.0500	0.0000	
arb_magician_life_02		aarb_magician_life_02		1.0500	1.0500	0.0000	
arb_magician_life_03		aarb_magician_life_03		1.0500	1.0500	0.0000	
otf_khemri_rangers		aarb_alrahem_nomad_bow_sword		1.0000	1.0000	0.0500	hu1\imposter\humanoid_imposter
ovn_arabyan_bowmen		aarb_skirmisher_bow_sword		1.0000	1.0000	0.0500	hu1\imposter\humanoid_imposter
ovn_arabyan_guard		aarb_guard_halberd_shield		1.0000	1.0000	0.0500	
ovn_arabyan_guard_ror		aarb_guard_ror_sword_shield		1.0000	1.0000	0.0500	
ovn_arabyan_knights		aarb_knight_sword_shield		1.0000	1.0000	0.0500	hu1\imposter\humanoid_imposter
ovn_arabyan_knights_ror		aarb_knight_ror_sword_shield		1.0000	1.0000	0.0500	
ovn_arabyan_knights_ror_almuktar_officer		aarb_knight_ror_almuktar_officer		1.0000	1.0000	0.0500	
ovn_arabyan_knights_ror_shufti_officer		aarb_knight_ror_shufti_officer		1.0000	1.0000	0.0500	
ovn_arabyan_ogres		araby_mercenary_ogres		1.0000	1.0000	0.0500	
ovn_arabyan_spearmen		aarb_warrior_spear_shield		1.0000	1.0000	0.0500	hu1\imposter\humanoid_imposter
ovn_arabyan_warriors		aarb_warrior_sword_shield		1.0000	1.0000	0.0500	hu1\imposter\humanoid_imposter
ovn_arb_bedouin_scouts		aarb_alrahem_nomad_javelin_spear_shield		1.0000	1.0000	0.0500	hu1\imposter\humanoid_imposter
ovn_arb_camel_rider_archer		aarb_mounted_skirmisher_bow_sword_camel		1.0000	1.0000	0.0500	hu1\imposter\humanoid_imposter
ovn_arb_camel_rider_jezzail		aarb_mounted_skirmisher_jezzail_sword		1.0000	1.0000	0.0500	hu1\imposter\humanoid_imposter
ovn_arb_camel_rider_lancer		aarb_mounted_warrior_spear_shield_camel		1.0000	1.0000	0.0500	hu1\imposter\humanoid_imposter
ovn_arb_camel_rider_lancer_ror		aarb_mounted_warrior_ror_daughters_sword		1.0000	1.0000	0.0500	hu1\imposter\humanoid_imposter
ovn_arb_ch_magician_desert		aarb_magician_desert_staff_sword		1.0000	1.0000	0.0000	
ovn_arb_ch_magician_desert_carpet		arb_magician_desert_carpet		1.0000	1.0000	0.0000	
ovn_arb_ch_magician_fire		aarb_magician_fire_staff_sword		1.0000	1.0000	0.0000	
ovn_arb_ch_magician_fire_carpet		arb_magician_fire_carpet		1.0000	1.0000	0.0000	
ovn_arb_ch_magician_heavens		aarb_magician_tempest_staff_sword		1.0000	1.0000	0.0000	
ovn_arb_ch_magician_heavens_carpet		arb_magician_heavens_carpet		1.0000	1.0000	0.0000	
ovn_arb_ch_magician_life		aarb_magician_life_staff_sword		1.0000	1.0000	0.0000	
ovn_arb_ch_magician_life_carpet		arb_magician_life_carpet		1.0000	1.0000	0.0000	
ovn_arb_cha_champion		ovn_arb_cha_champion		1.0000	1.0000	0.0500	
ovn_arb_cha_champion_guard		ovn_arb_cha_champion_guard		1.0000	1.0000	0.0500	
ovn_arb_cha_champion_sergeant		ovn_arb_cha_champion_sergeant		1.0000	1.0000	0.0500	
ovn_arb_cha_champion_warrior		ovn_arb_cha_champion_warrior		1.0000	1.0000	0.0500	
ovn_arb_cha_fatandira_0		arb_fatandira		1.0000	1.2000	0.0000	
ovn_arb_cha_fatandira_0_camp		arb_fatandira_camp		1.0000	1.1000	0.0000	
ovn_arb_cha_golden_magus_0		arb_golden_magus		1.0500	1.0500	0.0000	
ovn_arb_cha_golden_magus_1		arb_golden_magus_horse		1.0500	1.0500	0.0000	
ovn_arb_cha_nomad_01		ovn_arb_cha_nomad_01		1.0000	1.0000	0.0000	
ovn_arb_cha_nomad_02		ovn_arb_cha_nomad_02		1.0000	1.0000	0.0000	
