invalid_target	special_ability
#special_ability_to_invalid_target_flags_tables;0;db/special_ability_to_invalid_target_flags_tables/ovn_araby_only	
on_a_platform	ovn_spell_desert_sandstorm
on_a_platform	ovn_spell_desert_sandstorm_upgraded
flying_currently	ovn_spell_desert_burning_hands
on_a_platform	ovn_spell_desert_burning_hands
on_a_platform	ovn_spell_desert_burning_hands_upgraded
flying_currently	ovn_spell_desert_burning_hands_upgraded
flying_currently	ovn_spell_desert_quicksand
flying_currently	ovn_spell_desert_quicksand_upgraded
on_a_platform	roy_unit_active_arb_doppelgang
losing_melee_combat	arb_guard_ror_jaffar_elite
