character_name	character_level	forename	magic_lore	num_men	surname	unit_type	agent_type	agent_subtype	portrait	character_model	skillset	male
#battle_set_piece_armies_characters_tables;8;db/battle_set_piece_armies_characters_tables/ovn_araby_only												
ovn_arb_cha_magician_life_0	1	999983023	wh_dlc05_lore_life	100	999983087	ovn_arb_cha_magician_life_0	wizard	arb_magician_life	ui/portraits/portholes/no_culture/araby_wiz_life.png	1325400312		true
ovn_arb_cha_magician_desert_0	1	999983024	ovn_lore_desert	100	999983088	ovn_arb_cha_magician_desert_0	wizard	arb_magician_desert	ui/portraits/portholes/no_culture/araby_wiz.png	1325400313		true
ovn_arb_cha_magician_fire_0	1	999983025	wh_main_lore_fire	100	999983089	ovn_arb_cha_magician_fire_0	wizard	arb_magician_fire	ui/portraits/portholes/no_culture/araby_wiz_fire.png	1325400314		true
ovn_arb_cha_magician_heavens_0	1	999983026	wh_main_lore_heavens	100	999983090	ovn_arb_cha_magician_heavens_0	wizard	arb_magician_heavens	ui/portraits/portholes/no_culture/araby_wiz_sky.png	1325400315		true
ovn_arb_cha_nomad_0	1	3508823146		100	3508823147	ovn_arb_cha_nomad_0	spy	arb_nomad	ui/portraits/portholes/no_culture/roy_arb_cha_nomad.png	32823075		true
ovn_arb_cha_champion_0	1	3508823148		100	3508823149	ovn_arb_cha_champion_0	champion	arb_champion	ui/portraits/portholes/no_culture/ovn_arb_cha_champion.png	32823068		true
ovn_arb_cha_nomad_3	1	3508823146		100	3508823147	ovn_arb_cha_nomad_3	spy	arb_nomad	ui/portraits/portholes/no_culture/roy_arb_cha_nomad.png	32823076		true
ovn_arb_cha_sultan_jaffar_0	1	999982322	wh_main_lore_jaffar	100	999982323	ovn_arb_cha_sultan_jaffar_0	general	arb_sultan_jaffar	ui/portraits/portholes/no_culture/Sultan_Jaffar.png	7078		true
ovn_arb_cha_sheikh_0	1	3508823146		100	3508823147	ovn_arb_cha_sheikh_0	general	arb_sheikh	ui/portraits/portholes/no_culture/ovn_araby_ll.png	290598903		true
ovn_arb_cha_fatandira_0	1	999982308		100		ovn_arb_cha_fatandira_0	general	arb_fatandira	ui/portraits/portholes/no_culture/arb_fatandira.png	87497939		true
ovn_arb_cha_golden_magus_0	1	999982318	ovn_lore_golden_magus	100		ovn_arb_cha_golden_magus_0	general	arb_golden_magus	ui/portraits/portholes/no_culture/arb_golden_magus.png	889387935		true
