invalid_usage_flag	special_ability
#special_ability_to_invalid_usage_flags_tables;0;db/special_ability_to_invalid_usage_flags_tables/ovn_araby_only	
climbing_manning_eq_on_platform	ovn_hero_abilities_summon_genie
army_is_full	ovn_hero_abilities_summon_genie
climbing_manning_eq_on_platform	ovn_hero_abilities_summon_sea_nymph
army_is_full	ovn_hero_abilities_summon_sea_nymph
climbing_manning_eq_on_platform	ovn_hero_abilities_summon_desert_spirit
army_is_full	ovn_hero_abilities_summon_desert_spirit
climbing_manning_eq_on_platform	ovn_hero_abilities_summon_fire_efreet
army_is_full	ovn_hero_abilities_summon_fire_efreet
climbing_manning_eq_on_platform	ovn_hero_abilities_summon_tempest_djinn
army_is_full	ovn_hero_abilities_summon_tempest_djinn
army_is_full	ovn_spell_desert_mirage
army_is_full	ovn_spell_desert_mirage_upgraded
climbing_manning_eq_on_platform	ovn_spell_desert_mirage
climbing_manning_eq_on_platform	ovn_spell_desert_mirage_upgraded
climbing	ovn_spell_desert_sunstrike
climbing	ovn_spell_desert_sunstrike_upgraded
climbing	ovn_spell_desert_sandstorm
climbing	ovn_spell_desert_sandstorm_upgraded
climbing	ovn_spell_desert_quicksand
climbing	ovn_spell_desert_quicksand_upgraded
climbing	ovn_spell_desert_burning_hands
climbing	ovn_spell_desert_burning_hands_upgraded
climbing	ovn_spell_desert_curse_of_the_djinn
climbing	ovn_spell_desert_curse_of_the_djinn_upgraded
manning_equipment	ovn_spell_desert_sunstrike
manning_equipment	ovn_spell_desert_sunstrike_upgraded
manning_equipment	ovn_spell_desert_sandstorm
manning_equipment	ovn_spell_desert_sandstorm_upgraded
manning_equipment	ovn_spell_desert_quicksand
manning_equipment	ovn_spell_desert_quicksand_upgraded
manning_equipment	ovn_spell_desert_burning_hands
manning_equipment	ovn_spell_desert_burning_hands_upgraded
manning_equipment	ovn_spell_desert_curse_of_the_djinn
manning_equipment	ovn_spell_desert_curse_of_the_djinn_upgraded
climbing	roy_unit_active_arb_strike_from_the_shadows
engaged_in_melee	roy_unit_active_arb_strike_from_the_shadows
manning_equipment	roy_unit_active_arb_strike_from_the_shadows
climbing	roy_unit_active_arb_doppelgang
engaged_in_melee	roy_unit_active_arb_doppelgang
manning_equipment	roy_unit_active_arb_doppelgang
on_a_platform	roy_unit_active_arb_doppelgang
climbing_manning_eq_on_platform	arb_golden_magus_master_djinn
army_is_full	arb_golden_magus_master_djinn
