key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	can_damage_allies	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	building_damage_multiplier	scaling_damage	is_spell	vegetation_ignore_time	missile_mirror_start_time
#projectiles_tables;51;db/projectiles_tables/ovn_araby_only																																																							
ovn_arb_flying_carpet_naphtha	misc	explosives	wh_main_dwf_cinderblast_explosion	grenade_spin	1	dual_low_fixed	55	7	88	28.0000	10.0000	0.0000	1	0	true	false	0.2000	9.0000	50.0000	2.0000	0	0	wh2_dlc11_cst_zombie_gunnery_grenade		wh2_dlc11_grenade	-1.0000	false		-1.0000	1	0.0000	3.0000			10.0000	false	false	true	55	very_low	-1	false	false	true	false	1	false	false	false	false	1.0000		false	0.0000	0.4000
ovn_arb_flying_carpet_arrow	arrow	small_arm_default		none	1	dual_low_fixed	175	5	88	45.0000	10.0000	0.0000	28	8	false	false	0.1000	7.0000	90.0000	4.0000	0	0	wh2_dlc09_tmb_arrow		wh_bow_arrow_normal	-1.0000	false		-1.0000	1	0.0000	3.0000			0.0000	true	true	true	45	medium_magic	250	false	false	false	false	1	false	false	false	false	1.0000		false	0.9330	0.4000
ovn_arb_flying_carpet_arrow_ror	arrow	small_arm_default		none	1	dual_low_fixed	175	5	88	45.0000	10.0000	0.0000	28	8	false	false	0.1000	7.0000	90.0000	4.0000	0	0	wh2_dlc09_tmb_arrow		wh_bow_arrow_normal	-1.0000	false		-1.0000	1	0.0000	3.0000			1.0000	true	true	true	45	medium_magic	250	false	false	false	false	1	false	false	false	false	1.0000		false	0.9330	0.4000
ovn_arb_elephant_cannon_ball	artillery	artillery_default		none	1	low	300	10	40	100.0000	25.0000	0.0000	88	352	true	false	0.1000	22.0000	275.0000	8.5000	0	0	wh_emp_volley_gun_shot		wh_cannon_cannonball_normal	0.3000	true		-1.0000	1	0.0000	200.0000			0.0000	false	true	true	45	very_high_low_entity	700	false	false	true	false	1	false	false	true	true	1.0000		false	0.0000	0.4000
ovn_arb_grand_bombard_projectile	artillery	artillery_default		none	1	low	440	10	40	90.0000	20.0000	0.0000	200	650	true	false	0.1000	24.0000	275.0000	8.5000	0	50	ovn_arb_grand_bombard_projectile		wh_cannon_cannonball_normal	0.5000	true		-1.0000	1	0.0000	350.0000			0.0000	false	true	true	45	very_high	700	false	false	true	false	1	false	false	true	true	1.0000		false	0.0000	0.4000
ovn_arb_grand_bombard_projectile_ror	artillery	artillery_flammable	arb_grand_bombard_ror	none	1	low	460	10	40	90.0000	20.0000	0.0000	275	725	false	false	0.1000	24.0000	275.0000	8.5000	0	50	ovn_arb_grand_bombard_projectile_ror		wh_cannon_cannonball_normal	0.6000	true	wh_main_unit_contact_morale	-1.0000	1	0.0000	380.0000			25.0000	true	true	true	45	very_high	700	false	false	true	false	1	false	false	true	true	1.0000		false	0.0000	0.4000
ovn_spell_desert_sunstrike	artillery	artillery_default		none	3	low	320	20	45	300.0000	100.0000	2.0000	50	100	false	false	1.0000	22.0000	200.0000	1.0000	0	0	ovn_spell_desert_sunstrike		wh2_dlc13_luminark_bolt	1.0000	true		1.0000	1	0.0000	350.0000			1.0000	true	true	true	45	very_high_magic	-1	false	false	false	true	1	false	false	true	true	1.0000		false	0.0000	0.4000
ovn_spell_desert_sunstrike_upgraded	artillery	artillery_default		none	3	low	320	20	45	300.0000	100.0000	2.0000	100	200	false	false	1.0000	22.0000	200.0000	1.0000	0	0	ovn_spell_desert_sunstrike		wh2_dlc13_luminark_bolt	1.0000	true		1.0000	1	0.0000	350.0000			1.0000	true	true	true	45	very_high_magic	-1	false	false	false	true	1	false	false	true	true	1.0000		false	0.0000	0.4000
wh_arb_carpet_arrow	arrow	small_arm_default		none	1	dual_low_fixed	175	0	88	45.0000	10.0000	0.0000	28	8	false	false	0.1000	7.0000	90.0000	4.0000	0	0	wh2_dlc09_tmb_arrow		wh_bow_arrow_normal	-1.0000	false		-1.0000	1	0.0000	3.0000			0.0000	true	true	true	45	medium_magic	250	false	false	false	false	1	false	false	false	false	1.0000		false	0.9330	0.4000
