id	priority	unit	unit_group
#armed_citizenry_units_to_unit_groups_junctions_tables;0;db/armed_citizenry_units_to_unit_groups_junctions_tables/ovn_araby_outpost			
92113853	500	ovn_arb_inf_arabyan_warriors	ovn_arb_inf_arabyan_warriors
92113854	500	ovn_arb_inf_arabyan_bowmen	ovn_arb_inf_arabyan_bowmen
92113855	500	ovn_arb_cav_lancer_camels	ovn_arb_cav_lancer_camels
92113856	750	ovn_arb_inf_pit_fighters	ovn_arb_inf_pit_fighters
92113857	750	ovn_arb_inf_alrahem_nomads	ovn_arb_inf_alrahem_nomads
92113858	750	ovn_arb_inf_dervishers	ovn_arb_inf_dervishers
92113859	1000	ovn_arb_inf_arabyan_guard	ovn_arb_inf_arabyan_guard
92113860	1000	ovn_arb_cav_arabyan_knights	ovn_arb_cav_arabyan_knights
92113861	1000	ovn_arb_cav_flying_carpets	ovn_arb_cav_flying_carpets
