unique_id	factor	resource	minimum	maximum	specific_faction_set
#pooled_resource_factor_junctions_tables;2;db/pooled_resource_factor_junctions_tables/ovn_crafting_araby_slaves					
ovn_araby_victories_lzd	wh2_main_resource_factor_other	ovn_araby_victories_lzd	-2147483647	2147483647	
ovn_araby_victories_dwarfs	wh2_main_resource_factor_other	ovn_araby_victories_dwarfs	-2147483647	2147483647	
ovn_araby_victories_def	wh2_main_resource_factor_other	ovn_araby_victories_def	-2147483647	2147483647	
ovn_araby_victories_hef	wh2_main_resource_factor_other	ovn_araby_victories_hef	-2147483647	2147483647	
ovn_araby_victories_men	wh2_main_resource_factor_other	ovn_araby_victories_men	-2147483647	2147483647	
ovn_araby_victories_undead	wh2_main_resource_factor_other	ovn_araby_victories_undead	-2147483647	2147483647	
ovn_araby_victories_chaos	wh2_main_resource_factor_other	ovn_araby_victories_chaos	-2147483647	2147483647	
ovn_araby_victories_skv	wh2_main_resource_factor_other	ovn_araby_victories_skv	-2147483647	2147483647	
ovn_araby_victories_nor	wh2_main_resource_factor_other	ovn_araby_victories_nor	-2147483647	2147483647	
ovn_araby_victories_we	wh2_main_resource_factor_other	ovn_araby_victories_we	-2147483647	2147483647	
ovn_araby_victories_grn	wh2_main_resource_factor_other	ovn_araby_victories_grn	-2147483647	2147483647	
ovn_araby_victories_bst	wh2_main_resource_factor_other	ovn_araby_victories_bst	-2147483647	2147483647	
ovn_araby_victories_tmb	wh2_main_resource_factor_other	ovn_araby_victories_tmb	-2147483647	2147483647	
