uniform_name	filename	battle_filename	campaign_porthole_filename	campaign_politician_filename	campaign_override_skeleton
#agent_uniforms_tables;10;db/agent_uniforms_tables/ovn_araby_only					
ovn_arb_cha_champion	ovn_arb_cha_champion	ovn_arb_cha_champion	ovn_arb_cha_champion		
ovn_arb_cha_champion_guard	ovn_arb_cha_champion_guard	ovn_arb_cha_champion_guard	ovn_arb_cha_champion_guard		
ovn_arb_cha_champion_sergeant	ovn_arb_cha_champion_sergeant	ovn_arb_cha_champion_sergeant	ovn_arb_cha_champion_sergeant		
ovn_arb_cha_champion_warrior	ovn_arb_cha_champion_warrior	ovn_arb_cha_champion_warrior	ovn_arb_cha_champion_warrior		
ovn_arb_cha_nomad_assassin	ovn_arb_cha_nomad_assassin	ovn_arb_cha_nomad_assassin	ovn_arb_cha_nomad_assassin		
ovn_arb_cha_nomad_uniform_01	ovn_arb_cha_nomad_01	ovn_arb_cha_nomad_01	ovn_arb_cha_nomad_01		
ovn_arb_cha_nomad_uniform_02	ovn_arb_cha_nomad_02	ovn_arb_cha_nomad_02	ovn_arb_cha_nomad_02		
ovn_arb_cha_nomad_uniform_03	ovn_arb_cha_nomad_03	ovn_arb_cha_nomad_03	ovn_arb_cha_nomad_03		
ovn_arb_cha_nomad_assassin_uniform_01	ovn_arb_cha_nomad_assassin_01	ovn_arb_cha_nomad_assassin_01	ovn_arb_cha_nomad_assassin_01		
ovn_arb_cha_nomad_assassin_uniform_02	ovn_arb_cha_nomad_assassin_02	ovn_arb_cha_nomad_assassin_02	ovn_arb_cha_nomad_assassin_02		
ovn_arb_cha_nomad_assassin_uniform_03	ovn_arb_cha_nomad_assassin_03	ovn_arb_cha_nomad_assassin_03	ovn_arb_cha_nomad_assassin_03		
ovn_arb_cha_nomad_jezzail_uniform_01	ovn_arb_cha_nomad_jezzail_campaign_01	ovn_arb_cha_nomad_jezzail_01	ovn_arb_cha_nomad_jezzail_01		
ovn_arb_cha_nomad_jezzail_uniform_02	ovn_arb_cha_nomad_jezzail_campaign_02	ovn_arb_cha_nomad_jezzail_02	ovn_arb_cha_nomad_jezzail_02		
ovn_arb_cha_nomad_jezzail_uniform_03	ovn_arb_cha_nomad_jezzail_campaign_03	ovn_arb_cha_nomad_jezzail_03	ovn_arb_cha_nomad_jezzail_03		
ovn_arb_cha_sheikh_01	ovn_arb_cha_sheikh_01	ovn_arb_cha_sheikh_01	ovn_arb_cha_sheikh_01		
ovn_arb_cha_sheikh_02	ovn_arb_cha_sheikh_02	ovn_arb_cha_sheikh_02	ovn_arb_cha_sheikh_02		
ovn_arb_cha_sheikh_03	ovn_arb_cha_sheikh_03	ovn_arb_cha_sheikh_03	ovn_arb_cha_sheikh_03		
ovn_arb_cha_fatandira_0	ovn_arb_cha_fatandira_0_camp	ovn_arb_cha_fatandira_0	ovn_arb_cha_fatandira_0		
ovn_arb_cha_golden_magus_0	ovn_arb_cha_golden_magus_0	ovn_arb_cha_golden_magus_0	ovn_arb_cha_golden_magus_0		
ovn_arb_cha_golden_magus_1	ovn_arb_cha_golden_magus_1	ovn_arb_cha_golden_magus_1	ovn_arb_cha_golden_magus_0		
ovn_campaign_arb_ship_flaming_scimitar_army	ovn_campaign_arb_ship_flaming_scimitar_army		ovn_campaign_arb_ship_flaming_scimitar_army		
ovn_campaign_arb_ship_agent	ovn_campaign_arb_ship_agent	ovn_campaign_arb_ship_agent	wh2_main_campaign_def_ship_agent		
ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	wh2_main_def_ship_army		
ovn_uniform_arb_magician_life	ovn_arb_ch_magician_life	ovn_arb_ch_magician_life	ovn_arb_ch_magician_life		
ovn_uniform_arb_magicican_desert	ovn_arb_ch_magician_desert	ovn_arb_ch_magician_desert	ovn_arb_ch_magician_desert		
ovn_uniform_arb_magicican_fire	ovn_arb_ch_magician_fire	ovn_arb_ch_magician_fire	ovn_arb_ch_magician_fire		
ovn_uniform_arb_magician_heavens	ovn_arb_ch_magician_heavens	ovn_arb_ch_magician_heavens	ovn_arb_ch_magician_heavens		
ovn_uniform_arb_magician_life_carpet	ovn_arb_ch_magician_life_carpet	ovn_arb_ch_magician_life_carpet	ovn_arb_ch_magician_life_carpet		
ovn_uniform_arb_magicican_desert_carpet	ovn_arb_ch_magician_desert_carpet	ovn_arb_ch_magician_desert_carpet	ovn_arb_ch_magician_desert_carpet		
ovn_uniform_arb_magicican_fire_carpet	ovn_arb_ch_magician_fire_carpet	ovn_arb_ch_magician_fire_carpet	ovn_arb_ch_magician_fire_carpet		
ovn_uniform_arb_magician_heavens_carpet	ovn_arb_ch_magician_heavens_carpet	ovn_arb_ch_magician_heavens_carpet	ovn_arb_ch_magician_heavens_carpet		
ovn_arb_cha_sultan_jaffar_0	ovn_arb_cha_sultan_jaffar_0	ovn_arb_cha_sultan_jaffar_0	ovn_arb_cha_sultan_jaffar_0		
ovn_arb_cha_sultan_jaffar_1	ovn_arb_cha_sultan_jaffar_1	ovn_arb_cha_sultan_jaffar_1	ovn_arb_cha_sultan_jaffar_1		
ovn_arb_cha_vizier_fire_01	arb_vizier_fire_01	arb_vizier_fire_01	arb_vizier_fire_01		
ovn_arb_cha_vizier_life_01	arb_vizier_life_01	arb_vizier_life_01	arb_vizier_life_01		
ovn_arb_cha_vizier_heavens_01	arb_vizier_heavens_01	arb_vizier_heavens_01	arb_vizier_heavens_01		
ovn_arb_cha_vizier_desert_01	arb_vizier_desert_01	arb_vizier_desert_01	arb_vizier_desert_01		
ovn_arb_cha_vizier_fire_02	arb_vizier_fire_02	arb_vizier_fire_02	arb_vizier_fire_02		
ovn_arb_cha_vizier_life_02	arb_vizier_life_02	arb_vizier_life_02	arb_vizier_life_02		
ovn_arb_cha_vizier_heavens_02	arb_vizier_heavens_02	arb_vizier_heavens_02	arb_vizier_heavens_02		
ovn_arb_cha_vizier_desert_02	arb_vizier_desert_02	arb_vizier_desert_02	arb_vizier_desert_02		
