ability	effect
#unit_abilities_to_additional_ui_effects_juncs_tables;0;db/unit_abilities_to_additional_ui_effects_juncs_tables/ovn_araby_only	
ovn_unit_abilities_pot_of_naphtha	wh_main_all_strong_against_multiple
ovn_unit_abilities_pot_of_naphtha	wh_main_projectile_powerful_explosion
ovn_hero_abilities_summon_genie	ovn_all_summon_genie
ovn_hero_abilities_summon_sea_nymph	ovn_all_summon_sea_nymph
ovn_hero_abilities_summon_desert_spirit	ovn_all_summon_desert_spirit
ovn_hero_abilities_summon_fire_efreet	ovn_all_summon_fire_efreet
ovn_hero_abilities_summon_tempest_djinn	ovn_all_summon_tempest_djinn
ovn_spell_desert_mirage	ovn_all_summon_arb_spearmen
ovn_spell_desert_mirage	wh2_dlc10_all_summon_no_damage
ovn_spell_desert_mirage_upgraded	ovn_all_summon_arb_spearmen
ovn_spell_desert_mirage_upgraded	wh2_dlc10_all_summon_no_damage
ovn_spell_desert_mirage_upgraded	wh_main_spell_upgraded_duration
ovn_spell_desert_sunstrike	wh_main_projectile_effective_long_range
ovn_spell_desert_sunstrike	wh_main_all_strong_against_single
ovn_spell_desert_sunstrike	wh_main_projectile_high_penetration
ovn_spell_desert_sunstrike_upgraded	wh_main_projectile_effective_long_range
ovn_spell_desert_sunstrike_upgraded	wh_main_all_strong_against_single
ovn_spell_desert_sunstrike_upgraded	wh_main_projectile_high_penetration
ovn_spell_desert_sunstrike_upgraded	wh_main_spell_upgraded_ap_damage_ranged
ovn_spell_desert_sandstorm	wh2_main_all_good_against_armour
ovn_spell_desert_sandstorm	wh2_main_all_magical_damage_moderate
ovn_spell_desert_sandstorm	wh2_main_spell_huge_vortex
ovn_spell_desert_sandstorm_upgraded	wh2_main_all_good_against_armour
ovn_spell_desert_sandstorm_upgraded	wh2_main_all_magical_damage_moderate
ovn_spell_desert_sandstorm_upgraded	wh2_main_spell_huge_vortex
ovn_spell_desert_sandstorm_upgraded	wh_main_spell_upgraded_duration
ovn_spell_desert_quicksand_upgraded	wh_main_spell_upgraded_area
ovn_spell_desert_burning_hands	wh2_main_all_magical_and_flaming_major
ovn_spell_desert_burning_hands	wh2_main_all_weak_against_armour
ovn_spell_desert_burning_hands	wh_main_all_can_disrupt_formation
ovn_spell_desert_burning_hands	wh_main_all_strong_against_units
ovn_spell_desert_burning_hands	wh_main_all_weak_against_single
ovn_spell_desert_burning_hands	wh_main_vortex_large_breath
ovn_spell_desert_burning_hands_upgraded	wh2_main_all_magical_and_flaming_major
ovn_spell_desert_burning_hands_upgraded	wh_main_all_can_disrupt_formation
ovn_spell_desert_burning_hands_upgraded	wh_main_all_strong_against_units
ovn_spell_desert_burning_hands_upgraded	wh_main_all_weak_against_single
ovn_spell_desert_burning_hands_upgraded	wh_main_vortex_large_breath
ovn_spell_desert_burning_hands_upgraded	wh_main_spell_upgraded_ap_damage_ranged
ovn_spell_desert_curse_of_the_djinn_upgraded	ovn_spell_upgraded_added_resistance_magic
ovn_spell_desert_curse_of_the_djinn_upgraded	wh_main_spell_upgraded_area
roy_unit_active_arb_strike_from_the_shadows	wh2_main_all_flanking
roy_unit_active_arb_strike_from_the_shadows	wh2_main_all_hiding
roy_unit_active_arb_doppelgang	wh2_dlc10_all_summon_no_damage
roy_unit_active_arb_doppelgang	ovn_all_summon_arb_nomad_assassin_mirror
Black_Book_Of_Ibn_Naggazar	wh_main_all_direct_damage_self
Black_Book_Of_Ibn_Naggazar	wh_main_all_improved_recharge_rate_high
Black_Book_Of_Ibn_Naggazar	wh_main_all_increased_max_power_high
arb_jaffar_serpent_djinn	wh2_main_all_good_against_armour
arb_jaffar_serpent_djinn	wh2_main_army_ap_damage_ranged
arb_jaffar_serpent_djinn	wh2_main_spell_medium_wind
ovn_arb_baz_ei_12_twilight_mirror_shard_ability	wh_dlc01_all_summon_spawn
ovn_arb_baz_ei_12_twilight_mirror_shard_ability	wh_dlc04_all_summon_melee_expert
