key	icon	parent_group
#ui_unit_groupings_tables;1;db/ui_unit_groupings_tables/ovn_araby_only		
missile_camelry_rifle	arb_camelry_tifle	missile_cavalry_chariots
missile_camelry_bow	arb_camelry_bow	missile_cavalry_chariots
camelry	arb_camelry	cavalry_chariots
ovn_arb_djinns	arb_djinn	monster_beasts
ovn_arb_djinns_missile	arb_djinn	missile_monster_beasts
ovn_arb_magician_life	wh_dlc05_wef_lore_life	heroes_agents
ovn_arb_magician_desert	arb_ovn_lore_desert	heroes_agents
ovn_arb_magician_fire	wh_main_lore_fire	heroes_agents
ovn_arb_magician_heavens	wh_main_lore_heavens	heroes_agents
ovn_arb_spy	ovn_arb_spy	heroes_agents
ovnwh3__cav	cavalry	cavalry_chariots
ovn_elephant	wh_dlc08_nor_chaos_war_mammoth	monster_beasts
ovn_shock_infantry	infantry_sword	infantry
ovn_flying_missile_carpetry	arb_carpet_archers	missile_cavalry_chariots
ovn_arb_mon_giant_scorpion	wh2_dlc09_tmb_scorpion	monster_beasts
ovn_arb_cav_waghzen	cavalry	cavalry_chariots
ovn_arb_veh_naphtha_thrower_ror	flame_cannon	artillery_war_machines
