key	use_unit_exp_level_range	min_unit_exp_level_inclusive	max_unit_exp_level_inclusive	special_category
#unit_sets_tables;2;db/unit_sets_tables/ovn_araby_only				
ovn_arb_beasts	false	-1	-1	
ovn_arb_djinns	false	-1	-1	
ovn_arb_melee_infantry	false	-1	-1	
ovn_arb_melee_cavalry	false	-1	-1	
ovn_arb_ranged_nongunpowder	false	-1	-1	
ovn_arb_ranged_gunpowder_naphtha	false	-1	-1	
ovn_arb_beasts_rank7	true	7	9	
ovn_arb_magic_rank7	true	7	9	
ovn_arb_nomads_rank7	true	7	9	
ovn_arb_settled_rank7	true	7	9	
ovn_arb_beasts_rank7_ror	false	-1	-1	
ovn_arb_magic_rank7_ror	false	-1	-1	
ovn_arb_nomads_rank7_ror	false	-1	-1	
ovn_arb_settled_rank7_ror	false	-1	-1	
ovn_aswad_scythans_tomb_king_units	false	-1	-1	
ovn_golden_fleet_sea_units	false	-1	-1	
arb_art_ballista	false	-1	-1	
arb_art_grand_bombard	false	-1	-1	
arb_art_grand_bombard_ror	false	-1	-1	
arb_art_trebuchet	false	-1	-1	
arb_art_naphtha_thrower	false	-1	-1	
arb_veh_naphtha_thrower_ror	false	-1	-1	
arb_cav_lancer_camels	false	-1	-1	
arb_cav_lancer_camels_ror	false	-1	-1	
arb_cav_tuareg_riders	false	-1	-1	
arb_cav_archer_camels	false	-1	-1	
arb_cav_bedouin_scouts	false	-1	-1	
arb_cav_jezzail_camels	false	-1	-1	
arb_cav_arabyan_knights	false	-1	-1	
arb_cav_arabyan_knights_ror	false	-1	-1	
arb_cav_sipahis	false	-1	-1	
arb_cav_sipahis_ror	false	-1	-1	
arb_cav_flying_carpets	false	-1	-1	
arb_cav_flying_carpets_ror	false	-1	-1	
arb_cav_scorpion_riders	false	-1	-1	
arb_inf_arabyan_guard	false	-1	-1	
arb_inf_arabyan_guard_ror	false	-1	-1	
arb_inf_arabyan_ogres	false	-1	-1	
arb_inf_arabyan_spearmen	false	-1	-1	
arb_inf_arabyan_spearmen_summoned	false	-1	-1	
arb_inf_arabyan_warriors	false	-1	-1	
arb_inf_corsairs	false	-1	-1	
arb_inf_dervishers	false	-1	-1	
arb_inf_jaguar_champions	false	-1	-1	
arb_inf_jaguar_champions_ror	false	-1	-1	
arb_inf_pit_fighters	false	-1	-1	
arb_inf_sharkas_slaves	false	-1	-1	
arb_inf_southland_warriors	false	-1	-1	
arb_mon_desert_spirit	false	-1	-1	
arb_mon_desert_spirit_ror	false	-1	-1	
arb_mon_elephant	false	-1	-1	
arb_mon_fire_efreet	false	-1	-1	
arb_mon_fire_efreet_ror	false	-1	-1	
arb_mon_genie	false	-1	-1	
arb_mon_giant_scorpion	false	-1	-1	
arb_mon_promethean_hatchlings	false	-1	-1	
arb_mon_sea_nymph	false	-1	-1	
arb_mon_sea_nymph_ror	false	-1	-1	
arb_mon_war_elephant	false	-1	-1	
arb_mon_war_elephant_ror_2	false	-1	-1	
arb_mon_war_elephant_ror_1	false	-1	-1	
arb_inf_alrahem_nomads	false	-1	-1	
arb_inf_arabyan_bowmen	false	-1	-1	
arb_inf_jezzails	false	-1	-1	
arb_inf_jezzails_ror	false	-1	-1	
arb_mon_necrofex_colossus	false	-1	-1	
arb_mon_tempest_djinn	false	-1	-1	
arb_mon_tempest_djinn_ror	false	-1	-1	
arb_mon_giant_vulture_feral	false	-1	-1	
arb_cav_waghzen	false	-1	-1	
arb_mon_enchanted_rope	false	-1	-1	
mp_cap_arb_art_ballista	false	-1	-1	
mp_cap_arb_art_grand_bombard	false	-1	-1	
mp_cap_arb_art_grand_bombard_ror	false	-1	-1	
mp_cap_arb_art_trebuchet	false	-1	-1	
mp_cap_arb_art_naphtha_thrower	false	-1	-1	
mp_cap_arb_veh_naphtha_thrower_ror	false	-1	-1	
mp_cap_arb_cav_lancer_camels	false	-1	-1	
mp_cap_arb_cav_lancer_camels_ror	false	-1	-1	
mp_cap_arb_cav_tuareg_riders	false	-1	-1	
mp_cap_arb_cav_archer_camels	false	-1	-1	
mp_cap_arb_cav_bedouin_scouts	false	-1	-1	
mp_cap_arb_cav_jezzail_camels	false	-1	-1	
mp_cap_arb_cav_arabyan_knights	false	-1	-1	
mp_cap_arb_cav_arabyan_knights_ror	false	-1	-1	
mp_cap_arb_cav_sipahis	false	-1	-1	
mp_cap_arb_cav_sipahis_ror	false	-1	-1	
mp_cap_arb_cav_flying_carpets	false	-1	-1	
mp_cap_arb_cav_flying_carpets_ror	false	-1	-1	
mp_cap_arb_cav_scorpion_riders	false	-1	-1	
mp_cap_arb_inf_arabyan_guard	false	-1	-1	
mp_cap_arb_inf_arabyan_guard_ror	false	-1	-1	
mp_cap_arb_inf_arabyan_ogres	false	-1	-1	
mp_cap_arb_inf_arabyan_spearmen	false	-1	-1	
mp_cap_arb_inf_arabyan_warriors	false	-1	-1	
mp_cap_arb_inf_corsairs	false	-1	-1	
mp_cap_arb_inf_dervishers	false	-1	-1	
mp_cap_arb_inf_jaguar_champions	false	-1	-1	
mp_cap_arb_inf_jaguar_champions_ror	false	-1	-1	
mp_cap_arb_inf_pit_fighters	false	-1	-1	
mp_cap_arb_inf_sharkas_slaves	false	-1	-1	
mp_cap_arb_inf_southland_warriors	false	-1	-1	
mp_cap_arb_mon_desert_spirit	false	-1	-1	
mp_cap_arb_mon_desert_spirit_ror	false	-1	-1	
mp_cap_arb_mon_elephant	false	-1	-1	
mp_cap_arb_mon_fire_efreet	false	-1	-1	
mp_cap_arb_mon_fire_efreet_ror	false	-1	-1	
mp_cap_arb_mon_genie	false	-1	-1	
mp_cap_arb_mon_giant_scorpion	false	-1	-1	
mp_cap_arb_mon_promethean_hatchlings	false	-1	-1	
mp_cap_arb_mon_sea_nymph	false	-1	-1	
mp_cap_arb_mon_sea_nymph_ror	false	-1	-1	
mp_cap_arb_mon_war_elephant	false	-1	-1	
mp_cap_arb_mon_war_elephant_ror_2	false	-1	-1	
mp_cap_arb_mon_war_elephant_ror_1	false	-1	-1	
mp_cap_arb_inf_alrahem_nomads	false	-1	-1	
mp_cap_arb_inf_arabyan_bowmen	false	-1	-1	
mp_cap_arb_inf_jezzails	false	-1	-1	
mp_cap_arb_inf_jezzails_ror	false	-1	-1	
mp_cap_arb_mon_necrofex_colossus	false	-1	-1	
mp_cap_arb_mon_tempest_djinn	false	-1	-1	
mp_cap_arb_mon_tempest_djinn_ror	false	-1	-1	
mp_cap_arb_mon_giant_vulture_feral	false	-1	-1	
mp_cap_arb_cav_waghzen	false	-1	-1	
mp_cap_arb_mon_enchanted_rope	false	-1	-1	
arb_djinn_carriage	false	-1	-1	
mp_cap_arb_djinn_carriage	false	-1	-1	
