key	position_x	position_y
#campaign_map_route_nodes_tables;0;db/campaign_map_route_nodes_tables/ovn_araby_only		
ovn_combi_region_el_kalabad	986	577
ovn_combi_region_sudenburg	986	577
ovn_combi_region_ka_sabar	986	577
ovn_combi_region_oreons_camp	986	577
ovn_combi_region_tlaqua	986	577
ovn_combi_region_teotiqua	986	577
ovn_combi_region_zlatlan	986	577
ovn_combi_region_tor_surpindar	986	577
ovn_combi_region_karak_zorn	986	577
ovn_combi_region_temple_of_skulls	986	577
ovn_combi_region_khemri	986	577
ovn_combi_region_agrul_migdhal	986	577
ovn_combi_region_galbaraz	986	577
ovn_combi_region_karag_orrud	986	577
ovn_combi_region_lahmia	986	577
ovn_combi_region_rasetra	986	577
